Rule 14:
If predecessor ?b, then father ?b.
Charles V Holy Roman Emperor, Charles V Holy Roman Emperor has predecessor Joanna of Castile The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
John I of France has father Louis X of France, John I of France has predecessor Louis X of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Frederick I Duke of Lorraine, Frederick I Duke of Lorraine has predecessor Simon II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles III of Spain, Charles III of Spain has predecessor Antonio Farnese Duke of Parma The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry IV of France, Henry IV of France has predecessor Jeanne d Albret The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Leopold III Duke of Austria, Leopold III Duke of Austria has predecessor Rudolf IV Duke of Austria The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Lothair of France has father Louis IV of France, Lothair of France has predecessor Louis IV of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Charles Emmanuel I Duke of Savoy, Charles Emmanuel I Duke of Savoy has predecessor Emmanuel Philibert Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry I of France has father Robert II of France, Henry I of France has predecessor Robert II of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Dirk V Count of Holland, Dirk V Count of Holland has predecessor Floris I Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Leopold II Holy Roman Emperor, Leopold II Holy Roman Emperor has predecessor Joseph II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis Philippe I has father Louis Philippe II Duke of Orl ans, Louis Philippe I has predecessor Louis Philippe II Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Theobald I of Navarre, Theobald I of Navarre has predecessor Sancho VII of Navarre The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
John of Bohemia, John of Bohemia has predecessor Henry of Bohemia The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Albert II Duke of Austria, Albert II Duke of Austria has predecessor Henry of Bohemia The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry II Duke of Lorraine, Henry II Duke of Lorraine has predecessor Charles III Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
John IV of Portugal, John IV of Portugal has predecessor Philip IV of Spain The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles II of Spain, Charles II of Spain has predecessor Philip IV of Spain The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Maximilian Sforza, Maximilian Sforza has predecessor Louis XII The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ferdinand II of Aragon, Ferdinand II of Aragon has predecessor Louis XII The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
James I of Aragon, James I of Aragon has predecessor Peter II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Rudolph III of Burgundy, Rudolph III of Burgundy has predecessor Conrad I of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
John II of Aragon, John II of Aragon has predecessor Blanche I of Navarre The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Robert II Duke of Burgundy has father Hugh IV Duke of Burgundy, Robert II Duke of Burgundy has predecessor Hugh IV Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Henry III of France, Henry III of France has predecessor Sigismund II Augustus The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Carloman mayor of the palace, Carloman mayor of the palace has predecessor Charles Martel The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Pepin the Short has father Charles Martel, Pepin the Short has predecessor Charles Martel The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Emmanuel Philibert Duke of Savoy has father Charles III Duke of Savoy, Emmanuel Philibert Duke of Savoy has predecessor Charles III Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
George I of Great Britain, George I of Great Britain has predecessor Anne Queen of Great Britain The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Edward IV of England, Edward IV of England has predecessor Henry VI of England The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles VII of France, Charles VII of France has predecessor Henry VI of England The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Edward II of England, Edward II of England has predecessor Eleanor of Castile The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Pepin of Herstal, Pepin of Herstal has predecessor Wulfoald The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry VII Holy Roman Emperor, Henry VII Holy Roman Emperor has predecessor Albert I of Germany The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Philip VI of France, Philip VI of France has predecessor Margaret Countess of Anjou The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Hugh of Italy, Hugh of Italy has predecessor Rudolph II of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Conrad I of Burgundy has father Rudolph II of Burgundy, Conrad I of Burgundy has predecessor Rudolph II of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Maria Teresa Cybo Malaspina Duchess of Massa, Maria Teresa Cybo Malaspina Duchess of Massa has predecessor Alderano I Cybo Malaspina The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
John II of Portugal has father Afonso V of Portugal, John II of Portugal has predecessor Afonso V of Portugal The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Charles V of France has father John II of France, Charles V of France has predecessor John II of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Piero the Unfortunate has father Lorenzo de Medici, Piero the Unfortunate has predecessor Lorenzo de Medici The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Theobald I Duke of Lorraine, Theobald I Duke of Lorraine has predecessor Frederick II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Mary Queen of Scots has father James V of Scotland, Mary Queen of Scots has predecessor James V of Scotland The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
John King of England, John King of England has predecessor Richard I of England The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ferdinando I de Medici Grand Duke of Tuscany, Ferdinando I de Medici Grand Duke of Tuscany has predecessor Francesco I de Medici Grand Duke of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry II of France has father Francis I of France, Henry II of France has predecessor Francis I of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Charles Martel, Charles Martel has predecessor Theudoald The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis XII, Louis XII has predecessor Frederick of Naples The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Hugh Capet, Hugh Capet has predecessor Louis V of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Pope Clement VII, Pope Clement VII has predecessor Lorenzo de Medici Duke of Urbino The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Victor Amadeus III of Sardinia has father Charles Emmanuel III of Sardinia, Victor Amadeus III of Sardinia has predecessor Charles Emmanuel III of Sardinia The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Princess Marie Isabelle of Orl ans, Princess Marie Isabelle of Orl ans has predecessor Maria Amalia of Naples and Sicily The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles III Duke of Savoy, Charles III Duke of Savoy has predecessor Philibert II Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Eleanor of Castile, Eleanor of Castile has predecessor Joan Countess of Ponthieu The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
John I Count of Aumale, John I Count of Aumale has predecessor Joan Countess of Ponthieu The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Philippe I Duke of Orl ans, Philippe I Duke of Orl ans has predecessor Gaston Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has predecessor Gian Gastone de Medici Grand Duke of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis the Pious has father Charlemagne, Louis the Pious has predecessor Charlemagne The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Philip III of France has father Louis IX of France, Philip III of France has predecessor Louis IX of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
John I Duke of Brittany, John I Duke of Brittany has predecessor Peter II Count of Savoy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Alfonso II of Aragon, Alfonso II of Aragon has predecessor Petronilla of Aragon The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
James V of Scotland, James V of Scotland has predecessor James IV of Scotland The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Simon I Duke of Lorraine has father Theodoric II Duke of Lorraine, Simon I Duke of Lorraine has predecessor Theodoric II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Afonso IV of Portugal has father Denis of Portugal, Afonso IV of Portugal has predecessor Denis of Portugal The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Francis II Duke of Brittany, Francis II Duke of Brittany has predecessor Arthur III Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Alfonso VIII of Castile has father Sancho III of Castile, Alfonso VIII of Castile has predecessor Sancho III of Castile The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Charles the Fat, Charles the Fat has predecessor Carloman of Bavaria The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Philip IV of France has father Philip III of France, Philip IV of France has predecessor Philip III of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Raymond of Burgundy, Raymond of Burgundy has predecessor Nuno Mendes count The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
James I of Scotland has father Robert III of Scotland, James I of Scotland has predecessor Robert III of Scotland The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Victor Amadeus II of Sardinia, Victor Amadeus II of Sardinia has predecessor Philip V of Spain The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ferdinand VI of Spain, Ferdinand VI of Spain has predecessor Philip V of Spain The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis I of Spain, Louis I of Spain has predecessor Philip V of Spain The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles IV of Spain, Charles IV of Spain has predecessor Charles III of Spain The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles VI Holy Roman Emperor, Charles VI Holy Roman Emperor has predecessor Charles III of Spain The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles Emmanuel II Duke of Savoy, Charles Emmanuel II Duke of Savoy has predecessor Francis Hyacinth Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Rudolf IV Duke of Austria, Rudolf IV Duke of Austria has predecessor Albert II Duke of Austria The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis Duke of Savoy has father Amadeus VIII Duke of Savoy, Louis Duke of Savoy has predecessor Amadeus VIII Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Charles IV of Anjou, Charles IV of Anjou has predecessor Ren  of Anjou The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Philip V of Spain, Philip V of Spain has predecessor Charles II of Spain The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry VI of England has father Henry V of England, Henry VI of England has predecessor Henry V of England The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
John V Duke of Brittany, John V Duke of Brittany has predecessor John IV Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles the Bald, Charles the Bald has predecessor Louis II of Italy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has predecessor Charles VII Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Maria Theresa, Maria Theresa has predecessor Charles VII Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Edward I of England has father Henry III of England, Edward I of England has predecessor Henry III of England The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Humbert II Count of Savoy has father Amadeus II Count of Savoy, Humbert II Count of Savoy has predecessor Amadeus II Count of Savoy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Peter II of Aragon has father Alfonso II of Aragon, Peter II of Aragon has predecessor Alfonso II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Louis X of France, Louis X of France has predecessor Joan I of Navarre The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Lorenzo de Medici Duke of Urbino, Lorenzo de Medici Duke of Urbino has predecessor Giuliano de Medici Duke of Nemours The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis IV Holy Roman Emperor, Louis IV Holy Roman Emperor has predecessor Rudolf I Duke of Bavaria The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Afonso II of Portugal has father Sancho I of Portugal, Afonso II of Portugal has predecessor Sancho I of Portugal The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
John Stewart 3rd Lord of Aubigny, John Stewart 3rd Lord of Aubigny has predecessor John Stewart of Darnley The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Hugh III Duke of Burgundy, Hugh III Duke of Burgundy has predecessor Odo II Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
John the Fearless has father Philip the Bold, John the Fearless has predecessor Philip the Bold The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Henry III of France, Henry III of France has predecessor Charles IX of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Cosimo I de Medici Grand Duke of Tuscany, Cosimo I de Medici Grand Duke of Tuscany has predecessor Alessandro de Medici Duke of Florence The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Geoffrey Plantagenet Count of Anjou, Geoffrey Plantagenet Count of Anjou has predecessor Stephen King of England The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Antoine Duke of Montpensier, Antoine Duke of Montpensier has predecessor Antoine Philippe Duke of Montpensier The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Afonso V of Portugal has father Edward King of Portugal, Afonso V of Portugal has predecessor Edward King of Portugal The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Pepin the Short, Pepin the Short has predecessor Childeric III The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Philip II Duke of Savoy, Philip II Duke of Savoy has predecessor Charles II Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Hugh I Duke of Burgundy, Hugh I Duke of Burgundy has predecessor Robert I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Joan I Countess of Auvergne has father William XII Count of Auvergne, Joan I Countess of Auvergne has predecessor William XII Count of Auvergne The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Adolphus Frederick III Duke of Mecklenburg Strelitz, Adolphus Frederick III Duke of Mecklenburg Strelitz has predecessor Adolphus Frederick II Duke of Mecklenburg Strelitz The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Matthias II Duke of Lorraine, Matthias II Duke of Lorraine has predecessor Theobald I Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Pepin the Short, Pepin the Short has predecessor Carloman mayor of the palace The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Lorenzo de Medici has father Piero di Cosimo de Medici, Lorenzo de Medici has predecessor Piero di Cosimo de Medici The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Alfonso X of Castile has father Ferdinand III of Castile, Alfonso X of Castile has predecessor Ferdinand III of Castile The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Robert II of Scotland, Robert II of Scotland has predecessor David II of Scotland The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Hemma, Hemma has predecessor Judith of Bavaria died 843 The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Willa of Tuscany, Willa of Tuscany has predecessor Adelaide of Italy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Sviatoslav I, Sviatoslav I has predecessor Olga of Kiev The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ecgberht King of Wessex, Ecgberht King of Wessex has predecessor Baldred of Kent The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Olga of Kiev, Olga of Kiev has predecessor Igor of Kiev The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
George IV, George IV has predecessor George III The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Odo III Duke of Burgundy has father Hugh III Duke of Burgundy, Odo III Duke of Burgundy has predecessor Hugh III Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
John II of Aragon, John II of Aragon has predecessor Alfonso V of Aragon The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Simon II Duke of Lorraine, Simon II Duke of Lorraine has predecessor Matthias I Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Afonso I of Portugal, Afonso I of Portugal has predecessor Theresa Countess of Portugal The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Albert II Duke of Austria, Albert II Duke of Austria has predecessor Frederick the Fair The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Alexander Stewart 4th High Steward of Scotland, Alexander Stewart 4th High Steward of Scotland has predecessor Walter Stewart 3rd High Steward of Scotland The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry II of England, Henry II of England has predecessor Geoffrey Plantagenet Count of Anjou The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charlemagne, Charlemagne has predecessor Desiderius The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis XII, Louis XII has predecessor Ludovico Sforza The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
James III of Scotland has father James II of Scotland, James III of Scotland has predecessor James II of Scotland The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Beatrice of Provence, Beatrice of Provence has predecessor Ramon Berenguer IV Count of Provence The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Peter I of Portugal has father Afonso IV of Portugal, Peter I of Portugal has predecessor Afonso IV of Portugal The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Gerard Duke of Lorraine, Gerard Duke of Lorraine has predecessor Adalbert Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Alfonso II of Aragon has father Ramon Berenguer IV Count of Barcelona, Alfonso II of Aragon has predecessor Ramon Berenguer IV Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Robert I Latin Emperor, Robert I Latin Emperor has predecessor Yolanda Latin Empress The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry VII of England, Henry VII of England has predecessor Richard III of England The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Geoffrey Plantagenet Count of Anjou has father Fulk King of Jerusalem, Geoffrey Plantagenet Count of Anjou has predecessor Fulk King of Jerusalem The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Sancho II of Portugal, Sancho II of Portugal has predecessor Afonso II of Portugal The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Odo IV Duke of Burgundy, Odo IV Duke of Burgundy has predecessor Hugh V Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Joanna of Castile, Joanna of Castile has predecessor Philip I of Castile The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Albert I Duke of Brunswic L neburg has father Otto I Duke of Brunswic L neburg, Albert I Duke of Brunswic L neburg has predecessor Otto I Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Yaropolk I of Kiev, Yaropolk I of Kiev has predecessor Vladimir the Great The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Sviatopolk I of Kiev, Sviatopolk I of Kiev has predecessor Vladimir the Great The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Hugh IV Duke of Burgundy has father Odo III Duke of Burgundy, Hugh IV Duke of Burgundy has predecessor Odo III Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Matthias I Duke of Lorraine, Matthias I Duke of Lorraine has predecessor Simon I Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis XII has father Charles Duke of Orl ans, Louis XII has predecessor Charles Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Philip I Duke of Burgundy, Philip I Duke of Burgundy has predecessor Joan III Countess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Frederick III Holy Roman Emperor, Frederick III Holy Roman Emperor has predecessor Sigismund Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Odo II Duke of Burgundy has father Hugh II Duke of Burgundy, Odo II Duke of Burgundy has predecessor Hugh II Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Liutgard of Saxony died 885, Liutgard of Saxony died 885 has predecessor Hemma The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis II of Anjou has father Louis I of Anjou, Louis II of Anjou has predecessor Louis I of Anjou The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Philip I of France, Philip I of France has predecessor Henry I of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Galeazzo Maria Sforza has father Francesco I Sforza, Galeazzo Maria Sforza has predecessor Francesco I Sforza The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Rudolph II of Burgundy, Rudolph II of Burgundy has predecessor Berengar I of Italy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles IX of France, Charles IX of France has predecessor Francis II of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Willa of Burgundy, Willa of Burgundy has predecessor Marozia The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles Emmanuel IV of Sardinia, Charles Emmanuel IV of Sardinia has predecessor Victor Amadeus III of Sardinia The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Frederick III Holy Roman Emperor, Frederick III Holy Roman Emperor has predecessor Ladislaus the Posthumous The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Joan I of Navarre, Joan I of Navarre has predecessor Henry I of Navarre The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Alfonso V of Aragon, Alfonso V of Aragon has predecessor Ferdinand I of Aragon The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Joan Countess of Ponthieu, Joan Countess of Ponthieu has predecessor Simon Count of Ponthieu The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Oleg of Novgorod, Oleg of Novgorod has predecessor Rurik The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Robert II Count of Dreux, Robert II Count of Dreux has predecessor Agnes de Baudemont The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Yolanda Latin Empress, Yolanda Latin Empress has predecessor Peter II of Courtenay The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Rudolf II Holy Roman Emperor, Rudolf II Holy Roman Emperor has predecessor Maximilian II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ernest Augustus Elector of Hanover, Ernest Augustus Elector of Hanover has predecessor John Frederick Duke of Brunswic Calenberg The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Antoine Duke of Lorraine, Antoine Duke of Lorraine has predecessor Ren  II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles the Bold has father Philip the Good, Charles the Bold has predecessor Philip the Good The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Otto I Holy Roman Emperor, Otto I Holy Roman Emperor has predecessor Berengar II of Italy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Renata of Lorraine, Renata of Lorraine has predecessor Archduchess Anna of Austria The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
