Rule 5:
If child ?b, then successor ?b.
Joan III Countess of Burgundy, Joan III Countess of Burgundy has child Philip I Count of Auvergne The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Odo IV Duke of Burgundy, Odo IV Duke of Burgundy has child Philip I Count of Auvergne The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joan II Countess of Burgundy, Joan II Countess of Burgundy has child Blanche of France nun The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip V of France, Philip V of France has child Blanche of France nun The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joan II of Navarre, Joan II of Navarre has child Agnes of Navarre The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joan I Countess of Auvergne has successor Philip I Duke of Burgundy, Joan I Countess of Auvergne has child Philip I Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Joan I of Navarre, Joan I of Navarre has child Charles IV of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joan of Valois Countess of Hainaut, Joan of Valois Countess of Hainaut has child Joanna of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joan the Lame, Joan the Lame has child John II of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joanna of Castile, Joanna of Castile has child Catherine of Austria Queen of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip I of Castile, Philip I of Castile has child Catherine of Austria Queen of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John II of Aragon, John II of Aragon has child Alfonso de Arag n y Escobar The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John IV Duke of Brittany, John IV Duke of Brittany has child Arthur III Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John I Duke of Brittany, John I Duke of Brittany has child Alix of Brittany Dame de Pontarcy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John I Duke of Lorraine, John I Duke of Lorraine has child Charles II Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John I of Castile, John I of Castile has child Ferdinand I of Aragon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John King of England, John King of England has child Eleanor of England Countess of Leicester The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John of Gaunt, John of Gaunt has child Catherine of Lancaster The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John of Montfort, John of Montfort has child Joan of Brittany Baroness of Drayton The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John the Fearless, John the Fearless has child Agnes of Burgundy Duchess of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Bavaria, Margaret of Bavaria has child Agnes of Burgundy Duchess of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Judith of Habsburg, Judith of Habsburg has child Anne of Bohemia 1290 1313 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Landgravine Elisabeth Amalie of Hesse Darmstadt, Landgravine Elisabeth Amalie of Hesse Darmstadt has child Alexander Sigismund von der Pfalz Neuburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Leopold Duke of Lorraine, Leopold Duke of Lorraine has child Elisabeth Therese of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Leopold II Holy Roman Emperor, Leopold II Holy Roman Emperor has child Archduchess Maria Amalia of Austria 1780 1798 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Luisa of Spain, Maria Luisa of Spain has child Archduchess Maria Amalia of Austria 1780 1798 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Letizia Bonaparte, Letizia Bonaparte has child Caroline Bonaparte The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Lothair II of Italy, Lothair II of Italy has child Emma of Italy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Lothair of France, Lothair of France has child Arnulf archbishop of Reims The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Bonaparte, Louis Bonaparte has child Napol on Charles Bonaparte The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Hortense de Beauharnais, Hortense de Beauharnais has child Napol on Charles Bonaparte The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Count of  vreux, Louis Count of  vreux has child Charles d vreux The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Dauphin of France son of Louis XIV, Louis Dauphin of France son of Louis XIV has child Charles Duke of Berry 1686 1714 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Dauphin of France son of Louis XV, Louis Dauphin of France son of Louis XV has child Charles X The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Josepha of Saxony Dauphine of France, Maria Josepha of Saxony Dauphine of France has child Charles X The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Duke of Burgundy, Louis Duke of Burgundy has child Louis XV The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie Ad la de of Savoy, Marie Ad la de of Savoy has child Louis XV The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Duke of Orl ans 1703 1752 has successor Louis Philippe I Duke of Orl ans, Louis Duke of Orl ans 1703 1752 has child Louis Philippe I Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Louis II of Anjou, Louis II of Anjou has child Charles Count of Maine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Yolande of Aragon, Yolande of Aragon has child Charles Count of Maine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis IV Holy Roman Emperor, Louis IV Holy Roman Emperor has child Albert I Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis IX of France, Louis IX of France has child Agnes of France Duchess of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Provence, Margaret of Provence has child Agnes of France Duchess of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis I Duke of Bourbon, Louis I Duke of Bourbon has child Beatrice of Bourbon Queen of Bohemia The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis I Duke of Orl ans has successor Charles Duke of Orl ans, Louis I Duke of Orl ans has child Charles Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Louis I of Anjou, Louis I of Anjou has child Charles Prince of Taranto The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Philippe II Duke of Orl ans, Louis Philippe II Duke of Orl ans has child Ad la de d Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louise Marie Ad la de de Bourbon Duchess of Orl ans, Louise Marie Ad la de de Bourbon Duchess of Orl ans has child Ad la de d Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Philippe I Duke of Orl ans, Louis Philippe I Duke of Orl ans has child Bathilde d Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis XII, Louis XII has child Claude of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Anne of Brittany has successor Claude of France, Anne of Brittany has child Claude of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Louis XIII has successor Louis XIV, Louis XIII has child Louis XIV The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Louis XIV, Louis XIV has child Fran oise Marie de Bourbon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis XV, Louis XV has child Henriette of France 1727 1752 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis XVI, Louis XVI has child Louis Joseph Dauphin of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie Antoinette, Marie Antoinette has child Louis Joseph Dauphin of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis the Pious, Louis the Pious has child Charles the Bald The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis the Stammerer has successor Carloman II, Louis the Stammerer has child Carloman II The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Louise  lisabeth of France, Louise  lisabeth of France has child Ferdinand Duke of Parma The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louise of Savoy, Louise of Savoy has child Francis I of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Mar a Isabella of Spain, Mar a Isabella of Spain has child Charles Ferdinand Prince of Capua The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret Countess of Anjou, Margaret Countess of Anjou has child Charles II Count of Alen on The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Austria Queen of Spain, Margaret of Austria Queen of Spain has child Anne of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip III of Spain, Philip III of Spain has child Anne of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Bourbon 1438 1483, Margaret of Bourbon 1438 1483 has child Louise of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Brieg, Margaret of Brieg has child Albert II Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Burgundy Queen of France, Margaret of Burgundy Queen of France has child Joan II of Navarre The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Savoy Countess of Saint Pol, Margaret of Savoy Countess of Saint Pol has child Marie of Luxembourg Countess of Vend me The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Valois Angoul me, Margaret of Valois Angoul me has child Jeanne d Albret The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of the Palatinate, Margaret of the Palatinate has child Catherine of Lorraine Margravine of Bade Baden The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Amalia of Naples and Sicily, Maria Amalia of Naples and Sicily has child Antoine Duke of Montpensier The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Anna of Bavaria born 1551, Maria Anna of Bavaria born 1551 has child Anne of Austria Queen of Poland The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Antonia Ferdinanda of Spain, Maria Antonia Ferdinanda of Spain has child Charles Emmanuel IV of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Victor Amadeus III of Sardinia, Victor Amadeus III of Sardinia has child Charles Emmanuel IV of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Christina of the Two Sicilies, Maria Christina of the Two Sicilies has child Agust n Mar a Mu oz y Borb n 1st Duke of Taranc n The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Josepha of Austria, Maria Josepha of Austria has child Albert Casimir Duke of Teschen The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Teresa Cybo Malaspina Duchess of Massa has successor Maria Beatrice d Este Duchess of Massa, Maria Teresa Cybo Malaspina Duchess of Massa has child Maria Beatrice d Este Duchess of Massa The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Maria Teresa Felicitas d Este, Maria Teresa Felicitas d Este has child Jean Marie Duke of Ch teauvillain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Theresa of Austria Este Queen of Sardinia, Maria Theresa of Austria Este Queen of Sardinia has child Maria Anna of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Theresa of Spain, Maria Theresa of Spain has child Louis Dauphin of France son of Louis XIV The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis XIV, Louis XIV has child Louis Dauphin of France son of Louis XIV The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria of Aragon Queen of Portugal, Maria of Aragon Queen of Portugal has child Beatrice of Portugal Duchess of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria of Austria Holy Roman Empress, Maria of Austria Holy Roman Empress has child Albert VII Archduke of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maximilian II Holy Roman Emperor, Maximilian II Holy Roman Emperor has child Albert VII Archduke of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie Eleonore of Cleves, Marie Eleonore of Cleves has child Duchess Anna of Prussia The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie Louise Duchess of Parma, Marie Louise Duchess of Parma has child Napoleon II The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Napoleon has successor Napoleon II, Napoleon has child Napoleon II The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Marie de Medici, Marie de Medici has child Christine of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry IV of France, Henry IV of France has child Christine of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie of Brabant Queen of France, Marie of Brabant Queen of France has child Blanche of France Duchess of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip III of France, Philip III of France has child Blanche of France Duchess of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie of France Duchess of Bar, Marie of France Duchess of Bar has child Edward III Duke of Bar The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Mary Tudor Queen of France, Mary Tudor Queen of France has child Eleanor Clifford Countess of Cumberland The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Mary of Burgundy Duchess of Cleves, Mary of Burgundy Duchess of Cleves has child Adolph of Cleves Lord of Ravenstein The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Mary of Guise, Mary of Guise has child Fran ois III d Orl ans Duke of Longueville The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Mary of Hungary Queen of Naples, Mary of Hungary Queen of Naples has child Blanche of Anjou The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Matilda of Scotland, Matilda of Scotland has child Empress Matilda The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Matthias II Duke of Lorraine, Matthias II Duke of Lorraine has child Frederick III Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Matthias I Duke of Lorraine, Matthias I Duke of Lorraine has child Frederick I Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maximilian I Holy Roman Emperor, Maximilian I Holy Roman Emperor has child Margaret of Austria Duchess of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Nicholas Francis Duke of Lorraine, Nicholas Francis Duke of Lorraine has child Anne Marie Th r se de Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Nicolas Duke of Merc ur, Nicolas Duke of Merc ur has child Charles de Lorraine de Vaud mont The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Odo III Duke of Burgundy has successor Hugh IV Duke of Burgundy, Odo III Duke of Burgundy has child Hugh IV Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Odo II Duke of Burgundy has successor Hugh III Duke of Burgundy, Odo II Duke of Burgundy has child Hugh III Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Odo I Duke of Burgundy, Odo I Duke of Burgundy has child Florine of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Pepin the Short, Pepin the Short has child Carloman I The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Peter II of Aragon, Peter II of Aragon has child James I of Aragon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Peter I Duke of Brittany has successor John I Duke of Brittany, Peter I Duke of Brittany has child John I Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Peter I of Portugal, Peter I of Portugal has child Beatrice of Portugal died 1381 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip III of Navarre, Philip III of Navarre has child Blanche of Navarre Queen of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joan II of Navarre, Joan II of Navarre has child Blanche of Navarre Queen of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip II Duke of Savoy, Philip II Duke of Savoy has child Antonia of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip II of Spain, Philip II of Spain has child Carlos Prince of Asturias The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Prince Philippe Count of Paris, Prince Philippe Count of Paris has child Am lie of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Princess Marie Isabelle of Orl ans, Princess Marie Isabelle of Orl ans has child Am lie of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Princess Caroline Louise of Saxe Weimar Eisenach, Princess Caroline Louise of Saxe Weimar Eisenach has child Duchess Helene of Mecklenburg Schwerin The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Princess Christine Louise of Oettinge Oettingen, Princess Christine Louise of Oettinge Oettingen has child Charlotte Christine of Brunswic Wolfenb ttel The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Princess Louise of Hesse Darmstadt 1757 1830, Princess Louise of Hesse Darmstadt 1757 1830 has child Charles Frederick Grand Duke of Saxe Weimar Eisenach The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Princess Magdalena Augusta of Anhalt Zerbst, Princess Magdalena Augusta of Anhalt Zerbst has child Frederick III Duke of Saxe Gotha Altenburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Raymond of Burgundy, Raymond of Burgundy has child Alfonso VII of Le n and Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ren  II Duke of Lorraine has successor Antoine Duke of Lorraine, Ren  II Duke of Lorraine has child Antoine Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Richard Count of  tampes, Richard Count of  tampes has child Francis II Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Foix, Margaret of Foix has child Francis II Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Richeza of Poland Queen of Sweden, Richeza of Poland Queen of Sweden has child Canute V of Denmark The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Robert Count of Clermont, Robert Count of Clermont has child Count of Boulogne The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Robert III of Scotland, Robert III of Scotland has child David Stewart Duke of Rothesay The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Robert II Count of Dreux, Robert II Count of Dreux has child Henri de Dreux The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Robert II of Scotland, Robert II of Scotland has child Alexander Stewart Earl of Buchan The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Robert I Duke of Burgundy, Robert I Duke of Burgundy has child Constance of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Robert I of France, Robert I of France has child Emma of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Rozala of Italy, Rozala of Italy has child Baldwin IV Count of Flanders The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Rudolf I of Germany, Rudolf I of Germany has child Albert I of Germany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Gertrude of Hohenberg, Gertrude of Hohenberg has child Albert I of Germany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Rudolph Duke of Lorraine, Rudolph Duke of Lorraine has child John I Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Rudolph II of Burgundy, Rudolph II of Burgundy has child Adelaide of Italy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Rudolph I of Burgundy has successor Rudolph II of Burgundy, Rudolph I of Burgundy has child Rudolph II of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Rurik, Rurik has child Igor of Kiev The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Saint Margaret of Scotland, Saint Margaret of Scotland has child Alexander I of Scotland The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Salomea of Berg, Salomea of Berg has child Agnes of Poland The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Sancho III of Castile has successor Alfonso VIII of Castile, Sancho III of Castile has child Alfonso VIII of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Sancho IV of Castile, Sancho IV of Castile has child Alfonso de Castilla y Molina The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Sancho I of Portugal has successor Afonso II of Portugal, Sancho I of Portugal has child Afonso II of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Sibylla of Anjou, Sibylla of Anjou has child Gertrude of Flanders Countess of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Simon I Duke of Lorraine, Simon I Duke of Lorraine has child Agatha of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Sophia Eleonore of Saxony, Sophia Eleonore of Saxony has child Anna Sophia II Abbess of Quedlinburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Sophia of Minsk, Sophia of Minsk has child Canute VI of Denmark The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Valdemar I of Denmark has successor Canute VI of Denmark, Valdemar I of Denmark has child Canute VI of Denmark The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Stephen II Duke of Bavaria, Stephen II Duke of Bavaria has child Frederick Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Sviatoslav I, Sviatoslav I has child Malusha The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Theobald II Duke of Lorraine, Theobald II Duke of Lorraine has child Frederick IV Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Theobald I of Navarre, Theobald I of Navarre has child Beatrice of Navarre Duchess of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Theodoric II Duke of Lorraine has successor Simon I Duke of Lorraine, Theodoric II Duke of Lorraine has child Simon I Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Victor Amadeus I Duke of Savoy, Victor Amadeus I Duke of Savoy has child Charles Emmanuel II Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Violant of Bar, Violant of Bar has child Yolande of Aragon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis II of Anjou, Louis II of Anjou has child Yolande of Aragon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Wilhelmine Amalie of Brunswick, Wilhelmine Amalie of Brunswick has child Joseph I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Willa of Burgundy, Willa of Burgundy has child Willa of Tuscany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
William the Younger Duke of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has child Augustus the Elder Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Yolanda Latin Empress, Yolanda Latin Empress has child Baldwin II Latin Emperor The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Yolanda of Courtenay, Yolanda of Courtenay has child Violant of Hungary The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
 lffl d wife of Edward the Elder,  lffl d wife of Edward the Elder has child Eadgifu of Wessex The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Edward the Elder, Edward the Elder has child Eadgifu of Wessex The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
 thelwulf King of Wessex,  thelwulf King of Wessex has child Alfred the Great The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Salomea of Berg, Salomea of Berg has child Richeza of Poland Queen of Sweden The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry VII of England, Henry VII of England has child Elizabeth Tudor 1492 1495 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip II of Spain, Philip II of Spain has child Isabella Clara Eugenia The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Afonso IV of Portugal, Afonso IV of Portugal has child Peter I of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis I Holy Roman Emperor has successor Leopold II Holy Roman Emperor, Francis I Holy Roman Emperor has child Leopold II Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
