Rule 24:
If predecessor ?a, then child ?b.
Joanna of Castile, Philip I of Castile has predecessor Joanna of Castile The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Joanna of Castile has child Charles V Holy Roman Emperor, Charles V Holy Roman Emperor has predecessor Joanna of Castile The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Louis X of France, John I of France has predecessor Louis X of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Simon II Duke of Lorraine, Frederick I Duke of Lorraine has predecessor Simon II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Antonio Farnese Duke of Parma, Charles III of Spain has predecessor Antonio Farnese Duke of Parma The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Jeanne d Albret has child Henry IV of France, Henry IV of France has predecessor Jeanne d Albret The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Rudolf IV Duke of Austria, Leopold III Duke of Austria has predecessor Rudolf IV Duke of Austria The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis IV of France, Lothair of France has predecessor Louis IV of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Emmanuel Philibert Duke of Savoy has child Charles Emmanuel I Duke of Savoy, Charles Emmanuel I Duke of Savoy has predecessor Emmanuel Philibert Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Robert II of France has child Henry I of France, Henry I of France has predecessor Robert II of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Floris I Count of Holland, Dirk V Count of Holland has predecessor Floris I Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Joseph II Holy Roman Emperor, Leopold II Holy Roman Emperor has predecessor Joseph II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis Philippe II Duke of Orl ans has child Louis Philippe I, Louis Philippe I has predecessor Louis Philippe II Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Sancho VII of Navarre, Theobald I of Navarre has predecessor Sancho VII of Navarre The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Henry of Bohemia, John of Bohemia has predecessor Henry of Bohemia The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Henry of Bohemia, Albert II Duke of Austria has predecessor Henry of Bohemia The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles III Duke of Lorraine, Henry II Duke of Lorraine has predecessor Charles III Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Philip IV of Spain, John IV of Portugal has predecessor Philip IV of Spain The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Philip IV of Spain has child Charles II of Spain, Charles II of Spain has predecessor Philip IV of Spain The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Louis XII, Maximilian Sforza has predecessor Louis XII The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis XII, Ferdinand II of Aragon has predecessor Louis XII The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Peter II of Aragon has child James I of Aragon, James I of Aragon has predecessor Peter II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Conrad I of Burgundy has child Rudolph III of Burgundy, Rudolph III of Burgundy has predecessor Conrad I of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Blanche I of Navarre, John II of Aragon has predecessor Blanche I of Navarre The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Hugh IV Duke of Burgundy, Robert II Duke of Burgundy has predecessor Hugh IV Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Sigismund II Augustus, Henry III of France has predecessor Sigismund II Augustus The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles Martel, Carloman mayor of the palace has predecessor Charles Martel The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles Martel has child Pepin the Short, Pepin the Short has predecessor Charles Martel The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Charles III Duke of Savoy has child Emmanuel Philibert Duke of Savoy, Emmanuel Philibert Duke of Savoy has predecessor Charles III Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Anne Queen of Great Britain, George I of Great Britain has predecessor Anne Queen of Great Britain The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Henry VI of England, Edward IV of England has predecessor Henry VI of England The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Henry VI of England, Charles VII of France has predecessor Henry VI of England The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Eleanor of Castile, Edward II of England has predecessor Eleanor of Castile The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Wulfoald, Pepin of Herstal has predecessor Wulfoald The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Albert I of Germany, Henry VII Holy Roman Emperor has predecessor Albert I of Germany The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Margaret Countess of Anjou has child Philip VI of France, Philip VI of France has predecessor Margaret Countess of Anjou The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Rudolph II of Burgundy, Hugh of Italy has predecessor Rudolph II of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Rudolph II of Burgundy has child Conrad I of Burgundy, Conrad I of Burgundy has predecessor Rudolph II of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Alderano I Cybo Malaspina, Maria Teresa Cybo Malaspina Duchess of Massa has predecessor Alderano I Cybo Malaspina The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Afonso V of Portugal, John II of Portugal has predecessor Afonso V of Portugal The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
John II of France has child Charles V of France, Charles V of France has predecessor John II of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Lorenzo de Medici, Piero the Unfortunate has predecessor Lorenzo de Medici The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Frederick II Duke of Lorraine has child Theobald I Duke of Lorraine, Theobald I Duke of Lorraine has predecessor Frederick II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
James V of Scotland has child Mary Queen of Scots, Mary Queen of Scots has predecessor James V of Scotland The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Richard I of England, John King of England has predecessor Richard I of England The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Francesco I de Medici Grand Duke of Tuscany, Ferdinando I de Medici Grand Duke of Tuscany has predecessor Francesco I de Medici Grand Duke of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Francis I of France has child Henry II of France, Henry II of France has predecessor Francis I of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Theudoald, Charles Martel has predecessor Theudoald The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Frederick of Naples, Louis XII has predecessor Frederick of Naples The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis V of France, Hugh Capet has predecessor Louis V of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Lorenzo de Medici Duke of Urbino, Pope Clement VII has predecessor Lorenzo de Medici Duke of Urbino The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles Emmanuel III of Sardinia has child Victor Amadeus III of Sardinia, Victor Amadeus III of Sardinia has predecessor Charles Emmanuel III of Sardinia The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Maria Amalia of Naples and Sicily, Princess Marie Isabelle of Orl ans has predecessor Maria Amalia of Naples and Sicily The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Philibert II Duke of Savoy, Charles III Duke of Savoy has predecessor Philibert II Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Joan Countess of Ponthieu has child Eleanor of Castile, Eleanor of Castile has predecessor Joan Countess of Ponthieu The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Joan Countess of Ponthieu, John I Count of Aumale has predecessor Joan Countess of Ponthieu The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Gaston Duke of Orl ans, Philippe I Duke of Orl ans has predecessor Gaston Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Gian Gastone de Medici Grand Duke of Tuscany, Francis I Holy Roman Emperor has predecessor Gian Gastone de Medici Grand Duke of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charlemagne has child Louis the Pious, Louis the Pious has predecessor Charlemagne The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Louis IX of France has child Philip III of France, Philip III of France has predecessor Louis IX of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Peter II Count of Savoy, John I Duke of Brittany has predecessor Peter II Count of Savoy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Petronilla of Aragon, Alfonso II of Aragon has predecessor Petronilla of Aragon The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
James IV of Scotland has child James V of Scotland, James V of Scotland has predecessor James IV of Scotland The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Theodoric II Duke of Lorraine has child Simon I Duke of Lorraine, Simon I Duke of Lorraine has predecessor Theodoric II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Denis of Portugal has child Afonso IV of Portugal, Afonso IV of Portugal has predecessor Denis of Portugal The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Arthur III Duke of Brittany, Francis II Duke of Brittany has predecessor Arthur III Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Sancho III of Castile has child Alfonso VIII of Castile, Alfonso VIII of Castile has predecessor Sancho III of Castile The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Carloman of Bavaria, Charles the Fat has predecessor Carloman of Bavaria The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Philip III of France has child Philip IV of France, Philip IV of France has predecessor Philip III of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Nuno Mendes count, Raymond of Burgundy has predecessor Nuno Mendes count The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Robert III of Scotland, James I of Scotland has predecessor Robert III of Scotland The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Philip V of Spain, Victor Amadeus II of Sardinia has predecessor Philip V of Spain The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Philip V of Spain, Ferdinand VI of Spain has predecessor Philip V of Spain The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Philip V of Spain, Louis I of Spain has predecessor Philip V of Spain The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles III of Spain, Charles IV of Spain has predecessor Charles III of Spain The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles III of Spain, Charles VI Holy Roman Emperor has predecessor Charles III of Spain The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Francis Hyacinth Duke of Savoy, Charles Emmanuel II Duke of Savoy has predecessor Francis Hyacinth Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Albert II Duke of Austria has child Rudolf IV Duke of Austria, Rudolf IV Duke of Austria has predecessor Albert II Duke of Austria The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Amadeus VIII Duke of Savoy, Louis Duke of Savoy has predecessor Amadeus VIII Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Ren  of Anjou, Charles IV of Anjou has predecessor Ren  of Anjou The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles II of Spain, Philip V of Spain has predecessor Charles II of Spain The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Henry V of England has child Henry VI of England, Henry VI of England has predecessor Henry V of England The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
John IV Duke of Brittany has child John V Duke of Brittany, John V Duke of Brittany has predecessor John IV Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Louis II of Italy, Charles the Bald has predecessor Louis II of Italy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles VII Holy Roman Emperor, Francis I Holy Roman Emperor has predecessor Charles VII Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles VII Holy Roman Emperor, Maria Theresa has predecessor Charles VII Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Henry III of England has child Edward I of England, Edward I of England has predecessor Henry III of England The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Amadeus II Count of Savoy, Humbert II Count of Savoy has predecessor Amadeus II Count of Savoy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Alfonso II of Aragon has child Peter II of Aragon, Peter II of Aragon has predecessor Alfonso II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Joan I of Navarre has child Louis X of France, Louis X of France has predecessor Joan I of Navarre The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Giuliano de Medici Duke of Nemours, Lorenzo de Medici Duke of Urbino has predecessor Giuliano de Medici Duke of Nemours The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Rudolf I Duke of Bavaria, Louis IV Holy Roman Emperor has predecessor Rudolf I Duke of Bavaria The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Sancho I of Portugal has child Afonso II of Portugal, Afonso II of Portugal has predecessor Sancho I of Portugal The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
John Stewart of Darnley, John Stewart 3rd Lord of Aubigny has predecessor John Stewart of Darnley The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Odo II Duke of Burgundy has child Hugh III Duke of Burgundy, Hugh III Duke of Burgundy has predecessor Odo II Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Philip the Bold, John the Fearless has predecessor Philip the Bold The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles IX of France, Henry III of France has predecessor Charles IX of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Alessandro de Medici Duke of Florence, Cosimo I de Medici Grand Duke of Tuscany has predecessor Alessandro de Medici Duke of Florence The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Stephen King of England, Geoffrey Plantagenet Count of Anjou has predecessor Stephen King of England The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Antoine Philippe Duke of Montpensier, Antoine Duke of Montpensier has predecessor Antoine Philippe Duke of Montpensier The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Edward King of Portugal has child Afonso V of Portugal, Afonso V of Portugal has predecessor Edward King of Portugal The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Childeric III, Pepin the Short has predecessor Childeric III The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles II Duke of Savoy, Philip II Duke of Savoy has predecessor Charles II Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Robert I Duke of Burgundy, Hugh I Duke of Burgundy has predecessor Robert I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
William XII Count of Auvergne, Joan I Countess of Auvergne has predecessor William XII Count of Auvergne The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Adolphus Frederick II Duke of Mecklenburg Strelitz has child Adolphus Frederick III Duke of Mecklenburg Strelitz, Adolphus Frederick III Duke of Mecklenburg Strelitz has predecessor Adolphus Frederick II Duke of Mecklenburg Strelitz The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Theobald I Duke of Lorraine, Matthias II Duke of Lorraine has predecessor Theobald I Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Carloman mayor of the palace, Pepin the Short has predecessor Carloman mayor of the palace The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Piero di Cosimo de Medici, Lorenzo de Medici has predecessor Piero di Cosimo de Medici The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Ferdinand III of Castile has child Alfonso X of Castile, Alfonso X of Castile has predecessor Ferdinand III of Castile The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
David II of Scotland, Robert II of Scotland has predecessor David II of Scotland The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Judith of Bavaria died 843, Hemma has predecessor Judith of Bavaria died 843 The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Adelaide of Italy, Willa of Tuscany has predecessor Adelaide of Italy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Olga of Kiev, Sviatoslav I has predecessor Olga of Kiev The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Baldred of Kent, Ecgberht King of Wessex has predecessor Baldred of Kent The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Igor of Kiev, Olga of Kiev has predecessor Igor of Kiev The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
George III has child George IV, George IV has predecessor George III The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Hugh III Duke of Burgundy, Odo III Duke of Burgundy has predecessor Hugh III Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Alfonso V of Aragon, John II of Aragon has predecessor Alfonso V of Aragon The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Matthias I Duke of Lorraine has child Simon II Duke of Lorraine, Simon II Duke of Lorraine has predecessor Matthias I Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Theresa Countess of Portugal, Afonso I of Portugal has predecessor Theresa Countess of Portugal The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Frederick the Fair, Albert II Duke of Austria has predecessor Frederick the Fair The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Walter Stewart 3rd High Steward of Scotland, Alexander Stewart 4th High Steward of Scotland has predecessor Walter Stewart 3rd High Steward of Scotland The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Geoffrey Plantagenet Count of Anjou, Henry II of England has predecessor Geoffrey Plantagenet Count of Anjou The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Desiderius, Charlemagne has predecessor Desiderius The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Ludovico Sforza, Louis XII has predecessor Ludovico Sforza The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
James II of Scotland, James III of Scotland has predecessor James II of Scotland The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Ramon Berenguer IV Count of Provence has child Beatrice of Provence, Beatrice of Provence has predecessor Ramon Berenguer IV Count of Provence The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Afonso IV of Portugal has child Peter I of Portugal, Peter I of Portugal has predecessor Afonso IV of Portugal The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Adalbert Duke of Lorraine, Gerard Duke of Lorraine has predecessor Adalbert Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Ramon Berenguer IV Count of Barcelona, Alfonso II of Aragon has predecessor Ramon Berenguer IV Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Yolanda Latin Empress, Robert I Latin Emperor has predecessor Yolanda Latin Empress The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Richard III of England, Henry VII of England has predecessor Richard III of England The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Fulk King of Jerusalem has child Geoffrey Plantagenet Count of Anjou, Geoffrey Plantagenet Count of Anjou has predecessor Fulk King of Jerusalem The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Afonso II of Portugal has child Sancho II of Portugal, Sancho II of Portugal has predecessor Afonso II of Portugal The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Hugh V Duke of Burgundy, Odo IV Duke of Burgundy has predecessor Hugh V Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Philip I of Castile, Joanna of Castile has predecessor Philip I of Castile The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Otto I Duke of Brunswic L neburg, Albert I Duke of Brunswic L neburg has predecessor Otto I Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Vladimir the Great, Yaropolk I of Kiev has predecessor Vladimir the Great The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Vladimir the Great, Sviatopolk I of Kiev has predecessor Vladimir the Great The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Odo III Duke of Burgundy has child Hugh IV Duke of Burgundy, Hugh IV Duke of Burgundy has predecessor Odo III Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Simon I Duke of Lorraine, Matthias I Duke of Lorraine has predecessor Simon I Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles Duke of Orl ans has child Louis XII, Louis XII has predecessor Charles Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Joan III Countess of Burgundy, Philip I Duke of Burgundy has predecessor Joan III Countess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Sigismund Holy Roman Emperor, Frederick III Holy Roman Emperor has predecessor Sigismund Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Hugh II Duke of Burgundy has child Odo II Duke of Burgundy, Odo II Duke of Burgundy has predecessor Hugh II Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Hemma, Liutgard of Saxony died 885 has predecessor Hemma The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis I of Anjou has child Louis II of Anjou, Louis II of Anjou has predecessor Louis I of Anjou The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Henry I of France, Philip I of France has predecessor Henry I of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Francesco I Sforza, Galeazzo Maria Sforza has predecessor Francesco I Sforza The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Berengar I of Italy, Rudolph II of Burgundy has predecessor Berengar I of Italy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Francis II of France, Charles IX of France has predecessor Francis II of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Marozia, Willa of Burgundy has predecessor Marozia The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Victor Amadeus III of Sardinia has child Charles Emmanuel IV of Sardinia, Charles Emmanuel IV of Sardinia has predecessor Victor Amadeus III of Sardinia The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Ladislaus the Posthumous, Frederick III Holy Roman Emperor has predecessor Ladislaus the Posthumous The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Henry I of Navarre has child Joan I of Navarre, Joan I of Navarre has predecessor Henry I of Navarre The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Ferdinand I of Aragon has child Alfonso V of Aragon, Alfonso V of Aragon has predecessor Ferdinand I of Aragon The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Simon Count of Ponthieu, Joan Countess of Ponthieu has predecessor Simon Count of Ponthieu The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Rurik, Oleg of Novgorod has predecessor Rurik The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Agnes de Baudemont, Robert II Count of Dreux has predecessor Agnes de Baudemont The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Peter II of Courtenay, Yolanda Latin Empress has predecessor Peter II of Courtenay The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Maximilian II Holy Roman Emperor has child Rudolf II Holy Roman Emperor, Rudolf II Holy Roman Emperor has predecessor Maximilian II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
John Frederick Duke of Brunswic Calenberg, Ernest Augustus Elector of Hanover has predecessor John Frederick Duke of Brunswic Calenberg The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Ren  II Duke of Lorraine has child Antoine Duke of Lorraine, Antoine Duke of Lorraine has predecessor Ren  II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Philip the Good, Charles the Bold has predecessor Philip the Good The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
