Rule 2:
If father ?a, then successor ?b.
Louis Philippe II Duke of Orl ans has successor Louis Philippe I, Louis Philippe I has father Louis Philippe II Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Lothair of France has successor Louis V of France, Louis V of France has father Lothair of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Louis XVI, Louis XVII has father Louis XVI The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis XVI, Marie Th r se of France has father Louis XVI The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis Dauphin of France son of Louis XV, Louis XVIII has father Louis Dauphin of France son of Louis XV The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis Dauphin of France son of Louis XV, Charles X has father Louis Dauphin of France son of Louis XV The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis Dauphin of France son of Louis XV, Louis XVI has father Louis Dauphin of France son of Louis XV The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Nicolas Duke of Merc ur, Louise of Lorraine has father Nicolas Duke of Merc ur The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Herbert II Count of Vermandois, Luitgarde of Vermandois has father Herbert II Count of Vermandois The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John III Count of Auvergne, Madeleine de La Tour d Auvergne has father John III Count of Auvergne The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Albert Frederick Duke of Prussia, Magdalene Sibylle of Prussia has father Albert Frederick Duke of Prussia The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Magnus I Duke of Brunswic L neburg, Magnus II Duke of Brunswic L neburg has father Magnus I Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Albert II Duke of Brunswic L neburg, Magnus I Duke of Brunswic L neburg has father Albert II Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert II Count of Artois has successor Mahaut Countess of Artois, Mahaut Countess of Artois has father Robert II Count of Artois The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Guy IV Count of Saint Pol, Mahaut of Ch tillon has father Guy IV Count of Saint Pol The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Thomas Holland 2nd Earl of Kent, Margaret Holland Duchess of Clarence has father Thomas Holland 2nd Earl of Kent The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Thierry Count of Flanders, Margaret I Countess of Flanders has father Thierry Count of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
James I of Scotland, Margaret Stewart Dauphine of France has father James I of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
James I of Scotland, James II of Scotland has father James I of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Philip of Artois, Margaret of Artois has father Philip of Artois The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Francis of Baux, Margaret of Baux has father Francis of Baux The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Guy Count of Flanders, Margaret of Flanders Duchess of Brabant has father Guy Count of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
William I of Geneva, Margaret of Geneva has father William I of Geneva The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Philip Duke of Parma, Maria Luisa of Parma has father Philip Duke of Parma The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Maria of Austria Duchess of J lich Cleves Berg has father Ferdinand I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor has successor Maximilian II Holy Roman Emperor, Maximilian II Holy Roman Emperor has father Ferdinand I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Ferdinand I Holy Roman Emperor, Joanna of Austria Grand Duchess of Tuscany has father Ferdinand I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Archduchess Anna of Austria has father Ferdinand I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Philip of Swabia, Maria of Swabia has father Philip of Swabia The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
William IV Count of Ponthieu, Marie Countess of Ponthieu has father William IV Count of Ponthieu The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Victor Amadeus III of Sardinia, Marie Jos phine of Savoy has father Victor Amadeus III of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Victor Amadeus III of Sardinia, Maria Theresa of Savoy has father Victor Amadeus III of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Peter II Count of Saint Pol, Marie of Luxembourg Countess of Vend me has father Peter II Count of Saint Pol The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry VII Holy Roman Emperor, Marie of Luxembourg Queen of France has father Henry VII Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry VII Holy Roman Emperor has successor John of Bohemia, John of Bohemia has father Henry VII Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Humphrey de Bohun 7th Earl of Hereford, Mary de Bohun has father Humphrey de Bohun 7th Earl of Hereford The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert VII Lord of B thune, Matilda of B thune has father Robert VII Lord of B thune The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis IV Holy Roman Emperor, Matilda of Bavaria Margravine of Meissen has father Louis IV Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis IV Holy Roman Emperor, Stephen II Duke of Bavaria has father Louis IV Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Engelbert Duke of Carinthia, Matilda of Carinthia has father Engelbert Duke of Carinthia The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Liudolf Margrave of Frisia, Matilda of Frisia has father Liudolf Margrave of Frisia The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Hermann Billung, Matilda of Saxony countess of Flanders has father Hermann Billung The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John Stewart 1st Earl of Lennox, Matthew Stewart 2nd Earl of Lennox has father John Stewart 1st Earl of Lennox The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John Stewart 3rd Earl of Lennox, Matthew Stewart 4th Earl of Lennox has father John Stewart 3rd Earl of Lennox The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Patrick de Chaworth Lord of Kidwelly, Maud Chaworth has father Patrick de Chaworth Lord of Kidwelly The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Napoleon has successor Napoleon II, Napoleon II has father Napoleon The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Walter I Lord of Avesnes, Nicholas d Oisy Lord of Avesnes has father Walter I Lord of Avesnes The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Oberto I, Oberto II Margrave of Milan has father Oberto I The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Odo I Count of Blois, Odo II Count of Blois has father Odo I Count of Blois The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Theobald I Count of Blois, Odo I Count of Blois has father Theobald I Count of Blois The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert the Strong, Odo of France has father Robert the Strong The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert the Strong, Robert I of France has father Robert the Strong The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Werner I Count of Klettgau, Otto II Count of Habsburg has father Werner I Count of Klettgau The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis I Duke of Bavaria, Otto II Duke of Bavaria has father Louis I Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Hugh Count of Burgundy, Otto IV Count of Burgundy has father Hugh Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Eckhard I Count of Scheyern, Otto IV Count of Scheyern has father Eckhard I Count of Scheyern The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Otto IV Count of Scheyern, Otto I Duke of Bavaria has father Otto IV Count of Scheyern The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
William of Winchester Lord of Lunenburg, Otto I Duke of Brunswic L neburg has father William of Winchester Lord of Lunenburg The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Liudolf Duke of Saxony, Otto I Duke of Saxony has father Liudolf Duke of Saxony The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Frederick II Duke of Brunswic L neburg, Otto V Duke of Brunswic L neburg has father Frederick II Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Adalbert of Italy, Otto William Count of Burgundy has father Adalbert of Italy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Maredudd ap Tudur, Owen Tudor has father Maredudd ap Tudur The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis I Duke of Bourbon, Peter I Duke of Bourbon has father Louis I Duke of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis I Duke of Bourbon, James I Count of La Marche has father Louis I Duke of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert of Courtenay Lord of Champignelles, Peter of Courtenay Lord of Conches has father Robert of Courtenay Lord of Champignelles The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Philip III of France, Philip IV of France has father Philip III of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Philip III of France, Louis Count of  vreux has father Philip III of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles Count of Valois has successor Philip VI of France, Philip VI of France has father Charles Count of Valois The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Charles Count of Valois, Isabella of Valois Duchess of Bourbon has father Charles Count of Valois The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles Count of Valois, Joan of Valois Countess of Hainaut has father Charles Count of Valois The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis Dauphin of France son of Louis XIV, Philip V of Spain has father Louis Dauphin of France son of Louis XIV The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis Dauphin of France son of Louis XIV, Louis Duke of Burgundy has father Louis Dauphin of France son of Louis XIV The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis VI of France, Philip of France 1116 1131 has father Louis VI of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis VI of France, Robert I Count of Dreux has father Louis VI of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis VI of France has successor Louis VII of France, Louis VII of France has father Louis VI of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
John II of France has successor Philip the Bold, Philip the Bold has father John II of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
John II of France, Marie of France Duchess of Bar has father John II of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John II of France has successor Charles V of France, Charles V of France has father John II of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
John II of France, Louis I of Anjou has father John II of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John the Fearless, Philip the Good has father John the Fearless The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John the Fearless, Mary of Burgundy Duchess of Cleves has father John the Fearless The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
William I Count of Hainaut, Philippa of Hainault has father William I Count of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Lorenzo the Elder, Pierfrancesco the Elder has father Lorenzo the Elder The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Cosimo de Medici has successor Piero di Cosimo de Medici, Piero di Cosimo de Medici has father Cosimo de Medici The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Lorenzo de Medici has successor Piero the Unfortunate, Piero the Unfortunate has father Lorenzo de Medici The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Ramon Berenguer II Count of Barcelona, Ramon Berenguer III Count of Barcelona has father Ramon Berenguer II Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ramon Berenguer I Count of Barcelona, Ramon Berenguer II Count of Barcelona has father Ramon Berenguer I Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Berenguer Ramon I Count of Barcelona, Ramon Berenguer I Count of Barcelona has father Berenguer Ramon I Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Borrell II Count of Barcelona, Ramon Borrell Count of Barcelona has father Borrell II Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Otto William Count of Burgundy, Reginald I Count of Burgundy has father Otto William Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Reginar II Count of Hainaut, Reginar III Count of Hainaut has father Reginar II Count of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Reginar Longneck, Reginar II Count of Hainaut has father Reginar Longneck The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Bivin of Gorze, Richard Duke of Burgundy has father Bivin of Gorze The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert II Count of Hesbaye, Robert III of Worms has father Robert II Count of Hesbaye The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert III of Worms, Robert the Strong has father Robert III of Worms The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Albert III Count of Habsburg, Rudolf II Count of Habsburg has father Albert III Count of Habsburg The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Richard Duke of Burgundy, Rudolph of France has father Richard Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Amaury I de Montfort has successor Simon I de Montfort, Simon I de Montfort has father Amaury I de Montfort The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Augustus Duke of Saxe Weissenfels, Sophia of Saxe Weissenfels Princess of Anhalt Zerbst has father Augustus Duke of Saxe Weissenfels The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Theobald III Count of Blois, Stephen Count of Blois has father Theobald III Count of Blois The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Stephen II Duke of Bavaria, Stephen III Duke of Bavaria has father Stephen II Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Stephen II of Auxonne, Stephen III of Auxonne has father Stephen II of Auxonne The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
William III of M con, Stephen II of Auxonne has father William III of M con The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Wilfred the Hairy, Sunyer Count of Barcelona has father Wilfred the Hairy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Odo II Count of Blois, Theobald III Count of Blois has father Odo II Count of Blois The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry I Count of Champagne, Theobald III Count of Champagne has father Henry I Count of Champagne The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Stephen Count of Blois, Theobald II Count of Champagne has father Stephen Count of Blois The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Theobald the Elder, Theobald I Count of Blois has father Theobald the Elder The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
James Stewart 5th High Steward of Scotland, Walter Stewart 6th High Steward of Scotland has father James Stewart 5th High Steward of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Albert Azzo II Margrave of Milan, Welf I Duke of Bavaria has father Albert Azzo II Margrave of Milan The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Otto II Count of Habsburg, Werner II Count of Habsburg has father Otto II Count of Habsburg The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Radbot of Klettgau, Werner I Count of Klettgau has father Radbot of Klettgau The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Sunifred Count of Barcelona, Wilfred the Hairy has father Sunifred Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ebalus Duke of Aquitaine, William III Duke of Aquitaine has father Ebalus Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Stephen I Count of Burgundy, William III of M con has father Stephen I Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
William III Duke of Aquitaine, William IV Duke of Aquitaine has father William III Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
William III Duke of Aquitaine, Adelaide of Aquitaine has father William III Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
William VIII Duke of Aquitaine, William IX Duke of Aquitaine has father William VIII Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Reginald I Count of Burgundy, William I Count of Burgundy has father Reginald I Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John II Count of Holland, William I Count of Hainaut has father John II Count of Holland The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
William V Duke of Aquitaine, William VIII Duke of Aquitaine has father William V Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
William IV Duke of Aquitaine, William V Duke of Aquitaine has father William IV Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry the Lion, William of Winchester Lord of Lunenburg has father Henry the Lion The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert III Count of Dreux, Yolande of Dreux Duchess of Burgundy has father Robert III Count of Dreux The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry the Fowler, Gerberga of Saxony has father Henry the Fowler The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry the Fowler, Hedwig of Saxony has father Henry the Fowler The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Boso II of Italy, Boso the Elder has father Boso II of Italy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Francis II Duke of Brittany has successor Anne of Brittany, Anne of Brittany has father Francis II Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Louis Rudolph Duke of Brunswic L neburg, Elisabeth Christine of Brunswic Wolfenb ttel has father Louis Rudolph Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Philip III of Navarre, Blanche of Navarre Queen of France has father Philip III of Navarre The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Alfonso VIII of Castile, Blanche of Castile has father Alfonso VIII of Castile The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Theobald of Arles, Hugh of Italy has father Theobald of Arles The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Maximilian I Holy Roman Emperor, Philip I of Castile has father Maximilian I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Alfonso XI of Castile, Henry II of Castile has father Alfonso XI of Castile The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Francis I of France, Henry II of France has father Francis I of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Edward III of England, John of Gaunt has father Edward III of England The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Arthur II Duke of Brittany, John of Montfort has father Arthur II Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Theodoric II Duke of Lorraine has successor Simon I Duke of Lorraine, Simon I Duke of Lorraine has father Theodoric II Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Francis I Holy Roman Emperor, Marie Antoinette has father Francis I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Maria Carolina of Austria has father Francis I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Ferdinand Karl Archduke of Austria Este has father Francis I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Francis I Holy Roman Emperor has successor Leopold II Holy Roman Emperor, Leopold II Holy Roman Emperor has father Francis I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Charles VI of France, Catherine of Valois has father Charles VI of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles VI of France, Charles VII of France has father Charles VI of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ramon Berenguer IV Count of Provence, Eleanor of Provence has father Ramon Berenguer IV Count of Provence The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ramon Berenguer IV Count of Provence, Margaret of Provence has father Ramon Berenguer IV Count of Provence The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Odo III Duke of Burgundy has successor Hugh IV Duke of Burgundy, Hugh IV Duke of Burgundy has father Odo III Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Odo I Duke of Burgundy, Hugh II Duke of Burgundy has father Odo I Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Victor Amadeus I Duke of Savoy, Charles Emmanuel II Duke of Savoy has father Victor Amadeus I Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Afonso III of Portugal has successor Denis of Portugal, Denis of Portugal has father Afonso III of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Hugh III Duke of Burgundy has successor Odo III Duke of Burgundy, Odo III Duke of Burgundy has father Hugh III Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Ramon Berenguer IV Count of Barcelona has successor Alfonso II of Aragon, Alfonso II of Aragon has father Ramon Berenguer IV Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Ecgberht King of Wessex has successor  thelwulf King of Wessex,  thelwulf King of Wessex has father Ecgberht King of Wessex The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Leopold II Holy Roman Emperor, Francis II Holy Roman Emperor has father Leopold II Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Philip I of France has successor Louis VI of France, Louis VI of France has father Philip I of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Alfonso VII of Le n and Castile has successor Sancho III of Castile, Sancho III of Castile has father Alfonso VII of Le n and Castile The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Alfonso VII of Le n and Castile, Constance of Castile has father Alfonso VII of Le n and Castile The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Alfonso VII of Le n and Castile has successor Ferdinand II of Le n, Ferdinand II of Le n has father Alfonso VII of Le n and Castile The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Louis Duke of Savoy, Philip II Duke of Savoy has father Louis Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis Duke of Savoy, Charlotte of Savoy has father Louis Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis Duke of Savoy, Bona of Savoy has father Louis Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis Duke of Savoy, Margaret of Savoy Countess of Saint Pol has father Louis Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Frederick V Burgrave of Nuremberg, Elisabeth of Nuremberg has father Frederick V Burgrave of Nuremberg The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John II of Aragon has successor Ferdinand II of Aragon, Ferdinand II of Aragon has father John II of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Ferdinand I of Aragon, Eleanor of Aragon Queen of Portugal has father Ferdinand I of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ferdinand I of Aragon, John II of Aragon has father Ferdinand I of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Francis Count of Vend me, Antoinette of Bourbon has father Francis Count of Vend me The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Francis Count of Vend me, Charles Duke of Vend me has father Francis Count of Vend me The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ansegisel, Pepin of Herstal has father Ansegisel The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
