Rule 9:
If parent ?b, then predecessor ?b.
Margaret of Artois, Margaret of Artois has parent Blanche of Brittany The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Robert II Duke of Burgundy has predecessor Hugh IV Duke of Burgundy, Robert II Duke of Burgundy has parent Hugh IV Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Adelaide of Burgundy Duchess of Brabant, Adelaide of Burgundy Duchess of Brabant has parent Hugh IV Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Richard Count of  tampes, Richard Count of  tampes has parent Joan of Navarre Queen of England The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles Emmanuel I Duke of Savoy has predecessor Emmanuel Philibert Duke of Savoy, Charles Emmanuel I Duke of Savoy has parent Emmanuel Philibert Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Floris I Count of Holland, Floris I Count of Holland has parent Dirk III Count of Holland The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Otto I Duke of Brunswic L neburg, Otto I Duke of Brunswic L neburg has parent Helena of Denmark The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Eleanor of Viseu, Eleanor of Viseu has parent Beatriz of Portugal Duchess of Viseu The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Joan II Countess of Burgundy has predecessor Mahaut Countess of Artois, Joan II Countess of Burgundy has parent Mahaut Countess of Artois The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Blanche of Burgundy, Blanche of Burgundy has parent Mahaut Countess of Artois The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ebalus Duke of Aquitaine, Ebalus Duke of Aquitaine has parent Ranulf II of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Catherine of Vend me, Catherine of Vend me has parent Joan of Ponthieu Dame of Epernon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Edward III of England has predecessor Edward II of England, Edward III of England has parent Edward II of England The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Galeazzo Maria Sforza has predecessor Francesco I Sforza, Galeazzo Maria Sforza has parent Francesco I Sforza The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Anne of Cyprus, Anne of Cyprus has parent Charlotte of Bourbon Queen of Cyprus The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ernest Augustus Elector of Hanover, Ernest Augustus Elector of Hanover has parent George Duke of Brunswic Calenberg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Anna of Holstei Gottorp, Anna of Holstei Gottorp has parent Adolf Duke of Holstei Gottorp The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles V Duke of Lorraine, Charles V Duke of Lorraine has parent Nicholas Francis Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Yaroslav the Wise, Yaroslav the Wise has parent Anna Porphyrogenita The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Mary de Bohun, Mary de Bohun has parent Joan Fitzalan Countess of Hereford The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philip V of Spain, Philip V of Spain has parent Maria Anna Victoria of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis Duke of Burgundy, Louis Duke of Burgundy has parent Maria Anna Victoria of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Lorenzo de Medici has predecessor Piero di Cosimo de Medici, Lorenzo de Medici has parent Piero di Cosimo de Medici The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Henry the Middle Duke of Brunswic L neburg, Henry the Middle Duke of Brunswic L neburg has parent Otto V Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles Emmanuel I Duke of Savoy, Charles Emmanuel I Duke of Savoy has parent Margaret of Valois Duchess of Berry The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Beatrice of Savoy, Beatrice of Savoy has parent Thomas Count of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
William IX Duke of Aquitaine, William IX Duke of Aquitaine has parent Hildegarde of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Galeazzo Maria Sforza, Galeazzo Maria Sforza has parent Bianca Maria Visconti The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis Philippe I has predecessor Louis Philippe II Duke of Orl ans, Louis Philippe I has parent Louis Philippe II Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Henry VI of England, Henry VI of England has parent Catherine of Valois The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Leopold Duke of Lorraine, Leopold Duke of Lorraine has parent Eleonore of Austria Queen of Poland The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry the Lion, Henry the Lion has parent Gertrude of S pplingenburg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Piero di Cosimo de Medici, Piero di Cosimo de Medici has parent Contessina de Bardi The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Francis II Duke of Brittany, Francis II Duke of Brittany has parent Margaret Countess of Vertus The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John Stewart 1st Earl of Lennox, John Stewart 1st Earl of Lennox has parent Alan Stewart of Darnley The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Fulk I Count of Anjou, Fulk I Count of Anjou has parent Ingelger The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis V of France, Louis V of France has parent Emma of Italy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ferdinand IV of Castile, Ferdinand IV of Castile has parent Mar a de Molina The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles VI of France, Charles VI of France has parent Joanna of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis I Duke of Orl ans, Louis I Duke of Orl ans has parent Joanna of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Isabella of France, Isabella of France has parent Philip IV of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philip V of France, Philip V of France has parent Philip IV of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis X of France has predecessor Philip IV of France, Louis X of France has parent Philip IV of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Charles IV of France, Charles IV of France has parent Philip IV of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Theobald III Count of Champagne, Theobald III Count of Champagne has parent Henry I Count of Champagne The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Joanna of Castile has predecessor Ferdinand II of Aragon, Joanna of Castile has parent Ferdinand II of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
James I of Scotland has predecessor Robert III of Scotland, James I of Scotland has parent Robert III of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Edward I of England, Edward I of England has parent Eleanor of Provence The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Theresa of Austria Este Queen of Sardinia, Maria Theresa of Austria Este Queen of Sardinia has parent Ferdinand Karl Archduke of Austria Este The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles the Simple, Charles the Simple has parent Adelaide of Paris The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Nicholas d Oisy Lord of Avesnes, Nicholas d Oisy Lord of Avesnes has parent Walter I Lord of Avesnes The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis Duke of Savoy has predecessor Amadeus VIII Duke of Savoy, Louis Duke of Savoy has parent Amadeus VIII Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Marie of Cleves Duchess of Orl ans, Marie of Cleves Duchess of Orl ans has parent Mary of Burgundy Duchess of Cleves The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
James III of Scotland, James III of Scotland has parent Mary of Guelders The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Otto I Duke of Saxony, Otto I Duke of Saxony has parent Liudolf Duke of Saxony The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Rudolph I of Burgundy, Rudolph I of Burgundy has parent Conrad II Duke of Transjurane Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles the Fat, Charles the Fat has parent Hemma The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry VII of England, Henry VII of England has parent Lady Margaret Beaufort The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Amalia of Saxony, Maria Amalia of Saxony has parent Maria Josepha of Austria The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Josepha of Saxony Dauphine of France, Maria Josepha of Saxony Dauphine of France has parent Maria Josepha of Austria The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry I of France, Henry I of France has parent Constance of Arles The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Robert I Duke of Burgundy, Robert I Duke of Burgundy has parent Constance of Arles The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John II Count of Holland, John II Count of Holland has parent Adelaide of Holland The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Blanche of Navarre Queen of France, Blanche of Navarre Queen of France has parent Philip III of Navarre The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philip I of France has predecessor Henry I of France, Philip I of France has parent Henry I of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Mahaut of Ch tillon, Mahaut of Ch tillon has parent Marie of Brittany Countess of Saint Pol The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Blanche of Castile, Blanche of Castile has parent Alfonso VIII of Castile The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Sophia of Saxe Weissenfels Princess of Anhalt Zerbst, Sophia of Saxe Weissenfels Princess of Anhalt Zerbst has parent Augustus Duke of Saxe Weissenfels The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Antoine Duke of Montpensier, Antoine Duke of Montpensier has parent Louis Philippe I The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ferdinand Philippe Duke of Orl ans, Ferdinand Philippe Duke of Orl ans has parent Louis Philippe I The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Sancho IV of Castile, Sancho IV of Castile has parent Violant of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John I of Portugal, John I of Portugal has parent Teresa Louren o The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis VIII of France has predecessor Philip II of France, Louis VIII of France has parent Philip II of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Ramon Berenguer IV Count of Barcelona has predecessor Ramon Berenguer III Count of Barcelona, Ramon Berenguer IV Count of Barcelona has parent Ramon Berenguer III Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Berengaria of Barcelona, Berengaria of Barcelona has parent Ramon Berenguer III Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
James I of Scotland, James I of Scotland has parent Anabella Drummond The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Arnulf II Count of Flanders, Arnulf II Count of Flanders has parent Baldwin III Count of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Jeanne de Bourbon Duchess of Bourbon, Jeanne de Bourbon Duchess of Bourbon has parent John VIII Count of Vend me The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Napoleon II, Napoleon II has parent Marie Louise Duchess of Parma The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Eleanor of Provence, Eleanor of Provence has parent Ramon Berenguer IV Count of Provence The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Provence, Margaret of Provence has parent Ramon Berenguer IV Count of Provence The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Eleanor of Viseu, Eleanor of Viseu has parent Ferdinand Duke of Viseu The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie of Anjou, Marie of Anjou has parent Louis II of Anjou The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ren  of Anjou, Ren  of Anjou has parent Louis II of Anjou The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry Stuart Lord Darnley, Henry Stuart Lord Darnley has parent Margaret Douglas The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Blanche of Navarre Queen of France, Blanche of Navarre Queen of France has parent Joan II of Navarre The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Nicholas Francis Duke of Lorraine, Nicholas Francis Duke of Lorraine has parent Francis II Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John II of Portugal, John II of Portugal has parent Isabel of Coimbra The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Archduchess Maria Theresa of Austria Este 1817 1886, Archduchess Maria Theresa of Austria Este 1817 1886 has parent Francis IV Duke of Modena The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Berenguer Ramon I Count of Barcelona, Berenguer Ramon I Count of Barcelona has parent Ramon Borrell Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry V of England, Henry V of England has parent Henry IV of England The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
James II of Scotland, James II of Scotland has parent Joan Beaufort Queen of Scots The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret Stewart Dauphine of France, Margaret Stewart Dauphine of France has parent Joan Beaufort Queen of Scots The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Countess Caroline of Nassau Saarbr cken, Countess Caroline of Nassau Saarbr cken has parent Louis Crato Count of Nassau Saarbr cken The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
James I Count of La Marche, James I Count of La Marche has parent Louis I Duke of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Peter I Duke of Bourbon, Peter I Duke of Bourbon has parent Louis I Duke of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Joan Fitzalan Countess of Hereford, Joan Fitzalan Countess of Hereford has parent Richard Fitzalan 3rd Earl of Arundel The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Theobald II Count of Champagne, Theobald II Count of Champagne has parent Stephen Count of Blois The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ferdinand I of Aragon, Ferdinand I of Aragon has parent Eleanor of Aragon Queen of Castile The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Judith of Habsburg, Judith of Habsburg has parent Gertrude of Hohenberg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Clemence of Austria, Clemence of Austria has parent Gertrude of Hohenberg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Albert I of Germany, Albert I of Germany has parent Gertrude of Hohenberg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Rudolf I of Germany, Rudolf I of Germany has parent Albert IV Count of Habsburg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
William III of M con, William III of M con has parent Stephen I Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis Duke of Orl ans 1703 1752, Louis Duke of Orl ans 1703 1752 has parent Fran oise Marie de Bourbon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Francesco I Sforza, Francesco I Sforza has parent Lucia da Torsano The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry III Duke of Brabant, Henry III Duke of Brabant has parent Henry II Duke of Brabant The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Matilda of Brabant Countess of Artois, Matilda of Brabant Countess of Artois has parent Henry II Duke of Brabant The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Christine of Saxony, Christine of Saxony has parent George Duke of Saxony The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Rudolph of France, Rudolph of France has parent Richard Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Francis I of France, Francis I of France has parent Charles Count of Angoul me The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Valois Angoul me, Margaret of Valois Angoul me has parent Charles Count of Angoul me The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Eleanor of Austria, Eleanor of Austria has parent Philip I of Castile The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has parent Philip I of Castile The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles V Holy Roman Emperor, Charles V Holy Roman Emperor has parent Philip I of Castile The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Otto V Duke of Brunswic L neburg, Otto V Duke of Brunswic L neburg has parent Frederick II Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Alfred the Great, Alfred the Great has parent Osburh The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
William I Count of Hainaut, William I Count of Hainaut has parent Philippa of Luxembourg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Mahaut Countess of Artois has predecessor Robert II Count of Artois, Mahaut Countess of Artois has parent Robert II Count of Artois The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Baldwin VI Count of Flanders, Baldwin VI Count of Flanders has parent Adela of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Adelaide of Maurienne, Adelaide of Maurienne has parent Humbert II Count of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis the German has predecessor Louis the Pious, Louis the German has parent Louis the Pious The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Charles the Bald, Charles the Bald has parent Louis the Pious The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Beatriz of Portugal Duchess of Viseu, Beatriz of Portugal Duchess of Viseu has parent Isabel of Barcelos The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Isabella of Portugal Queen of Castile, Isabella of Portugal Queen of Castile has parent Isabel of Barcelos The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Joan Beaufort Queen of Scots, Joan Beaufort Queen of Scots has parent Margaret Holland Duchess of Clarence The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
William IX Duke of Aquitaine, William IX Duke of Aquitaine has parent William VIII Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Pepin the Short, Pepin the Short has parent Rotrude of Hesbaye The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Geoffrey Plantagenet Count of Anjou has predecessor Fulk King of Jerusalem, Geoffrey Plantagenet Count of Anjou has parent Fulk King of Jerusalem The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Sibylla of Anjou, Sibylla of Anjou has parent Fulk King of Jerusalem The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Berthold I of Istria, Berthold I of Istria has parent Berthold II Count of Andechs The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Afonso II of Portugal, Afonso II of Portugal has parent Dulce of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Magdalene Sibylle of Prussia, Magdalene Sibylle of Prussia has parent Marie Eleonore of Cleves The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Odo II Count of Blois, Odo II Count of Blois has parent Odo I Count of Blois The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
James Hepburn 4th Earl of Bothwell, James Hepburn 4th Earl of Bothwell has parent Patrick Hepburn 3rd Earl of Bothwell The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry I Duke of Brabant, Henry I Duke of Brabant has parent Godfrey III Count of Louvain The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Adolphus Frederick I Duke of Mecklenburg Schwerin, Adolphus Frederick I Duke of Mecklenburg Schwerin has parent Sophia of Holstei Gottorp The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Theobald II Duke of Lorraine, Theobald II Duke of Lorraine has parent Theobald I of Navarre The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Joan Countess of Ponthieu has predecessor Marie Countess of Ponthieu, Joan Countess of Ponthieu has parent Marie Countess of Ponthieu The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Louis the Pious has predecessor Charlemagne, Louis the Pious has parent Charlemagne The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Ingeborg of Denmark Queen of France, Ingeborg of Denmark Queen of France has parent Valdemar I of Denmark The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Sophia Eleonore of Saxony, Sophia Eleonore of Saxony has parent Magdalene Sibylle of Prussia The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Francis IV Duke of Modena, Francis IV Duke of Modena has parent Maria Beatrice d Este Duchess of Massa The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Theresa of Austria Este Queen of Sardinia, Maria Theresa of Austria Este Queen of Sardinia has parent Maria Beatrice d Este Duchess of Massa The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Afonso IV of Portugal has predecessor Denis of Portugal, Afonso IV of Portugal has parent Denis of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Margaret of Anjou, Margaret of Anjou has parent Isabella Duchess of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Theresa, Maria Theresa has parent Charles VI Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maredudd ap Tudur, Maredudd ap Tudur has parent Marged ferch Tomos The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis IV of France, Louis IV of France has parent Eadgifu of Wessex The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Cosimo I de Medici Grand Duke of Tuscany, Cosimo I de Medici Grand Duke of Tuscany has parent Giovanni delle Bande Nere The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Elisabeth of Meissen, Elisabeth of Meissen has parent Frederick II Margrave of Meissen The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie Antoinette, Marie Antoinette has parent Francis I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Leopold II Holy Roman Emperor, Leopold II Holy Roman Emperor has parent Francis I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Carolina of Austria, Maria Carolina of Austria has parent Francis I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ferdinand Karl Archduke of Austria Este, Ferdinand Karl Archduke of Austria Este has parent Francis I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie Caroline of Bourbo Two Sicilies Duchess of Berry, Marie Caroline of Bourbo Two Sicilies Duchess of Berry has parent Archduchess Maria Clementina of Austria The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Berengar II of Italy, Berengar II of Italy has parent Adalbert I of Ivrea The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Robert II Count of Dreux, Robert II Count of Dreux has parent Agnes de Baudemont Countess of Braine The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Arnulf I Count of Flanders, Arnulf I Count of Flanders has parent  lfthryth Countess of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Valdemar I of Denmark, Valdemar I of Denmark has parent Ingeborg of Kiev The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Elizabeth of Luxembourg, Elizabeth of Luxembourg has parent Sigismund Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ingegerd Olofsdotter of Sweden, Ingegerd Olofsdotter of Sweden has parent Olof Sk tkonung The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie Countess of Ponthieu, Marie Countess of Ponthieu has parent Alys of France Countess of Vexin The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
James Stewart 5th High Steward of Scotland, James Stewart 5th High Steward of Scotland has parent Alexander Stewart 4th High Steward of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Mahaut Countess of Artois, Mahaut Countess of Artois has parent Amicie de Courtenay The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
