Rule 27:
If successor ?b, then child ?b.
Ferdinand I of Aragon has child Alfonso V of Aragon, Ferdinand I of Aragon has successor Alfonso V of Aragon The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Ren  of Anjou, Ren  of Anjou has successor Alfonso V of Aragon The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Ecgberht King of Wessex has child  thelwulf King of Wessex, Ecgberht King of Wessex has successor  thelwulf King of Wessex The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Alfred the Great has child Edward the Elder, Alfred the Great has successor Edward the Elder The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Alfonso VII of Le n and Castile has child Sancho III of Castile, Alfonso VII of Le n and Castile has successor Sancho III of Castile The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Louis VI of France, Louis VI of France has successor Louis VII of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Edward King of Portugal has child Afonso V of Portugal, Edward King of Portugal has successor Afonso V of Portugal The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Louis XVIII, Louis XVIII has successor Charles X The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Alfonso XI of Castile, Alfonso XI of Castile has successor Peter of Castile The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Henry II of England has child Richard I of England, Henry II of England has successor Richard I of England The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Dirk I Count of Holland has child Dirk II Count of Holland, Dirk I Count of Holland has successor Dirk II Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Berenguer Ramon II Count of Barcelona, Berenguer Ramon II Count of Barcelona has successor Ramon Berenguer III Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Odo II Duke of Burgundy has child Hugh III Duke of Burgundy, Odo II Duke of Burgundy has successor Hugh III Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Francis II Duke of Brittany has child Anne of Brittany, Francis II Duke of Brittany has successor Anne of Brittany The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Charles II of Naples, Charles II of Naples has successor Margaret Countess of Anjou The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Frederick I Duke of Lorraine has child Frederick II Duke of Lorraine, Frederick I Duke of Lorraine has successor Frederick II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Theobald I Duke of Lorraine, Theobald I Duke of Lorraine has successor Matthias II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Ramon Berenguer III Count of Barcelona, Ramon Berenguer III Count of Barcelona has successor Ramon Berenguer IV Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
John Stewart of Darnley, John Stewart of Darnley has successor John Stewart 3rd Lord of Aubigny The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Isabella I of Castile, Isabella I of Castile has successor Joanna of Castile The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Ferdinand II of Aragon has child Joanna of Castile, Ferdinand II of Aragon has successor Joanna of Castile The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Blanche I of Navarre, Blanche I of Navarre has successor John II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Joan I of Navarre, Joan I of Navarre has successor Philip IV of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
John I of Portugal has child Edward King of Portugal, John I of Portugal has successor Edward King of Portugal The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
William the Younger Duke of Brunswic L neburg has child Ernest II Duke of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has successor Ernest II Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Frederick III Holy Roman Emperor, Frederick III Holy Roman Emperor has successor Maximilian I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Henry IV of England, Henry IV of England has successor Henry V of England The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Odo III Duke of Burgundy has child Hugh IV Duke of Burgundy, Odo III Duke of Burgundy has successor Hugh IV Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Louis the Pious has child Pepin I of Aquitaine, Louis the Pious has successor Pepin I of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Otto I Duke of Saxony, Otto I Duke of Saxony has successor Henry the Fowler The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Conrad I of Germany, Conrad I of Germany has successor Henry the Fowler The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Sancho IV of Castile, Sancho IV of Castile has successor Ferdinand IV of Castile The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Leopold II Holy Roman Emperor has child Ferdinand III Grand Duke of Tuscany, Leopold II Holy Roman Emperor has successor Ferdinand III Grand Duke of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Louis VIII of France, Louis VIII of France has successor Louis IX of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Charles VII of France has child Louis XI, Charles VII of France has successor Louis XI The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
John II of Aragon has child Eleanor of Navarre, John II of Aragon has successor Eleanor of Navarre The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Charles II Duke of Savoy, Charles II Duke of Savoy has successor Philip II Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Joanna of Castile, Joanna of Castile has successor Philip I of Castile The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Philip III of Navarre, Philip III of Navarre has successor Joan II of Navarre The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Charles IV of France, Charles IV of France has successor Joan II of Navarre The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
John IV Duke of Brittany has child John V Duke of Brittany, John IV Duke of Brittany has successor John V Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
James V of Scotland has child Mary Queen of Scots, James V of Scotland has successor Mary Queen of Scots The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Vladimir the Great, Vladimir the Great has successor Yaropolk I of Kiev The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis IV Holy Roman Emperor, Louis IV Holy Roman Emperor has successor Charles IV Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
John of Bohemia has child Charles IV Holy Roman Emperor, John of Bohemia has successor Charles IV Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Philip IV of France, Philip IV of France has successor Louis X of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Joan I of Navarre has child Louis X of France, Joan I of Navarre has successor Louis X of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Ernest Augustus Elector of Hanover has child George I of Great Britain, Ernest Augustus Elector of Hanover has successor George I of Great Britain The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Anne Queen of Great Britain, Anne Queen of Great Britain has successor George I of Great Britain The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Alfonso II Count of Provence has child Ramon Berenguer IV Count of Provence, Alfonso II Count of Provence has successor Ramon Berenguer IV Count of Provence The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Rurik, Rurik has successor Oleg of Novgorod The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Sweyn III of Denmark, Sweyn III of Denmark has successor Valdemar I of Denmark The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Robert II Duke of Burgundy has child Hugh V Duke of Burgundy, Robert II Duke of Burgundy has successor Hugh V Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Joan II of Navarre, Joan II of Navarre has successor Charles II of Navarre The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Prince Philippe Count of Paris has child Prince Philippe Duke of Orl ans 1869 1926, Prince Philippe Count of Paris has successor Prince Philippe Duke of Orl ans 1869 1926 The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Francis I Duke of Lorraine has child Charles III Duke of Lorraine, Francis I Duke of Lorraine has successor Charles III Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Charles VII Holy Roman Emperor, Charles VII Holy Roman Emperor has successor Maria Theresa The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Frederick William Duke of Mecklenburg Schwerin, Frederick William Duke of Mecklenburg Schwerin has successor Adolphus Frederick II Duke of Mecklenburg Strelitz The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Desiderius, Desiderius has successor Charlemagne The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis II of Italy, Louis II of Italy has successor Charles the Bald The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Piero the Unfortunate, Piero the Unfortunate has successor Girolamo Savonarola The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Bernard of Gothia, Bernard of Gothia has successor Wilfred the Hairy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Charles III Duke of Lorraine, Charles III Duke of Lorraine has successor Henry II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Lorenzo de Medici, Lorenzo de Medici has successor Piero the Unfortunate The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Henry V of England has child Henry VI of England, Henry V of England has successor Henry VI of England The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Edward IV of England, Edward IV of England has successor Henry VI of England The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Joan II Countess of Burgundy has child Joan III Countess of Burgundy, Joan II Countess of Burgundy has successor Joan III Countess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
John I of Castile has child Henry III of Castile, John I of Castile has successor Henry III of Castile The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Maria Amalia of Naples and Sicily, Maria Amalia of Naples and Sicily has successor Princess Marie Isabelle of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Joseph II Holy Roman Emperor, Joseph II Holy Roman Emperor has successor Leopold II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Francis I Holy Roman Emperor has child Leopold II Holy Roman Emperor, Francis I Holy Roman Emperor has successor Leopold II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Hugh III Duke of Burgundy, Hugh III Duke of Burgundy has successor Odo III Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Henry the Lion, Henry the Lion has successor Bernhard Count of Anhalt The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis XI has child Charles VIII of France, Louis XI has successor Charles VIII of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Golden Ambrosian Republic, Golden Ambrosian Republic has successor Francesco I Sforza The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Edward II of England has child Edward III of England, Edward II of England has successor Edward III of England The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
John of Gaunt, John of Gaunt has successor Henry IV of England The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Richard II of England, Richard II of England has successor Henry IV of England The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Napoleon has child Napoleon II, Napoleon has successor Napoleon II The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
John II of Portugal, John II of Portugal has successor Manuel I of Portugal The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has successor Joseph II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Maria Theresa has child Joseph II Holy Roman Emperor, Maria Theresa has successor Joseph II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Louis XV, Louis XV has successor Louis XVI The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
John of Montfort has child John IV Duke of Brittany, John of Montfort has successor John IV Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Robert III of Scotland, Robert III of Scotland has successor James I of Scotland The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis Philippe I, Louis Philippe I has successor Ferdinand Philippe Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis X of France, Louis X of France has successor John I of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis Philippe I, Louis Philippe I has successor Napoleon III The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis Bonaparte has child Napol on Louis Bonaparte, Louis Bonaparte has successor Napol on Louis Bonaparte The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Louis XIII has child Louis XIV, Louis XIII has successor Louis XIV The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Lorenzo de Medici Duke of Urbino, Lorenzo de Medici Duke of Urbino has successor Pope Clement VII The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Francesco I de Medici Grand Duke of Tuscany, Francesco I de Medici Grand Duke of Tuscany has successor Ferdinando I de Medici Grand Duke of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis Antoine Duke of Angoul me, Louis Antoine Duke of Angoul me has successor Henri Count of Chambord The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Charles X, Charles X has successor Henri Count of Chambord The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Arnulf Count of Holland has child Dirk III Count of Holland, Arnulf Count of Holland has successor Dirk III Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Robert I Count of Dreux, Robert I Count of Dreux has successor Robert II Count of Dreux The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Agnes de Baudemont, Agnes de Baudemont has successor Robert II Count of Dreux The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Dirk III Count of Holland has child Dirk IV Count of Holland, Dirk III Count of Holland has successor Dirk IV Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Hugh I Duke of Burgundy, Hugh I Duke of Burgundy has successor Odo I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Willa of Tuscany, Willa of Tuscany has successor Gerberga of M con The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Hugh IV Duke of Burgundy, Hugh IV Duke of Burgundy has successor Robert II Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Dirk II Count of Holland has child Arnulf Count of Holland, Dirk II Count of Holland has successor Arnulf Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Isabella Duchess of Lorraine has child John II Duke of Lorraine, Isabella Duchess of Lorraine has successor John II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Philip II of Spain, Philip II of Spain has successor Philip III of Spain The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis V of France, Louis V of France has successor Hugh Capet The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis Philippe I, Louis Philippe I has successor Jacques Charles Dupont de l Eure The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Charles the Fat, Charles the Fat has successor Berengar I of Italy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Robert II of France has child Henry I of France, Robert II of France has successor Henry I of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Hugh Magnus, Hugh Magnus has successor Henry I of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Philip the Bold, Philip the Bold has successor John the Fearless The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Mary Queen of Scots has child James VI and I, Mary Queen of Scots has successor James VI and I The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Berengar II of Italy, Berengar II of Italy has successor Otto I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Theodoric II Duke of Lorraine has child Simon I Duke of Lorraine, Theodoric II Duke of Lorraine has successor Simon I Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Charles Emmanuel III of Sardinia has child Victor Amadeus III of Sardinia, Charles Emmanuel III of Sardinia has successor Victor Amadeus III of Sardinia The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Francis Hyacinth Duke of Savoy, Francis Hyacinth Duke of Savoy has successor Charles Emmanuel II Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Ren  II Duke of Lorraine has child Antoine Duke of Lorraine, Ren  II Duke of Lorraine has successor Antoine Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Theobald II of Navarre, Theobald II of Navarre has successor Henry I of Navarre The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Ren  of Anjou, Ren  of Anjou has successor Charles IV of Anjou The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Nuno Mendes count, Nuno Mendes count has successor Raymond of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis the German has child Carloman of Bavaria, Louis the German has successor Carloman of Bavaria The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Marie Countess of Ponthieu, Marie Countess of Ponthieu has successor Joan Countess of Ponthieu The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Simon Count of Ponthieu, Simon Count of Ponthieu has successor Joan Countess of Ponthieu The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Prince Philippe Count of Paris, Prince Philippe Count of Paris has successor French Revolution of 1848 The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis Philippe I, Louis Philippe I has successor French Revolution of 1848 The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Galeazzo Maria Sforza, Galeazzo Maria Sforza has successor Gian Galeazzo Sforza The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Cosimo de Medici, Cosimo de Medici has successor Piero di Cosimo de Medici The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Henry VII of England has child Henry VIII, Henry VII of England has successor Henry VIII The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Louis Count of Vend me, Louis Count of Vend me has successor John VIII Count of Vend me The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis the Stammerer has child Louis III of France, Louis the Stammerer has successor Louis III of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Alfonso VII of Le n and Castile has child Ferdinand II of Le n, Alfonso VII of Le n and Castile has successor Ferdinand II of Le n The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Maria Theresa, Maria Theresa has successor Charles VII Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Charles III of Spain, Charles III of Spain has successor Charles IV of Spain The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Henri Count of Chambord, Henri Count of Chambord has successor Prince Philippe Count of Paris The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Amaury I de Montfort, Amaury I de Montfort has successor Simon I de Montfort The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Peter II of Courtenay, Peter II of Courtenay has successor Yolanda Latin Empress The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis IX of France has child Philip III of France, Louis IX of France has successor Philip III of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Alfonso VIII of Castile has child Henry I of Castile, Alfonso VIII of Castile has successor Henry I of Castile The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Louis the Pious has child Louis the German, Louis the Pious has successor Louis the German The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
David II of Scotland, David II of Scotland has successor Robert II of Scotland The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Philippe II Duke of Orl ans has child Louis Duke of Orl ans 1703 1752, Philippe II Duke of Orl ans has successor Louis Duke of Orl ans 1703 1752 The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Henri Jules Prince of Cond , Henri Jules Prince of Cond  has successor Louis Duke of Orl ans 1703 1752 The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Fulk King of Jerusalem has child Geoffrey Plantagenet Count of Anjou, Fulk King of Jerusalem has successor Geoffrey Plantagenet Count of Anjou The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Stephen King of England, Stephen King of England has successor Geoffrey Plantagenet Count of Anjou The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Ferdinand I of the Two Sicilies has child Francis I of the Two Sicilies, Ferdinand I of the Two Sicilies has successor Francis I of the Two Sicilies The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Hugh V Duke of Burgundy, Hugh V Duke of Burgundy has successor Odo IV Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Claude of France, Claude of France has successor Francis III Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
John II of France has child Charles V of France, John II of France has successor Charles V of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Ramon Berenguer IV Count of Provence has child Beatrice of Provence, Ramon Berenguer IV Count of Provence has successor Beatrice of Provence The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Antoine Duke of Montpensier, Antoine Duke of Montpensier has successor Prince Ferdinand Duke of Montpensier The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Pepin of Herstal, Pepin of Herstal has successor Theudoald The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Frederick II Duke of Lorraine has child Theobald I Duke of Lorraine, Frederick II Duke of Lorraine has successor Theobald I Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Geoffrey Plantagenet Count of Anjou, Geoffrey Plantagenet Count of Anjou has successor Henry II of England The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Stephen King of England, Stephen King of England has successor Henry II of England The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Robert II Count of Artois, Robert II Count of Artois has successor Mahaut Countess of Artois The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
John II Duke of Brittany has child Arthur II Duke of Brittany, John II Duke of Brittany has successor Arthur II Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Philip V of Spain, Philip V of Spain has successor Ferdinand VI of Spain The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Odo of France, Odo of France has successor Charles the Simple The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
James I of Aragon has child Peter III of Aragon, James I of Aragon has successor Peter III of Aragon The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Henry I of Navarre has child Joan I of Navarre, Henry I of Navarre has successor Joan I of Navarre The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Conrad I of Burgundy has child Rudolph III of Burgundy, Conrad I of Burgundy has successor Rudolph III of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Geoffrey III Count of Anjou, Geoffrey III Count of Anjou has successor Fulk IV Count of Anjou The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Adolphus Frederick II Duke of Mecklenburg Strelitz has child Adolphus Frederick III Duke of Mecklenburg Strelitz, Adolphus Frederick II Duke of Mecklenburg Strelitz has successor Adolphus Frederick III Duke of Mecklenburg Strelitz The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Anne of Brittany has child Claude of France, Anne of Brittany has successor Claude of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Afonso III of Portugal has child Denis of Portugal, Afonso III of Portugal has successor Denis of Portugal The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Henry II of France has child Francis II of France, Henry II of France has successor Francis II of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Adelaide of Italy, Adelaide of Italy has successor Willa of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Ermengarde of Tuscany, Ermengarde of Tuscany has successor Willa of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
