Rule 22:
If father ?b, then parent ?b.
John I Count of Hainaut has parent Bouchard IV of Avesnes, John I Count of Hainaut has father Bouchard IV of Avesnes The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
John I Count of La Marche has parent James I Count of La Marche, John I Count of La Marche has father James I Count of La Marche The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
John I of France has parent Louis X of France, John I of France has father Louis X of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
John Stewart 1st Earl of Lennox has parent Alan Stewart of Darnley, John Stewart 1st Earl of Lennox has father Alan Stewart of Darnley The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
John Stewart 3rd Earl of Lennox has parent Matthew Stewart 2nd Earl of Lennox, John Stewart 3rd Earl of Lennox has father Matthew Stewart 2nd Earl of Lennox The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
John Stewart of Darnley, John Stewart of Darnley has father Alexander Stewart of Darnley died 1404 The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
John VIII Count of Vend me has parent Louis Count of Vend me, John VIII Count of Vend me has father Louis Count of Vend me The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Judith of Bavaria died 843 has parent Welf father of Judith, Judith of Bavaria died 843 has father Welf father of Judith The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Hemma has parent Welf father of Judith, Hemma has father Welf father of Judith The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Lambert II Count of Louvain, Lambert II Count of Louvain has father Lambert I Count of Louvain The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Lambert I Count of Louvain has parent Reginar III Count of Hainaut, Lambert I Count of Louvain has father Reginar III Count of Hainaut The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Leopold III Duke of Austria, Leopold III Duke of Austria has father Albert II Duke of Austria The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Liudolf Margrave of Frisia has parent Brun I Count of Brunswick, Liudolf Margrave of Frisia has father Brun I Count of Brunswick The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Lorenzo de Medici has parent Piero di Cosimo de Medici, Lorenzo de Medici has father Piero di Cosimo de Medici The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Lorenzo de Medici Duke of Urbino has parent Piero the Unfortunate, Lorenzo de Medici Duke of Urbino has father Piero the Unfortunate The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis Antoine Duke of Angoul me, Louis Antoine Duke of Angoul me has father Charles X The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Charles Ferdinand Duke of Berry has parent Charles X, Charles Ferdinand Duke of Berry has father Charles X The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis Count of Vend me has parent John I Count of La Marche, Louis Count of Vend me has father John I Count of La Marche The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Charlotte of Bourbon Queen of Cyprus has parent John I Count of La Marche, Charlotte of Bourbon Queen of Cyprus has father John I Count of La Marche The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis II Duke of Bavaria has parent Otto II Duke of Bavaria, Louis II Duke of Bavaria has father Otto II Duke of Bavaria The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis I Duke of Bavaria has parent Otto I Duke of Bavaria, Louis I Duke of Bavaria has father Otto I Duke of Bavaria The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis Philippe I has parent Louis Philippe II Duke of Orl ans, Louis Philippe I has father Louis Philippe II Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis V of France, Louis V of France has father Lothair of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Louis XVII has parent Louis XVI, Louis XVII has father Louis XVI The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Marie Th r se of France has parent Louis XVI, Marie Th r se of France has father Louis XVI The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis XVIII, Louis XVIII has father Louis Dauphin of France son of Louis XV The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Charles X has parent Louis Dauphin of France son of Louis XV, Charles X has father Louis Dauphin of France son of Louis XV The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis XVI has parent Louis Dauphin of France son of Louis XV, Louis XVI has father Louis Dauphin of France son of Louis XV The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louise of Lorraine has parent Nicolas Duke of Merc ur, Louise of Lorraine has father Nicolas Duke of Merc ur The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Luitgarde of Vermandois, Luitgarde of Vermandois has father Herbert II Count of Vermandois The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Madeleine de La Tour d Auvergne, Madeleine de La Tour d Auvergne has father John III Count of Auvergne The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Magdalene Sibylle of Prussia, Magdalene Sibylle of Prussia has father Albert Frederick Duke of Prussia The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Magnus II Duke of Brunswic L neburg has parent Magnus I Duke of Brunswic L neburg, Magnus II Duke of Brunswic L neburg has father Magnus I Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Magnus I Duke of Brunswic L neburg, Magnus I Duke of Brunswic L neburg has father Albert II Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Mahaut Countess of Artois has parent Robert II Count of Artois, Mahaut Countess of Artois has father Robert II Count of Artois The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Mahaut of Ch tillon, Mahaut of Ch tillon has father Guy IV Count of Saint Pol The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Margaret Holland Duchess of Clarence has parent Thomas Holland 2nd Earl of Kent, Margaret Holland Duchess of Clarence has father Thomas Holland 2nd Earl of Kent The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Margaret I Countess of Flanders, Margaret I Countess of Flanders has father Thierry Count of Flanders The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Margaret Stewart Dauphine of France has parent James I of Scotland, Margaret Stewart Dauphine of France has father James I of Scotland The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
James II of Scotland, James II of Scotland has father James I of Scotland The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Margaret of Artois has parent Philip of Artois, Margaret of Artois has father Philip of Artois The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Margaret of Baux has parent Francis of Baux, Margaret of Baux has father Francis of Baux The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Margaret of Flanders Duchess of Brabant has parent Guy Count of Flanders, Margaret of Flanders Duchess of Brabant has father Guy Count of Flanders The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Margaret of Geneva has parent William I of Geneva, Margaret of Geneva has father William I of Geneva The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Maria Luisa of Parma has parent Philip Duke of Parma, Maria Luisa of Parma has father Philip Duke of Parma The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Maria of Austria Duchess of J lich Cleves Berg has parent Ferdinand I Holy Roman Emperor, Maria of Austria Duchess of J lich Cleves Berg has father Ferdinand I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Maximilian II Holy Roman Emperor has parent Ferdinand I Holy Roman Emperor, Maximilian II Holy Roman Emperor has father Ferdinand I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Joanna of Austria Grand Duchess of Tuscany has parent Ferdinand I Holy Roman Emperor, Joanna of Austria Grand Duchess of Tuscany has father Ferdinand I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Archduchess Anna of Austria has parent Ferdinand I Holy Roman Emperor, Archduchess Anna of Austria has father Ferdinand I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Maria of Swabia has parent Philip of Swabia, Maria of Swabia has father Philip of Swabia The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Marie Countess of Ponthieu has parent William IV Count of Ponthieu, Marie Countess of Ponthieu has father William IV Count of Ponthieu The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Marie Jos phine of Savoy has parent Victor Amadeus III of Sardinia, Marie Jos phine of Savoy has father Victor Amadeus III of Sardinia The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Maria Theresa of Savoy has parent Victor Amadeus III of Sardinia, Maria Theresa of Savoy has father Victor Amadeus III of Sardinia The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Marie of Luxembourg Countess of Vend me, Marie of Luxembourg Countess of Vend me has father Peter II Count of Saint Pol The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Marie of Luxembourg Queen of France, Marie of Luxembourg Queen of France has father Henry VII Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
John of Bohemia, John of Bohemia has father Henry VII Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Mary de Bohun has parent Humphrey de Bohun 7th Earl of Hereford, Mary de Bohun has father Humphrey de Bohun 7th Earl of Hereford The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Matilda of B thune, Matilda of B thune has father Robert VII Lord of B thune The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Matilda of Bavaria Margravine of Meissen, Matilda of Bavaria Margravine of Meissen has father Louis IV Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Stephen II Duke of Bavaria has parent Louis IV Holy Roman Emperor, Stephen II Duke of Bavaria has father Louis IV Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Matilda of Carinthia has parent Engelbert Duke of Carinthia, Matilda of Carinthia has father Engelbert Duke of Carinthia The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Matilda of Frisia has parent Liudolf Margrave of Frisia, Matilda of Frisia has father Liudolf Margrave of Frisia The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Matilda of Saxony countess of Flanders has parent Hermann Billung, Matilda of Saxony countess of Flanders has father Hermann Billung The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Matthew Stewart 2nd Earl of Lennox has parent John Stewart 1st Earl of Lennox, Matthew Stewart 2nd Earl of Lennox has father John Stewart 1st Earl of Lennox The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Matthew Stewart 4th Earl of Lennox, Matthew Stewart 4th Earl of Lennox has father John Stewart 3rd Earl of Lennox The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Maud Chaworth has parent Patrick de Chaworth Lord of Kidwelly, Maud Chaworth has father Patrick de Chaworth Lord of Kidwelly The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Napoleon II has parent Napoleon, Napoleon II has father Napoleon The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Nicholas d Oisy Lord of Avesnes has parent Walter I Lord of Avesnes, Nicholas d Oisy Lord of Avesnes has father Walter I Lord of Avesnes The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Oberto II Margrave of Milan, Oberto II Margrave of Milan has father Oberto I The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Odo II Count of Blois has parent Odo I Count of Blois, Odo II Count of Blois has father Odo I Count of Blois The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Odo I Count of Blois has parent Theobald I Count of Blois, Odo I Count of Blois has father Theobald I Count of Blois The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Odo of France has parent Robert the Strong, Odo of France has father Robert the Strong The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Robert I of France, Robert I of France has father Robert the Strong The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Otto II Count of Habsburg, Otto II Count of Habsburg has father Werner I Count of Klettgau The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Otto II Duke of Bavaria has parent Louis I Duke of Bavaria, Otto II Duke of Bavaria has father Louis I Duke of Bavaria The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Otto IV Count of Burgundy has parent Hugh Count of Burgundy, Otto IV Count of Burgundy has father Hugh Count of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Otto IV Count of Scheyern, Otto IV Count of Scheyern has father Eckhard I Count of Scheyern The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Otto I Duke of Bavaria has parent Otto IV Count of Scheyern, Otto I Duke of Bavaria has father Otto IV Count of Scheyern The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Otto I Duke of Brunswic L neburg has parent William of Winchester Lord of Lunenburg, Otto I Duke of Brunswic L neburg has father William of Winchester Lord of Lunenburg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Otto I Duke of Saxony has parent Liudolf Duke of Saxony, Otto I Duke of Saxony has father Liudolf Duke of Saxony The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Otto V Duke of Brunswic L neburg has parent Frederick II Duke of Brunswic L neburg, Otto V Duke of Brunswic L neburg has father Frederick II Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Otto William Count of Burgundy has parent Adalbert of Italy, Otto William Count of Burgundy has father Adalbert of Italy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Owen Tudor has parent Maredudd ap Tudur, Owen Tudor has father Maredudd ap Tudur The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Peter I Duke of Bourbon has parent Louis I Duke of Bourbon, Peter I Duke of Bourbon has father Louis I Duke of Bourbon The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
James I Count of La Marche has parent Louis I Duke of Bourbon, James I Count of La Marche has father Louis I Duke of Bourbon The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Peter of Courtenay Lord of Conches has parent Robert of Courtenay Lord of Champignelles, Peter of Courtenay Lord of Conches has father Robert of Courtenay Lord of Champignelles The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Philip IV of France has parent Philip III of France, Philip IV of France has father Philip III of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis Count of  vreux, Louis Count of  vreux has father Philip III of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Philip VI of France, Philip VI of France has father Charles Count of Valois The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Isabella of Valois Duchess of Bourbon has parent Charles Count of Valois, Isabella of Valois Duchess of Bourbon has father Charles Count of Valois The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Joan of Valois Countess of Hainaut has parent Charles Count of Valois, Joan of Valois Countess of Hainaut has father Charles Count of Valois The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Philip V of Spain has parent Louis Dauphin of France son of Louis XIV, Philip V of Spain has father Louis Dauphin of France son of Louis XIV The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis Duke of Burgundy has parent Louis Dauphin of France son of Louis XIV, Louis Duke of Burgundy has father Louis Dauphin of France son of Louis XIV The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Philip of France 1116 1131, Philip of France 1116 1131 has father Louis VI of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Robert I Count of Dreux has parent Louis VI of France, Robert I Count of Dreux has father Louis VI of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis VII of France has parent Louis VI of France, Louis VII of France has father Louis VI of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Philip the Bold, Philip the Bold has father John II of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Marie of France Duchess of Bar, Marie of France Duchess of Bar has father John II of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Charles V of France, Charles V of France has father John II of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Louis I of Anjou, Louis I of Anjou has father John II of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Philip the Good has parent John the Fearless, Philip the Good has father John the Fearless The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Mary of Burgundy Duchess of Cleves has parent John the Fearless, Mary of Burgundy Duchess of Cleves has father John the Fearless The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Philippa of Hainault, Philippa of Hainault has father William I Count of Hainaut The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Pierfrancesco the Elder has parent Lorenzo the Elder, Pierfrancesco the Elder has father Lorenzo the Elder The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Piero di Cosimo de Medici has parent Cosimo de Medici, Piero di Cosimo de Medici has father Cosimo de Medici The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Piero the Unfortunate has parent Lorenzo de Medici, Piero the Unfortunate has father Lorenzo de Medici The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ramon Berenguer III Count of Barcelona has parent Ramon Berenguer II Count of Barcelona, Ramon Berenguer III Count of Barcelona has father Ramon Berenguer II Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ramon Berenguer II Count of Barcelona has parent Ramon Berenguer I Count of Barcelona, Ramon Berenguer II Count of Barcelona has father Ramon Berenguer I Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ramon Berenguer I Count of Barcelona has parent Berenguer Ramon I Count of Barcelona, Ramon Berenguer I Count of Barcelona has father Berenguer Ramon I Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ramon Borrell Count of Barcelona has parent Borrell II Count of Barcelona, Ramon Borrell Count of Barcelona has father Borrell II Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Reginald I Count of Burgundy has parent Otto William Count of Burgundy, Reginald I Count of Burgundy has father Otto William Count of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Reginar III Count of Hainaut has parent Reginar II Count of Hainaut, Reginar III Count of Hainaut has father Reginar II Count of Hainaut The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Reginar II Count of Hainaut has parent Reginar Longneck, Reginar II Count of Hainaut has father Reginar Longneck The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Richard Duke of Burgundy has parent Bivin of Gorze, Richard Duke of Burgundy has father Bivin of Gorze The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Robert III of Worms has parent Robert II Count of Hesbaye, Robert III of Worms has father Robert II Count of Hesbaye The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Robert the Strong, Robert the Strong has father Robert III of Worms The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Rudolf II Count of Habsburg has parent Albert III Count of Habsburg, Rudolf II Count of Habsburg has father Albert III Count of Habsburg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Rudolph of France has parent Richard Duke of Burgundy, Rudolph of France has father Richard Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Simon I de Montfort has parent Amaury I de Montfort, Simon I de Montfort has father Amaury I de Montfort The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Sophia of Saxe Weissenfels Princess of Anhalt Zerbst has parent Augustus Duke of Saxe Weissenfels, Sophia of Saxe Weissenfels Princess of Anhalt Zerbst has father Augustus Duke of Saxe Weissenfels The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Stephen Count of Blois has parent Theobald III Count of Blois, Stephen Count of Blois has father Theobald III Count of Blois The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Stephen III Duke of Bavaria has parent Stephen II Duke of Bavaria, Stephen III Duke of Bavaria has father Stephen II Duke of Bavaria The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Stephen III of Auxonne, Stephen III of Auxonne has father Stephen II of Auxonne The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Stephen II of Auxonne has parent William III of M con, Stephen II of Auxonne has father William III of M con The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Sunyer Count of Barcelona has parent Wilfred the Hairy, Sunyer Count of Barcelona has father Wilfred the Hairy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Theobald III Count of Blois, Theobald III Count of Blois has father Odo II Count of Blois The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Theobald III Count of Champagne has parent Henry I Count of Champagne, Theobald III Count of Champagne has father Henry I Count of Champagne The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Theobald II Count of Champagne has parent Stephen Count of Blois, Theobald II Count of Champagne has father Stephen Count of Blois The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Theobald I Count of Blois has parent Theobald the Elder, Theobald I Count of Blois has father Theobald the Elder The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Walter Stewart 6th High Steward of Scotland, Walter Stewart 6th High Steward of Scotland has father James Stewart 5th High Steward of Scotland The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Welf I Duke of Bavaria has parent Albert Azzo II Margrave of Milan, Welf I Duke of Bavaria has father Albert Azzo II Margrave of Milan The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Werner II Count of Habsburg has parent Otto II Count of Habsburg, Werner II Count of Habsburg has father Otto II Count of Habsburg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Werner I Count of Klettgau has parent Radbot of Klettgau, Werner I Count of Klettgau has father Radbot of Klettgau The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Wilfred the Hairy has parent Sunifred Count of Barcelona, Wilfred the Hairy has father Sunifred Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
William III Duke of Aquitaine, William III Duke of Aquitaine has father Ebalus Duke of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
William III of M con has parent Stephen I Count of Burgundy, William III of M con has father Stephen I Count of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
William IV Duke of Aquitaine has parent William III Duke of Aquitaine, William IV Duke of Aquitaine has father William III Duke of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Adelaide of Aquitaine has parent William III Duke of Aquitaine, Adelaide of Aquitaine has father William III Duke of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
William IX Duke of Aquitaine has parent William VIII Duke of Aquitaine, William IX Duke of Aquitaine has father William VIII Duke of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
William I Count of Burgundy, William I Count of Burgundy has father Reginald I Count of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
William I Count of Hainaut has parent John II Count of Holland, William I Count of Hainaut has father John II Count of Holland The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
William VIII Duke of Aquitaine has parent William V Duke of Aquitaine, William VIII Duke of Aquitaine has father William V Duke of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
William V Duke of Aquitaine, William V Duke of Aquitaine has father William IV Duke of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
William of Winchester Lord of Lunenburg has parent Henry the Lion, William of Winchester Lord of Lunenburg has father Henry the Lion The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Yolande of Dreux Duchess of Burgundy, Yolande of Dreux Duchess of Burgundy has father Robert III Count of Dreux The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Gerberga of Saxony has parent Henry the Fowler, Gerberga of Saxony has father Henry the Fowler The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Hedwig of Saxony has parent Henry the Fowler, Hedwig of Saxony has father Henry the Fowler The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Boso the Elder has parent Boso II of Italy, Boso the Elder has father Boso II of Italy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Anne of Brittany, Anne of Brittany has father Francis II Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Elisabeth Christine of Brunswic Wolfenb ttel, Elisabeth Christine of Brunswic Wolfenb ttel has father Louis Rudolph Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Blanche of Navarre Queen of France has parent Philip III of Navarre, Blanche of Navarre Queen of France has father Philip III of Navarre The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
