Rule 18:
If successor ?a, then parent ?b.
Alfonso V of Aragon, Ferdinand I of Aragon has successor Alfonso V of Aragon The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Alfonso V of Aragon, Ren  of Anjou has successor Alfonso V of Aragon The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
 thelwulf King of Wessex has parent Ecgberht King of Wessex, Ecgberht King of Wessex has successor  thelwulf King of Wessex The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Edward the Elder has parent Alfred the Great, Alfred the Great has successor Edward the Elder The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Sancho III of Castile has parent Alfonso VII of Le n and Castile, Alfonso VII of Le n and Castile has successor Sancho III of Castile The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Louis VII of France has parent Louis VI of France, Louis VI of France has successor Louis VII of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Afonso V of Portugal has parent Edward King of Portugal, Edward King of Portugal has successor Afonso V of Portugal The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Charles X, Louis XVIII has successor Charles X The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Peter of Castile, Alfonso XI of Castile has successor Peter of Castile The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Richard I of England, Henry II of England has successor Richard I of England The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Dirk II Count of Holland, Dirk I Count of Holland has successor Dirk II Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Ramon Berenguer III Count of Barcelona, Berenguer Ramon II Count of Barcelona has successor Ramon Berenguer III Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Hugh III Duke of Burgundy has parent Odo II Duke of Burgundy, Odo II Duke of Burgundy has successor Hugh III Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Anne of Brittany, Francis II Duke of Brittany has successor Anne of Brittany The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Margaret Countess of Anjou has parent Charles II of Naples, Charles II of Naples has successor Margaret Countess of Anjou The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Frederick II Duke of Lorraine has parent Frederick I Duke of Lorraine, Frederick I Duke of Lorraine has successor Frederick II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Matthias II Duke of Lorraine, Theobald I Duke of Lorraine has successor Matthias II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Ramon Berenguer IV Count of Barcelona has parent Ramon Berenguer III Count of Barcelona, Ramon Berenguer III Count of Barcelona has successor Ramon Berenguer IV Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
John Stewart 3rd Lord of Aubigny, John Stewart of Darnley has successor John Stewart 3rd Lord of Aubigny The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Joanna of Castile, Isabella I of Castile has successor Joanna of Castile The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Joanna of Castile has parent Ferdinand II of Aragon, Ferdinand II of Aragon has successor Joanna of Castile The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
John II of Aragon, Blanche I of Navarre has successor John II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Philip IV of France, Joan I of Navarre has successor Philip IV of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Edward King of Portugal, John I of Portugal has successor Edward King of Portugal The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Ernest II Duke of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has successor Ernest II Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Maximilian I Holy Roman Emperor has parent Frederick III Holy Roman Emperor, Frederick III Holy Roman Emperor has successor Maximilian I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Henry V of England has parent Henry IV of England, Henry IV of England has successor Henry V of England The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Hugh IV Duke of Burgundy has parent Odo III Duke of Burgundy, Odo III Duke of Burgundy has successor Hugh IV Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Pepin I of Aquitaine, Louis the Pious has successor Pepin I of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Henry the Fowler has parent Otto I Duke of Saxony, Otto I Duke of Saxony has successor Henry the Fowler The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Henry the Fowler, Conrad I of Germany has successor Henry the Fowler The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Ferdinand IV of Castile, Sancho IV of Castile has successor Ferdinand IV of Castile The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Ferdinand III Grand Duke of Tuscany, Leopold II Holy Roman Emperor has successor Ferdinand III Grand Duke of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis IX of France, Louis VIII of France has successor Louis IX of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis XI has parent Charles VII of France, Charles VII of France has successor Louis XI The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Eleanor of Navarre, John II of Aragon has successor Eleanor of Navarre The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Philip II Duke of Savoy, Charles II Duke of Savoy has successor Philip II Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Philip I of Castile, Joanna of Castile has successor Philip I of Castile The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Joan II of Navarre, Philip III of Navarre has successor Joan II of Navarre The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Joan II of Navarre, Charles IV of France has successor Joan II of Navarre The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
John V Duke of Brittany, John IV Duke of Brittany has successor John V Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Mary Queen of Scots has parent James V of Scotland, James V of Scotland has successor Mary Queen of Scots The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Yaropolk I of Kiev, Vladimir the Great has successor Yaropolk I of Kiev The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles IV Holy Roman Emperor, Louis IV Holy Roman Emperor has successor Charles IV Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles IV Holy Roman Emperor, John of Bohemia has successor Charles IV Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis X of France has parent Philip IV of France, Philip IV of France has successor Louis X of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Louis X of France has parent Joan I of Navarre, Joan I of Navarre has successor Louis X of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
George I of Great Britain has parent Ernest Augustus Elector of Hanover, Ernest Augustus Elector of Hanover has successor George I of Great Britain The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
George I of Great Britain, Anne Queen of Great Britain has successor George I of Great Britain The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Ramon Berenguer IV Count of Provence has parent Alfonso II Count of Provence, Alfonso II Count of Provence has successor Ramon Berenguer IV Count of Provence The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Oleg of Novgorod, Rurik has successor Oleg of Novgorod The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Valdemar I of Denmark, Sweyn III of Denmark has successor Valdemar I of Denmark The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Hugh V Duke of Burgundy, Robert II Duke of Burgundy has successor Hugh V Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles II of Navarre, Joan II of Navarre has successor Charles II of Navarre The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Prince Philippe Duke of Orl ans 1869 1926, Prince Philippe Count of Paris has successor Prince Philippe Duke of Orl ans 1869 1926 The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles III Duke of Lorraine, Francis I Duke of Lorraine has successor Charles III Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Maria Theresa, Charles VII Holy Roman Emperor has successor Maria Theresa The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Adolphus Frederick II Duke of Mecklenburg Strelitz, Frederick William Duke of Mecklenburg Schwerin has successor Adolphus Frederick II Duke of Mecklenburg Strelitz The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charlemagne, Desiderius has successor Charlemagne The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles the Bald, Louis II of Italy has successor Charles the Bald The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Girolamo Savonarola, Piero the Unfortunate has successor Girolamo Savonarola The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Wilfred the Hairy, Bernard of Gothia has successor Wilfred the Hairy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Henry II Duke of Lorraine, Charles III Duke of Lorraine has successor Henry II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Piero the Unfortunate has parent Lorenzo de Medici, Lorenzo de Medici has successor Piero the Unfortunate The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Henry VI of England has parent Henry V of England, Henry V of England has successor Henry VI of England The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Henry VI of England, Edward IV of England has successor Henry VI of England The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Joan III Countess of Burgundy has parent Joan II Countess of Burgundy, Joan II Countess of Burgundy has successor Joan III Countess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Henry III of Castile, John I of Castile has successor Henry III of Castile The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Princess Marie Isabelle of Orl ans, Maria Amalia of Naples and Sicily has successor Princess Marie Isabelle of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Leopold II Holy Roman Emperor, Joseph II Holy Roman Emperor has successor Leopold II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Leopold II Holy Roman Emperor has parent Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has successor Leopold II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Odo III Duke of Burgundy, Hugh III Duke of Burgundy has successor Odo III Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Bernhard Count of Anhalt, Henry the Lion has successor Bernhard Count of Anhalt The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles VIII of France, Louis XI has successor Charles VIII of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Francesco I Sforza, Golden Ambrosian Republic has successor Francesco I Sforza The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Edward III of England has parent Edward II of England, Edward II of England has successor Edward III of England The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Henry IV of England has parent John of Gaunt, John of Gaunt has successor Henry IV of England The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Henry IV of England, Richard II of England has successor Henry IV of England The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Napoleon II has parent Napoleon, Napoleon has successor Napoleon II The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Manuel I of Portugal, John II of Portugal has successor Manuel I of Portugal The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Joseph II Holy Roman Emperor, Francis I Holy Roman Emperor has successor Joseph II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Joseph II Holy Roman Emperor, Maria Theresa has successor Joseph II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis XVI, Louis XV has successor Louis XVI The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
John IV Duke of Brittany has parent John of Montfort, John of Montfort has successor John IV Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
James I of Scotland has parent Robert III of Scotland, Robert III of Scotland has successor James I of Scotland The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Ferdinand Philippe Duke of Orl ans has parent Louis Philippe I, Louis Philippe I has successor Ferdinand Philippe Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
John I of France has parent Louis X of France, Louis X of France has successor John I of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Napoleon III, Louis Philippe I has successor Napoleon III The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Napol on Louis Bonaparte, Louis Bonaparte has successor Napol on Louis Bonaparte The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis XIV has parent Louis XIII, Louis XIII has successor Louis XIV The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Pope Clement VII, Lorenzo de Medici Duke of Urbino has successor Pope Clement VII The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Ferdinando I de Medici Grand Duke of Tuscany, Francesco I de Medici Grand Duke of Tuscany has successor Ferdinando I de Medici Grand Duke of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Henri Count of Chambord, Louis Antoine Duke of Angoul me has successor Henri Count of Chambord The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Henri Count of Chambord, Charles X has successor Henri Count of Chambord The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Dirk III Count of Holland has parent Arnulf Count of Holland, Arnulf Count of Holland has successor Dirk III Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Robert II Count of Dreux has parent Robert I Count of Dreux, Robert I Count of Dreux has successor Robert II Count of Dreux The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Robert II Count of Dreux, Agnes de Baudemont has successor Robert II Count of Dreux The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Dirk IV Count of Holland, Dirk III Count of Holland has successor Dirk IV Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Odo I Duke of Burgundy, Hugh I Duke of Burgundy has successor Odo I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Gerberga of M con, Willa of Tuscany has successor Gerberga of M con The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Robert II Duke of Burgundy has parent Hugh IV Duke of Burgundy, Hugh IV Duke of Burgundy has successor Robert II Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Arnulf Count of Holland has parent Dirk II Count of Holland, Dirk II Count of Holland has successor Arnulf Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
John II Duke of Lorraine, Isabella Duchess of Lorraine has successor John II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Philip III of Spain has parent Philip II of Spain, Philip II of Spain has successor Philip III of Spain The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Hugh Capet, Louis V of France has successor Hugh Capet The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Jacques Charles Dupont de l Eure, Louis Philippe I has successor Jacques Charles Dupont de l Eure The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Berengar I of Italy, Charles the Fat has successor Berengar I of Italy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Henry I of France has parent Robert II of France, Robert II of France has successor Henry I of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Henry I of France, Hugh Magnus has successor Henry I of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
John the Fearless has parent Philip the Bold, Philip the Bold has successor John the Fearless The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
James VI and I, Mary Queen of Scots has successor James VI and I The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Otto I Holy Roman Emperor, Berengar II of Italy has successor Otto I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Simon I Duke of Lorraine has parent Theodoric II Duke of Lorraine, Theodoric II Duke of Lorraine has successor Simon I Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Victor Amadeus III of Sardinia has parent Charles Emmanuel III of Sardinia, Charles Emmanuel III of Sardinia has successor Victor Amadeus III of Sardinia The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Charles Emmanuel II Duke of Savoy, Francis Hyacinth Duke of Savoy has successor Charles Emmanuel II Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Antoine Duke of Lorraine has parent Ren  II Duke of Lorraine, Ren  II Duke of Lorraine has successor Antoine Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Henry I of Navarre, Theobald II of Navarre has successor Henry I of Navarre The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles IV of Anjou, Ren  of Anjou has successor Charles IV of Anjou The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Raymond of Burgundy, Nuno Mendes count has successor Raymond of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Carloman of Bavaria, Louis the German has successor Carloman of Bavaria The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Joan Countess of Ponthieu has parent Marie Countess of Ponthieu, Marie Countess of Ponthieu has successor Joan Countess of Ponthieu The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Joan Countess of Ponthieu, Simon Count of Ponthieu has successor Joan Countess of Ponthieu The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
French Revolution of 1848, Prince Philippe Count of Paris has successor French Revolution of 1848 The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
French Revolution of 1848, Louis Philippe I has successor French Revolution of 1848 The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Gian Galeazzo Sforza, Galeazzo Maria Sforza has successor Gian Galeazzo Sforza The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Piero di Cosimo de Medici has parent Cosimo de Medici, Cosimo de Medici has successor Piero di Cosimo de Medici The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Henry VIII, Henry VII of England has successor Henry VIII The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
John VIII Count of Vend me has parent Louis Count of Vend me, Louis Count of Vend me has successor John VIII Count of Vend me The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Louis III of France has parent Louis the Stammerer, Louis the Stammerer has successor Louis III of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Ferdinand II of Le n has parent Alfonso VII of Le n and Castile, Alfonso VII of Le n and Castile has successor Ferdinand II of Le n The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Charles VII Holy Roman Emperor, Maria Theresa has successor Charles VII Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles IV of Spain, Charles III of Spain has successor Charles IV of Spain The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Prince Philippe Count of Paris, Henri Count of Chambord has successor Prince Philippe Count of Paris The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Simon I de Montfort has parent Amaury I de Montfort, Amaury I de Montfort has successor Simon I de Montfort The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Yolanda Latin Empress, Peter II of Courtenay has successor Yolanda Latin Empress The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Philip III of France has parent Louis IX of France, Louis IX of France has successor Philip III of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Henry I of Castile, Alfonso VIII of Castile has successor Henry I of Castile The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis the German has parent Louis the Pious, Louis the Pious has successor Louis the German The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Robert II of Scotland, David II of Scotland has successor Robert II of Scotland The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis Duke of Orl ans 1703 1752 has parent Philippe II Duke of Orl ans, Philippe II Duke of Orl ans has successor Louis Duke of Orl ans 1703 1752 The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Louis Duke of Orl ans 1703 1752, Henri Jules Prince of Cond  has successor Louis Duke of Orl ans 1703 1752 The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Geoffrey Plantagenet Count of Anjou has parent Fulk King of Jerusalem, Fulk King of Jerusalem has successor Geoffrey Plantagenet Count of Anjou The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Geoffrey Plantagenet Count of Anjou, Stephen King of England has successor Geoffrey Plantagenet Count of Anjou The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Francis I of the Two Sicilies, Ferdinand I of the Two Sicilies has successor Francis I of the Two Sicilies The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Odo IV Duke of Burgundy, Hugh V Duke of Burgundy has successor Odo IV Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Francis III Duke of Brittany, Claude of France has successor Francis III Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles V of France, John II of France has successor Charles V of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Beatrice of Provence, Ramon Berenguer IV Count of Provence has successor Beatrice of Provence The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Prince Ferdinand Duke of Montpensier, Antoine Duke of Montpensier has successor Prince Ferdinand Duke of Montpensier The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Theudoald, Pepin of Herstal has successor Theudoald The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Theobald I Duke of Lorraine, Frederick II Duke of Lorraine has successor Theobald I Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Henry II of England has parent Geoffrey Plantagenet Count of Anjou, Geoffrey Plantagenet Count of Anjou has successor Henry II of England The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Henry II of England, Stephen King of England has successor Henry II of England The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Mahaut Countess of Artois has parent Robert II Count of Artois, Robert II Count of Artois has successor Mahaut Countess of Artois The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Arthur II Duke of Brittany has parent John II Duke of Brittany, John II Duke of Brittany has successor Arthur II Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Ferdinand VI of Spain, Philip V of Spain has successor Ferdinand VI of Spain The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles the Simple, Odo of France has successor Charles the Simple The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Peter III of Aragon, James I of Aragon has successor Peter III of Aragon The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Joan I of Navarre has parent Henry I of Navarre, Henry I of Navarre has successor Joan I of Navarre The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Rudolph III of Burgundy, Conrad I of Burgundy has successor Rudolph III of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Fulk IV Count of Anjou, Geoffrey III Count of Anjou has successor Fulk IV Count of Anjou The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Adolphus Frederick III Duke of Mecklenburg Strelitz, Adolphus Frederick II Duke of Mecklenburg Strelitz has successor Adolphus Frederick III Duke of Mecklenburg Strelitz The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Claude of France, Anne of Brittany has successor Claude of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Denis of Portugal has parent Afonso III of Portugal, Afonso III of Portugal has successor Denis of Portugal The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Francis II of France, Henry II of France has successor Francis II of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Willa of Tuscany, Adelaide of Italy has successor Willa of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Willa of Tuscany, Ermengarde of Tuscany has successor Willa of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles Emmanuel I Duke of Savoy has parent Emmanuel Philibert Duke of Savoy, Emmanuel Philibert Duke of Savoy has successor Charles Emmanuel I Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
