Rule 28:
If parent ?a, then child ?b.
Frederick V Burgrave of Nuremberg, Elisabeth of Nuremberg has parent Frederick V Burgrave of Nuremberg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Infanta Luisa Fernanda Duchess of Montpensier has child Princess Marie Isabelle of Orl ans, Princess Marie Isabelle of Orl ans has parent Infanta Luisa Fernanda Duchess of Montpensier The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Margaret I Countess of Flanders, Yolanda Latin Empress has parent Margaret I Countess of Flanders The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Margaret I Countess of Flanders, Isabella of Hainault has parent Margaret I Countess of Flanders The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Waldrada of Worms, Rudolph I of Burgundy has parent Waldrada of Worms The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Waldrada of Worms, Adelaide of Auxerre born c. 870 has parent Waldrada of Worms The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Blanche of Brittany, Margaret of Artois has parent Blanche of Brittany The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Hugh IV Duke of Burgundy, Robert II Duke of Burgundy has parent Hugh IV Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Hugh IV Duke of Burgundy has child Adelaide of Burgundy Duchess of Brabant, Adelaide of Burgundy Duchess of Brabant has parent Hugh IV Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Joan of Navarre Queen of England, Richard Count of  tampes has parent Joan of Navarre Queen of England The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Emmanuel Philibert Duke of Savoy has child Charles Emmanuel I Duke of Savoy, Charles Emmanuel I Duke of Savoy has parent Emmanuel Philibert Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Dirk III Count of Holland, Floris I Count of Holland has parent Dirk III Count of Holland The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Helena of Denmark, Otto I Duke of Brunswic L neburg has parent Helena of Denmark The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Beatriz of Portugal Duchess of Viseu has child Eleanor of Viseu, Eleanor of Viseu has parent Beatriz of Portugal Duchess of Viseu The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Mahaut Countess of Artois, Joan II Countess of Burgundy has parent Mahaut Countess of Artois The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Mahaut Countess of Artois, Blanche of Burgundy has parent Mahaut Countess of Artois The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Ranulf II of Aquitaine, Ebalus Duke of Aquitaine has parent Ranulf II of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Joan of Ponthieu Dame of Epernon, Catherine of Vend me has parent Joan of Ponthieu Dame of Epernon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Edward II of England has child Edward III of England, Edward III of England has parent Edward II of England The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Francesco I Sforza, Galeazzo Maria Sforza has parent Francesco I Sforza The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Charlotte of Bourbon Queen of Cyprus has child Anne of Cyprus, Anne of Cyprus has parent Charlotte of Bourbon Queen of Cyprus The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
George Duke of Brunswic Calenberg, Ernest Augustus Elector of Hanover has parent George Duke of Brunswic Calenberg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Adolf Duke of Holstei Gottorp, Anna of Holstei Gottorp has parent Adolf Duke of Holstei Gottorp The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Nicholas Francis Duke of Lorraine has child Charles V Duke of Lorraine, Charles V Duke of Lorraine has parent Nicholas Francis Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Anna Porphyrogenita, Yaroslav the Wise has parent Anna Porphyrogenita The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Joan Fitzalan Countess of Hereford, Mary de Bohun has parent Joan Fitzalan Countess of Hereford The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria Anna Victoria of Bavaria, Philip V of Spain has parent Maria Anna Victoria of Bavaria The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria Anna Victoria of Bavaria, Louis Duke of Burgundy has parent Maria Anna Victoria of Bavaria The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Piero di Cosimo de Medici, Lorenzo de Medici has parent Piero di Cosimo de Medici The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Otto V Duke of Brunswic L neburg, Henry the Middle Duke of Brunswic L neburg has parent Otto V Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Margaret of Valois Duchess of Berry, Charles Emmanuel I Duke of Savoy has parent Margaret of Valois Duchess of Berry The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Thomas Count of Savoy, Beatrice of Savoy has parent Thomas Count of Savoy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Hildegarde of Burgundy, William IX Duke of Aquitaine has parent Hildegarde of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Bianca Maria Visconti, Galeazzo Maria Sforza has parent Bianca Maria Visconti The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis Philippe II Duke of Orl ans has child Louis Philippe I, Louis Philippe I has parent Louis Philippe II Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Catherine of Valois has child Henry VI of England, Henry VI of England has parent Catherine of Valois The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Eleonore of Austria Queen of Poland, Leopold Duke of Lorraine has parent Eleonore of Austria Queen of Poland The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Gertrude of S pplingenburg, Henry the Lion has parent Gertrude of S pplingenburg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Contessina de Bardi, Piero di Cosimo de Medici has parent Contessina de Bardi The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Margaret Countess of Vertus, Francis II Duke of Brittany has parent Margaret Countess of Vertus The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Alan Stewart of Darnley, John Stewart 1st Earl of Lennox has parent Alan Stewart of Darnley The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Ingelger, Fulk I Count of Anjou has parent Ingelger The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Emma of Italy has child Louis V of France, Louis V of France has parent Emma of Italy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Mar a de Molina, Ferdinand IV of Castile has parent Mar a de Molina The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Joanna of Bourbon has child Charles VI of France, Charles VI of France has parent Joanna of Bourbon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Joanna of Bourbon has child Louis I Duke of Orl ans, Louis I Duke of Orl ans has parent Joanna of Bourbon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Philip IV of France, Isabella of France has parent Philip IV of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Philip IV of France, Philip V of France has parent Philip IV of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Philip IV of France, Louis X of France has parent Philip IV of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Philip IV of France, Charles IV of France has parent Philip IV of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Henry I Count of Champagne, Theobald III Count of Champagne has parent Henry I Count of Champagne The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Ferdinand II of Aragon has child Joanna of Castile, Joanna of Castile has parent Ferdinand II of Aragon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Robert III of Scotland, James I of Scotland has parent Robert III of Scotland The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Eleanor of Provence, Edward I of England has parent Eleanor of Provence The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Ferdinand Karl Archduke of Austria Este, Maria Theresa of Austria Este Queen of Sardinia has parent Ferdinand Karl Archduke of Austria Este The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Adelaide of Paris has child Charles the Simple, Charles the Simple has parent Adelaide of Paris The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Walter I Lord of Avesnes, Nicholas d Oisy Lord of Avesnes has parent Walter I Lord of Avesnes The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Amadeus VIII Duke of Savoy, Louis Duke of Savoy has parent Amadeus VIII Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Mary of Burgundy Duchess of Cleves has child Marie of Cleves Duchess of Orl ans, Marie of Cleves Duchess of Orl ans has parent Mary of Burgundy Duchess of Cleves The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Mary of Guelders, James III of Scotland has parent Mary of Guelders The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Liudolf Duke of Saxony, Otto I Duke of Saxony has parent Liudolf Duke of Saxony The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Conrad II Duke of Transjurane Burgundy, Rudolph I of Burgundy has parent Conrad II Duke of Transjurane Burgundy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Hemma, Charles the Fat has parent Hemma The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Lady Margaret Beaufort, Henry VII of England has parent Lady Margaret Beaufort The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria Josepha of Austria has child Maria Amalia of Saxony, Maria Amalia of Saxony has parent Maria Josepha of Austria The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Maria Josepha of Austria has child Maria Josepha of Saxony Dauphine of France, Maria Josepha of Saxony Dauphine of France has parent Maria Josepha of Austria The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Constance of Arles has child Henry I of France, Henry I of France has parent Constance of Arles The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Constance of Arles has child Robert I Duke of Burgundy, Robert I Duke of Burgundy has parent Constance of Arles The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Adelaide of Holland, John II Count of Holland has parent Adelaide of Holland The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Philip III of Navarre has child Blanche of Navarre Queen of France, Blanche of Navarre Queen of France has parent Philip III of Navarre The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Henry I of France, Philip I of France has parent Henry I of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Marie of Brittany Countess of Saint Pol, Mahaut of Ch tillon has parent Marie of Brittany Countess of Saint Pol The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Alfonso VIII of Castile has child Blanche of Castile, Blanche of Castile has parent Alfonso VIII of Castile The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Augustus Duke of Saxe Weissenfels, Sophia of Saxe Weissenfels Princess of Anhalt Zerbst has parent Augustus Duke of Saxe Weissenfels The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis Philippe I, Antoine Duke of Montpensier has parent Louis Philippe I The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis Philippe I, Ferdinand Philippe Duke of Orl ans has parent Louis Philippe I The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Violant of Aragon, Sancho IV of Castile has parent Violant of Aragon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Teresa Louren o, John I of Portugal has parent Teresa Louren o The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Philip II of France has child Louis VIII of France, Louis VIII of France has parent Philip II of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ramon Berenguer III Count of Barcelona, Ramon Berenguer IV Count of Barcelona has parent Ramon Berenguer III Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Ramon Berenguer III Count of Barcelona, Berengaria of Barcelona has parent Ramon Berenguer III Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Anabella Drummond, James I of Scotland has parent Anabella Drummond The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Baldwin III Count of Flanders, Arnulf II Count of Flanders has parent Baldwin III Count of Flanders The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
John VIII Count of Vend me, Jeanne de Bourbon Duchess of Bourbon has parent John VIII Count of Vend me The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Marie Louise Duchess of Parma has child Napoleon II, Napoleon II has parent Marie Louise Duchess of Parma The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ramon Berenguer IV Count of Provence has child Eleanor of Provence, Eleanor of Provence has parent Ramon Berenguer IV Count of Provence The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ramon Berenguer IV Count of Provence has child Margaret of Provence, Margaret of Provence has parent Ramon Berenguer IV Count of Provence The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ferdinand Duke of Viseu has child Eleanor of Viseu, Eleanor of Viseu has parent Ferdinand Duke of Viseu The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis II of Anjou has child Marie of Anjou, Marie of Anjou has parent Louis II of Anjou The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis II of Anjou has child Ren  of Anjou, Ren  of Anjou has parent Louis II of Anjou The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Margaret Douglas, Henry Stuart Lord Darnley has parent Margaret Douglas The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Joan II of Navarre has child Blanche of Navarre Queen of France, Blanche of Navarre Queen of France has parent Joan II of Navarre The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Francis II Duke of Lorraine has child Nicholas Francis Duke of Lorraine, Nicholas Francis Duke of Lorraine has parent Francis II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Isabel of Coimbra, John II of Portugal has parent Isabel of Coimbra The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Francis IV Duke of Modena has child Archduchess Maria Theresa of Austria Este 1817 1886, Archduchess Maria Theresa of Austria Este 1817 1886 has parent Francis IV Duke of Modena The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ramon Borrell Count of Barcelona, Berenguer Ramon I Count of Barcelona has parent Ramon Borrell Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Henry IV of England, Henry V of England has parent Henry IV of England The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Joan Beaufort Queen of Scots, James II of Scotland has parent Joan Beaufort Queen of Scots The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Joan Beaufort Queen of Scots, Margaret Stewart Dauphine of France has parent Joan Beaufort Queen of Scots The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis Crato Count of Nassau Saarbr cken, Countess Caroline of Nassau Saarbr cken has parent Louis Crato Count of Nassau Saarbr cken The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis I Duke of Bourbon has child James I Count of La Marche, James I Count of La Marche has parent Louis I Duke of Bourbon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis I Duke of Bourbon, Peter I Duke of Bourbon has parent Louis I Duke of Bourbon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Richard Fitzalan 3rd Earl of Arundel, Joan Fitzalan Countess of Hereford has parent Richard Fitzalan 3rd Earl of Arundel The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Stephen Count of Blois, Theobald II Count of Champagne has parent Stephen Count of Blois The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Eleanor of Aragon Queen of Castile, Ferdinand I of Aragon has parent Eleanor of Aragon Queen of Castile The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Gertrude of Hohenberg has child Judith of Habsburg, Judith of Habsburg has parent Gertrude of Hohenberg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Gertrude of Hohenberg has child Clemence of Austria, Clemence of Austria has parent Gertrude of Hohenberg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Gertrude of Hohenberg has child Albert I of Germany, Albert I of Germany has parent Gertrude of Hohenberg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Albert IV Count of Habsburg, Rudolf I of Germany has parent Albert IV Count of Habsburg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Stephen I Count of Burgundy, William III of M con has parent Stephen I Count of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Fran oise Marie de Bourbon has child Louis Duke of Orl ans 1703 1752, Louis Duke of Orl ans 1703 1752 has parent Fran oise Marie de Bourbon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Lucia da Torsano, Francesco I Sforza has parent Lucia da Torsano The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Henry II Duke of Brabant, Henry III Duke of Brabant has parent Henry II Duke of Brabant The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Henry II Duke of Brabant, Matilda of Brabant Countess of Artois has parent Henry II Duke of Brabant The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
George Duke of Saxony, Christine of Saxony has parent George Duke of Saxony The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Richard Duke of Burgundy, Rudolph of France has parent Richard Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Charles Count of Angoul me, Francis I of France has parent Charles Count of Angoul me The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Charles Count of Angoul me, Margaret of Valois Angoul me has parent Charles Count of Angoul me The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Philip I of Castile has child Eleanor of Austria, Eleanor of Austria has parent Philip I of Castile The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Philip I of Castile has child Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has parent Philip I of Castile The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Philip I of Castile, Charles V Holy Roman Emperor has parent Philip I of Castile The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Frederick II Duke of Brunswic L neburg, Otto V Duke of Brunswic L neburg has parent Frederick II Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Osburh, Alfred the Great has parent Osburh The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Philippa of Luxembourg, William I Count of Hainaut has parent Philippa of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Robert II Count of Artois, Mahaut Countess of Artois has parent Robert II Count of Artois The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Adela of France, Baldwin VI Count of Flanders has parent Adela of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Humbert II Count of Savoy, Adelaide of Maurienne has parent Humbert II Count of Savoy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis the Pious has child Louis the German, Louis the German has parent Louis the Pious The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis the Pious has child Charles the Bald, Charles the Bald has parent Louis the Pious The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Isabel of Barcelos, Beatriz of Portugal Duchess of Viseu has parent Isabel of Barcelos The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Isabel of Barcelos, Isabella of Portugal Queen of Castile has parent Isabel of Barcelos The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Margaret Holland Duchess of Clarence, Joan Beaufort Queen of Scots has parent Margaret Holland Duchess of Clarence The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
William VIII Duke of Aquitaine, William IX Duke of Aquitaine has parent William VIII Duke of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Rotrude of Hesbaye, Pepin the Short has parent Rotrude of Hesbaye The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Fulk King of Jerusalem has child Geoffrey Plantagenet Count of Anjou, Geoffrey Plantagenet Count of Anjou has parent Fulk King of Jerusalem The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Fulk King of Jerusalem, Sibylla of Anjou has parent Fulk King of Jerusalem The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Berthold II Count of Andechs, Berthold I of Istria has parent Berthold II Count of Andechs The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Dulce of Aragon, Afonso II of Portugal has parent Dulce of Aragon The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Marie Eleonore of Cleves has child Magdalene Sibylle of Prussia, Magdalene Sibylle of Prussia has parent Marie Eleonore of Cleves The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Odo I Count of Blois, Odo II Count of Blois has parent Odo I Count of Blois The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Patrick Hepburn 3rd Earl of Bothwell, James Hepburn 4th Earl of Bothwell has parent Patrick Hepburn 3rd Earl of Bothwell The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Godfrey III Count of Louvain, Henry I Duke of Brabant has parent Godfrey III Count of Louvain The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Sophia of Holstei Gottorp, Adolphus Frederick I Duke of Mecklenburg Schwerin has parent Sophia of Holstei Gottorp The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Theobald I of Navarre, Theobald II Duke of Lorraine has parent Theobald I of Navarre The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Marie Countess of Ponthieu, Joan Countess of Ponthieu has parent Marie Countess of Ponthieu The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Charlemagne has child Louis the Pious, Louis the Pious has parent Charlemagne The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Valdemar I of Denmark has child Ingeborg of Denmark Queen of France, Ingeborg of Denmark Queen of France has parent Valdemar I of Denmark The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Magdalene Sibylle of Prussia, Sophia Eleonore of Saxony has parent Magdalene Sibylle of Prussia The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria Beatrice d Este Duchess of Massa has child Francis IV Duke of Modena, Francis IV Duke of Modena has parent Maria Beatrice d Este Duchess of Massa The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Maria Beatrice d Este Duchess of Massa has child Maria Theresa of Austria Este Queen of Sardinia, Maria Theresa of Austria Este Queen of Sardinia has parent Maria Beatrice d Este Duchess of Massa The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Denis of Portugal has child Afonso IV of Portugal, Afonso IV of Portugal has parent Denis of Portugal The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Isabella Duchess of Lorraine has child Margaret of Anjou, Margaret of Anjou has parent Isabella Duchess of Lorraine The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Charles VI Holy Roman Emperor, Maria Theresa has parent Charles VI Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Marged ferch Tomos, Maredudd ap Tudur has parent Marged ferch Tomos The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Eadgifu of Wessex has child Louis IV of France, Louis IV of France has parent Eadgifu of Wessex The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Giovanni delle Bande Nere, Cosimo I de Medici Grand Duke of Tuscany has parent Giovanni delle Bande Nere The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Frederick II Margrave of Meissen, Elisabeth of Meissen has parent Frederick II Margrave of Meissen The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Francis I Holy Roman Emperor has child Marie Antoinette, Marie Antoinette has parent Francis I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Francis I Holy Roman Emperor has child Leopold II Holy Roman Emperor, Leopold II Holy Roman Emperor has parent Francis I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Francis I Holy Roman Emperor has child Maria Carolina of Austria, Maria Carolina of Austria has parent Francis I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
