Rule 10:
If father ?b, then predecessor ?b.
Louis I Duke of Bavaria, Louis I Duke of Bavaria has father Otto I Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis Philippe I has predecessor Louis Philippe II Duke of Orl ans, Louis Philippe I has father Louis Philippe II Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Louis V of France has predecessor Lothair of France, Louis V of France has father Lothair of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Louis XVII has predecessor Louis XVI, Louis XVII has father Louis XVI The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Marie Th r se of France, Marie Th r se of France has father Louis XVI The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis XVIII, Louis XVIII has father Louis Dauphin of France son of Louis XV The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Charles X, Charles X has father Louis Dauphin of France son of Louis XV The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis XVI, Louis XVI has father Louis Dauphin of France son of Louis XV The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louise of Lorraine, Louise of Lorraine has father Nicolas Duke of Merc ur The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Luitgarde of Vermandois, Luitgarde of Vermandois has father Herbert II Count of Vermandois The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Madeleine de La Tour d Auvergne, Madeleine de La Tour d Auvergne has father John III Count of Auvergne The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Magdalene Sibylle of Prussia, Magdalene Sibylle of Prussia has father Albert Frederick Duke of Prussia The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Magnus II Duke of Brunswic L neburg, Magnus II Duke of Brunswic L neburg has father Magnus I Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Magnus I Duke of Brunswic L neburg, Magnus I Duke of Brunswic L neburg has father Albert II Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Mahaut Countess of Artois has predecessor Robert II Count of Artois, Mahaut Countess of Artois has father Robert II Count of Artois The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Mahaut of Ch tillon, Mahaut of Ch tillon has father Guy IV Count of Saint Pol The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Margaret Holland Duchess of Clarence, Margaret Holland Duchess of Clarence has father Thomas Holland 2nd Earl of Kent The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Margaret I Countess of Flanders, Margaret I Countess of Flanders has father Thierry Count of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Margaret Stewart Dauphine of France, Margaret Stewart Dauphine of France has father James I of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
James II of Scotland has predecessor James I of Scotland, James II of Scotland has father James I of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Margaret of Artois, Margaret of Artois has father Philip of Artois The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Margaret of Baux, Margaret of Baux has father Francis of Baux The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Margaret of Flanders Duchess of Brabant, Margaret of Flanders Duchess of Brabant has father Guy Count of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Margaret of Geneva, Margaret of Geneva has father William I of Geneva The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Maria Luisa of Parma, Maria Luisa of Parma has father Philip Duke of Parma The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Maria of Austria Duchess of J lich Cleves Berg, Maria of Austria Duchess of J lich Cleves Berg has father Ferdinand I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Maximilian II Holy Roman Emperor has predecessor Ferdinand I Holy Roman Emperor, Maximilian II Holy Roman Emperor has father Ferdinand I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Joanna of Austria Grand Duchess of Tuscany, Joanna of Austria Grand Duchess of Tuscany has father Ferdinand I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Archduchess Anna of Austria, Archduchess Anna of Austria has father Ferdinand I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Maria of Swabia, Maria of Swabia has father Philip of Swabia The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Marie Countess of Ponthieu, Marie Countess of Ponthieu has father William IV Count of Ponthieu The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Marie Jos phine of Savoy, Marie Jos phine of Savoy has father Victor Amadeus III of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Maria Theresa of Savoy, Maria Theresa of Savoy has father Victor Amadeus III of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Marie of Luxembourg Countess of Vend me, Marie of Luxembourg Countess of Vend me has father Peter II Count of Saint Pol The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Marie of Luxembourg Queen of France, Marie of Luxembourg Queen of France has father Henry VII Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John of Bohemia has predecessor Henry VII Holy Roman Emperor, John of Bohemia has father Henry VII Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Mary de Bohun, Mary de Bohun has father Humphrey de Bohun 7th Earl of Hereford The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Matilda of B thune, Matilda of B thune has father Robert VII Lord of B thune The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Matilda of Bavaria Margravine of Meissen, Matilda of Bavaria Margravine of Meissen has father Louis IV Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Stephen II Duke of Bavaria, Stephen II Duke of Bavaria has father Louis IV Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Matilda of Carinthia, Matilda of Carinthia has father Engelbert Duke of Carinthia The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Matilda of Frisia, Matilda of Frisia has father Liudolf Margrave of Frisia The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Matilda of Saxony countess of Flanders, Matilda of Saxony countess of Flanders has father Hermann Billung The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Matthew Stewart 2nd Earl of Lennox, Matthew Stewart 2nd Earl of Lennox has father John Stewart 1st Earl of Lennox The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Matthew Stewart 4th Earl of Lennox, Matthew Stewart 4th Earl of Lennox has father John Stewart 3rd Earl of Lennox The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Maud Chaworth, Maud Chaworth has father Patrick de Chaworth Lord of Kidwelly The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Napoleon II has predecessor Napoleon, Napoleon II has father Napoleon The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Nicholas d Oisy Lord of Avesnes, Nicholas d Oisy Lord of Avesnes has father Walter I Lord of Avesnes The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Oberto II Margrave of Milan, Oberto II Margrave of Milan has father Oberto I The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Odo II Count of Blois, Odo II Count of Blois has father Odo I Count of Blois The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Odo I Count of Blois, Odo I Count of Blois has father Theobald I Count of Blois The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Odo of France, Odo of France has father Robert the Strong The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Robert I of France, Robert I of France has father Robert the Strong The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Otto II Count of Habsburg, Otto II Count of Habsburg has father Werner I Count of Klettgau The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Otto II Duke of Bavaria, Otto II Duke of Bavaria has father Louis I Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Otto IV Count of Burgundy, Otto IV Count of Burgundy has father Hugh Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Otto IV Count of Scheyern, Otto IV Count of Scheyern has father Eckhard I Count of Scheyern The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Otto I Duke of Bavaria, Otto I Duke of Bavaria has father Otto IV Count of Scheyern The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Otto I Duke of Brunswic L neburg, Otto I Duke of Brunswic L neburg has father William of Winchester Lord of Lunenburg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Otto I Duke of Saxony, Otto I Duke of Saxony has father Liudolf Duke of Saxony The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Otto V Duke of Brunswic L neburg, Otto V Duke of Brunswic L neburg has father Frederick II Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Otto William Count of Burgundy, Otto William Count of Burgundy has father Adalbert of Italy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Owen Tudor, Owen Tudor has father Maredudd ap Tudur The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Peter I Duke of Bourbon, Peter I Duke of Bourbon has father Louis I Duke of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
James I Count of La Marche, James I Count of La Marche has father Louis I Duke of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Peter of Courtenay Lord of Conches, Peter of Courtenay Lord of Conches has father Robert of Courtenay Lord of Champignelles The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Philip IV of France has predecessor Philip III of France, Philip IV of France has father Philip III of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Louis Count of  vreux, Louis Count of  vreux has father Philip III of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Philip VI of France, Philip VI of France has father Charles Count of Valois The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Isabella of Valois Duchess of Bourbon, Isabella of Valois Duchess of Bourbon has father Charles Count of Valois The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Joan of Valois Countess of Hainaut, Joan of Valois Countess of Hainaut has father Charles Count of Valois The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Philip V of Spain, Philip V of Spain has father Louis Dauphin of France son of Louis XIV The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis Duke of Burgundy, Louis Duke of Burgundy has father Louis Dauphin of France son of Louis XIV The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Philip of France 1116 1131, Philip of France 1116 1131 has father Louis VI of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Robert I Count of Dreux, Robert I Count of Dreux has father Louis VI of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis VII of France has predecessor Louis VI of France, Louis VII of France has father Louis VI of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Philip the Bold, Philip the Bold has father John II of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Marie of France Duchess of Bar, Marie of France Duchess of Bar has father John II of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Charles V of France has predecessor John II of France, Charles V of France has father John II of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Louis I of Anjou, Louis I of Anjou has father John II of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Philip the Good has predecessor John the Fearless, Philip the Good has father John the Fearless The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Mary of Burgundy Duchess of Cleves, Mary of Burgundy Duchess of Cleves has father John the Fearless The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Philippa of Hainault, Philippa of Hainault has father William I Count of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Pierfrancesco the Elder, Pierfrancesco the Elder has father Lorenzo the Elder The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Piero di Cosimo de Medici has predecessor Cosimo de Medici, Piero di Cosimo de Medici has father Cosimo de Medici The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Piero the Unfortunate has predecessor Lorenzo de Medici, Piero the Unfortunate has father Lorenzo de Medici The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Ramon Berenguer III Count of Barcelona, Ramon Berenguer III Count of Barcelona has father Ramon Berenguer II Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ramon Berenguer II Count of Barcelona, Ramon Berenguer II Count of Barcelona has father Ramon Berenguer I Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ramon Berenguer I Count of Barcelona has predecessor Berenguer Ramon I Count of Barcelona, Ramon Berenguer I Count of Barcelona has father Berenguer Ramon I Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Ramon Borrell Count of Barcelona, Ramon Borrell Count of Barcelona has father Borrell II Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Reginald I Count of Burgundy, Reginald I Count of Burgundy has father Otto William Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Reginar III Count of Hainaut, Reginar III Count of Hainaut has father Reginar II Count of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Reginar II Count of Hainaut, Reginar II Count of Hainaut has father Reginar Longneck The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Richard Duke of Burgundy, Richard Duke of Burgundy has father Bivin of Gorze The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Robert III of Worms, Robert III of Worms has father Robert II Count of Hesbaye The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Robert the Strong, Robert the Strong has father Robert III of Worms The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Rudolf II Count of Habsburg, Rudolf II Count of Habsburg has father Albert III Count of Habsburg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Rudolph of France, Rudolph of France has father Richard Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Simon I de Montfort, Simon I de Montfort has father Amaury I de Montfort The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Sophia of Saxe Weissenfels Princess of Anhalt Zerbst, Sophia of Saxe Weissenfels Princess of Anhalt Zerbst has father Augustus Duke of Saxe Weissenfels The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Stephen Count of Blois, Stephen Count of Blois has father Theobald III Count of Blois The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Stephen III Duke of Bavaria, Stephen III Duke of Bavaria has father Stephen II Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Stephen III of Auxonne, Stephen III of Auxonne has father Stephen II of Auxonne The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Stephen II of Auxonne, Stephen II of Auxonne has father William III of M con The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Sunyer Count of Barcelona, Sunyer Count of Barcelona has father Wilfred the Hairy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Theobald III Count of Blois, Theobald III Count of Blois has father Odo II Count of Blois The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Theobald III Count of Champagne, Theobald III Count of Champagne has father Henry I Count of Champagne The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Theobald II Count of Champagne, Theobald II Count of Champagne has father Stephen Count of Blois The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Theobald I Count of Blois, Theobald I Count of Blois has father Theobald the Elder The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Walter Stewart 6th High Steward of Scotland, Walter Stewart 6th High Steward of Scotland has father James Stewart 5th High Steward of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Welf I Duke of Bavaria, Welf I Duke of Bavaria has father Albert Azzo II Margrave of Milan The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Werner II Count of Habsburg, Werner II Count of Habsburg has father Otto II Count of Habsburg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Werner I Count of Klettgau, Werner I Count of Klettgau has father Radbot of Klettgau The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Wilfred the Hairy, Wilfred the Hairy has father Sunifred Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
William III Duke of Aquitaine, William III Duke of Aquitaine has father Ebalus Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
William III of M con, William III of M con has father Stephen I Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
William IV Duke of Aquitaine, William IV Duke of Aquitaine has father William III Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Adelaide of Aquitaine, Adelaide of Aquitaine has father William III Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
William IX Duke of Aquitaine, William IX Duke of Aquitaine has father William VIII Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
William I Count of Burgundy, William I Count of Burgundy has father Reginald I Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
William I Count of Hainaut, William I Count of Hainaut has father John II Count of Holland The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
William VIII Duke of Aquitaine, William VIII Duke of Aquitaine has father William V Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
William V Duke of Aquitaine, William V Duke of Aquitaine has father William IV Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
William of Winchester Lord of Lunenburg, William of Winchester Lord of Lunenburg has father Henry the Lion The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Yolande of Dreux Duchess of Burgundy, Yolande of Dreux Duchess of Burgundy has father Robert III Count of Dreux The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Gerberga of Saxony, Gerberga of Saxony has father Henry the Fowler The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Hedwig of Saxony, Hedwig of Saxony has father Henry the Fowler The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Boso the Elder, Boso the Elder has father Boso II of Italy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Anne of Brittany has predecessor Francis II Duke of Brittany, Anne of Brittany has father Francis II Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Elisabeth Christine of Brunswic Wolfenb ttel, Elisabeth Christine of Brunswic Wolfenb ttel has father Louis Rudolph Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Blanche of Navarre Queen of France, Blanche of Navarre Queen of France has father Philip III of Navarre The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Blanche of Castile, Blanche of Castile has father Alfonso VIII of Castile The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Hugh of Italy, Hugh of Italy has father Theobald of Arles The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Philip I of Castile, Philip I of Castile has father Maximilian I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henry II of Castile, Henry II of Castile has father Alfonso XI of Castile The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henry II of France has predecessor Francis I of France, Henry II of France has father Francis I of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
John of Gaunt, John of Gaunt has father Edward III of England The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John of Montfort, John of Montfort has father Arthur II Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Simon I Duke of Lorraine has predecessor Theodoric II Duke of Lorraine, Simon I Duke of Lorraine has father Theodoric II Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Marie Antoinette, Marie Antoinette has father Francis I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Maria Carolina of Austria, Maria Carolina of Austria has father Francis I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ferdinand Karl Archduke of Austria Este, Ferdinand Karl Archduke of Austria Este has father Francis I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Leopold II Holy Roman Emperor, Leopold II Holy Roman Emperor has father Francis I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Catherine of Valois, Catherine of Valois has father Charles VI of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Charles VII of France has predecessor Charles VI of France, Charles VII of France has father Charles VI of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Eleanor of Provence, Eleanor of Provence has father Ramon Berenguer IV Count of Provence The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Margaret of Provence, Margaret of Provence has father Ramon Berenguer IV Count of Provence The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Hugh IV Duke of Burgundy has predecessor Odo III Duke of Burgundy, Hugh IV Duke of Burgundy has father Odo III Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Hugh II Duke of Burgundy has predecessor Odo I Duke of Burgundy, Hugh II Duke of Burgundy has father Odo I Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Charles Emmanuel II Duke of Savoy, Charles Emmanuel II Duke of Savoy has father Victor Amadeus I Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Denis of Portugal has predecessor Afonso III of Portugal, Denis of Portugal has father Afonso III of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Odo III Duke of Burgundy has predecessor Hugh III Duke of Burgundy, Odo III Duke of Burgundy has father Hugh III Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Alfonso II of Aragon has predecessor Ramon Berenguer IV Count of Barcelona, Alfonso II of Aragon has father Ramon Berenguer IV Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
 thelwulf King of Wessex has predecessor Ecgberht King of Wessex,  thelwulf King of Wessex has father Ecgberht King of Wessex The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Francis II Holy Roman Emperor, Francis II Holy Roman Emperor has father Leopold II Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis VI of France, Louis VI of France has father Philip I of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Sancho III of Castile has predecessor Alfonso VII of Le n and Castile, Sancho III of Castile has father Alfonso VII of Le n and Castile The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Constance of Castile, Constance of Castile has father Alfonso VII of Le n and Castile The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ferdinand II of Le n has predecessor Alfonso VII of Le n and Castile, Ferdinand II of Le n has father Alfonso VII of Le n and Castile The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Philip II Duke of Savoy, Philip II Duke of Savoy has father Louis Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Charlotte of Savoy, Charlotte of Savoy has father Louis Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Bona of Savoy, Bona of Savoy has father Louis Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Margaret of Savoy Countess of Saint Pol, Margaret of Savoy Countess of Saint Pol has father Louis Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Elisabeth of Nuremberg, Elisabeth of Nuremberg has father Frederick V Burgrave of Nuremberg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ferdinand II of Aragon has predecessor John II of Aragon, Ferdinand II of Aragon has father John II of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Eleanor of Aragon Queen of Portugal, Eleanor of Aragon Queen of Portugal has father Ferdinand I of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John II of Aragon, John II of Aragon has father Ferdinand I of Aragon The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
