Rule 25:
If mother ?a, then child ?b.
Berengaria of Castile, Ferdinand III of Castile has mother Berengaria of Castile The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret of Provence, Philip III of France has mother Margaret of Provence The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret of Provence has child Robert Count of Clermont, Robert Count of Clermont has mother Margaret of Provence The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Maria Amalia of Naples and Sicily has child Antoine Duke of Montpensier, Antoine Duke of Montpensier has mother Maria Amalia of Naples and Sicily The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Blanca of Navarre Queen of Castile, Alfonso VIII of Castile has mother Blanca of Navarre Queen of Castile The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Yolanda of Courtenay has child Violant of Hungary, Violant of Hungary has mother Yolanda of Courtenay The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Margaret Countess of Anjou has child Joan of Valois Countess of Hainaut, Joan of Valois Countess of Hainaut has mother Margaret Countess of Anjou The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Margaret Countess of Anjou has child Philip VI of France, Philip VI of France has mother Margaret Countess of Anjou The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Rozala of Italy has child Baldwin IV Count of Flanders, Baldwin IV Count of Flanders has mother Rozala of Italy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Isabella of Portugal, Philip II of Spain has mother Isabella of Portugal The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Isabella of Portugal has child Maria of Austria Holy Roman Empress, Maria of Austria Holy Roman Empress has mother Isabella of Portugal The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Caroline of Ansbach, Frederick Prince of Wales has mother Caroline of Ansbach The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Gerberga of Saxony has child Lothair of France, Lothair of France has mother Gerberga of Saxony The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Gerberga of Saxony has child Matilda of France, Matilda of France has mother Gerberga of Saxony The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Ermengarde of Anjou Duchess of Burgundy, Fulk IV Count of Anjou has mother Ermengarde of Anjou Duchess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Marie of France Countess of Champagne, Theobald III Count of Champagne has mother Marie of France Countess of Champagne The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Matilda of England Duchess of Saxony, William of Winchester Lord of Lunenburg has mother Matilda of England Duchess of Saxony The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Isabella of Angoul me, Henry III of England has mother Isabella of Angoul me The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret of Flanders Duchess of Brabant, Margaret of Brabant has mother Margaret of Flanders Duchess of Brabant The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Lucrezia Tornabuoni, Lorenzo de Medici has mother Lucrezia Tornabuoni The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret I Countess of Flanders, Isabella of Hainault has mother Margaret I Countess of Flanders The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret I Countess of Flanders, Yolanda Latin Empress has mother Margaret I Countess of Flanders The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Philippa Countess of Toulouse, William X Duke of Aquitaine has mother Philippa Countess of Toulouse The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Adelaide of Auxerre born c. 870, Rudolph of France has mother Adelaide of Auxerre born c. 870 The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Matilda of Saxony countess of Flanders, Arnulf II Count of Flanders has mother Matilda of Saxony countess of Flanders The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Begga, Pepin of Herstal has mother Begga The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria Theresa, Leopold II Holy Roman Emperor has mother Maria Theresa The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria Theresa has child Ferdinand Karl Archduke of Austria Este, Ferdinand Karl Archduke of Austria Este has mother Maria Theresa The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Maria Theresa has child Marie Antoinette, Marie Antoinette has mother Maria Theresa The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Margaret of Bavaria, Mary of Burgundy Duchess of Cleves has mother Margaret of Bavaria The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Agnes of Burgundy Duchess of Bourbon, Isabella of Bourbon has mother Agnes of Burgundy Duchess of Bourbon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Agnes of Burgundy Duchess of Bourbon has child Margaret of Bourbon 1438 1483, Margaret of Bourbon 1438 1483 has mother Agnes of Burgundy Duchess of Bourbon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Marie de Ch tillon 1323 1363, John I Duke of Lorraine has mother Marie de Ch tillon 1323 1363 The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Matilda of Brandenburg Duchess of Brunswic L neburg, Albert I Duke of Brunswic L neburg has mother Matilda of Brandenburg Duchess of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Isabeau of Bavaria, Catherine of Valois has mother Isabeau of Bavaria The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Isabeau of Bavaria, Charles VII of France has mother Isabeau of Bavaria The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret of the Palatinate has child Isabella Duchess of Lorraine, Isabella Duchess of Lorraine has mother Margaret of the Palatinate The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Mary de Bohun, Henry V of England has mother Mary de Bohun The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria Theresa of Spain has child Louis Dauphin of France son of Louis XIV, Louis Dauphin of France son of Louis XIV has mother Maria Theresa of Spain The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Catherine of Valois has child Henry VI of England, Henry VI of England has mother Catherine of Valois The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Agnes of France Duchess of Burgundy, Joan the Lame has mother Agnes of France Duchess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Agnes of France Duchess of Burgundy, Odo IV Duke of Burgundy has mother Agnes of France Duchess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Anne of Foix Candale has child Anne of Bohemia and Hungary, Anne of Bohemia and Hungary has mother Anne of Foix Candale The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Maria Beatrice of Savoy has child Archduchess Maria Theresa of Austria Este 1817 1886, Archduchess Maria Theresa of Austria Este 1817 1886 has mother Maria Beatrice of Savoy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Eleanor of Provence, Edward I of England has mother Eleanor of Provence The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Marie Jeanne Baptiste of Savoy Nemours, Victor Amadeus II of Sardinia has mother Marie Jeanne Baptiste of Savoy Nemours The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Lutgardis of Luxemburg, Dirk III Count of Holland has mother Lutgardis of Luxemburg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Heilika of Lengenfeld, Otto I Duke of Bavaria has mother Heilika of Lengenfeld The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Bonne of Luxembourg has child Marie of France Duchess of Bar, Marie of France Duchess of Bar has mother Bonne of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Bonne of Luxembourg has child Charles V of France, Charles V of France has mother Bonne of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Bonne of Luxembourg has child Louis I of Anjou, Louis I of Anjou has mother Bonne of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Marie of Brabant Queen of France has child Louis Count of  vreux, Louis Count of  vreux has mother Marie of Brabant Queen of France The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Bertha of Swabia, Conrad I of Burgundy has mother Bertha of Swabia The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Sancha of Castile Queen of Aragon, Peter II of Aragon has mother Sancha of Castile Queen of Aragon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Jacquetta of Luxembourg has child Elizabeth Woodville, Elizabeth Woodville has mother Jacquetta of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Gertrude of Hohenberg has child Albert I of Germany, Albert I of Germany has mother Gertrude of Hohenberg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Gertrude of Hohenberg has child Judith of Habsburg, Judith of Habsburg has mother Gertrude of Hohenberg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Gertrude of Hohenberg has child Clemence of Austria, Clemence of Austria has mother Gertrude of Hohenberg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Blanche of Brittany, Margaret of Artois has mother Blanche of Brittany The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Christina of Denmark, Charles III Duke of Lorraine has mother Christina of Denmark The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Marie of Cleves Duchess of Orl ans has child Louis XII, Louis XII has mother Marie of Cleves Duchess of Orl ans The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Agatha wife of Edward the Exile has child Saint Margaret of Scotland, Saint Margaret of Scotland has mother Agatha wife of Edward the Exile The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Dulce of Aragon, Afonso II of Portugal has mother Dulce of Aragon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Salomea of Berg has child Richeza of Poland Queen of Sweden, Richeza of Poland Queen of Sweden has mother Salomea of Berg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Alice Holland Countess of Kent, Margaret Holland Duchess of Clarence has mother Alice Holland Countess of Kent The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret of Brieg has child Margaret of Bavaria, Margaret of Bavaria has mother Margaret of Brieg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Maria Theresa of Savoy has child Charles Ferdinand Duke of Berry, Charles Ferdinand Duke of Berry has mother Maria Theresa of Savoy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Margaret of Baux, Jacquetta of Luxembourg has mother Margaret of Baux The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Eleanor of Toledo, Francesco I de Medici Grand Duke of Tuscany has mother Eleanor of Toledo The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Mary of Burgundy Duchess of Savoy, Louis Duke of Savoy has mother Mary of Burgundy Duchess of Savoy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria Josepha of Austria has child Maria Amalia of Saxony, Maria Amalia of Saxony has mother Maria Josepha of Austria The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Maria Josepha of Austria has child Maria Josepha of Saxony Dauphine of France, Maria Josepha of Saxony Dauphine of France has mother Maria Josepha of Austria The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Anna of Nassau Dillenburg, Henry the Middle Duke of Brunswic L neburg has mother Anna of Nassau Dillenburg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Hedwig of Formbach, Simon I Duke of Lorraine has mother Hedwig of Formbach The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Dorothea of Denmark Duchess of Brunswic L neburg, George Duke of Brunswic Calenberg has mother Dorothea of Denmark Duchess of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Constance of Portugal, Alfonso XI of Castile has mother Constance of Portugal The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Hemma, Charles the Fat has mother Hemma The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Beatrice of Castile 1293 1359, Peter I of Portugal has mother Beatrice of Castile 1293 1359 The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Urraca of Castile Queen of Portugal, Afonso III of Portugal has mother Urraca of Castile Queen of Portugal The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Mary of Guise, Mary Queen of Scots has mother Mary of Guise The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Viridis Visconti, Ernest Duke of Austria has mother Viridis Visconti The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Alpaida has child Charles Martel, Charles Martel has mother Alpaida The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Ingegerd Olofsdotter of Sweden has child Anne of Kiev, Anne of Kiev has mother Ingegerd Olofsdotter of Sweden The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Eleonore of Austria Queen of Poland, Leopold Duke of Lorraine has mother Eleonore of Austria Queen of Poland The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Mary of Burgundy Duchess of Cleves has child Marie of Cleves Duchess of Orl ans, Marie of Cleves Duchess of Orl ans has mother Mary of Burgundy Duchess of Cleves The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Isabella of Hainault has child Louis VIII of France, Louis VIII of France has mother Isabella of Hainault The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Gisela of Swabia, Liudolf Margrave of Frisia has mother Gisela of Swabia The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Helie of Semur, Henry son of Robert I of Burgundy has mother Helie of Semur The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Henrietta Maria, Henrietta of England has mother Henrietta Maria The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Bertha of Holland has child Louis VI of France, Louis VI of France has mother Bertha of Holland The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Isabella Duchess of Lorraine has child Margaret of Anjou, Margaret of Anjou has mother Isabella Duchess of Lorraine The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Sophia Eleonore of Saxony has child Landgravine Elisabeth Amalie of Hesse Darmstadt, Landgravine Elisabeth Amalie of Hesse Darmstadt has mother Sophia Eleonore of Saxony The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Blanche of Lancaster, Henry IV of England has mother Blanche of Lancaster The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Eleanor of Aragon Queen of Castile, Ferdinand I of Aragon has mother Eleanor of Aragon Queen of Castile The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Teresa Louren o, John I of Portugal has mother Teresa Louren o The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Princess Caroline Louise of Saxe Weimar Eisenach has child Duchess Helene of Mecklenburg Schwerin, Duchess Helene of Mecklenburg Schwerin has mother Princess Caroline Louise of Saxe Weimar Eisenach The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Luitgarde of Vermandois, Odo I Count of Blois has mother Luitgarde of Vermandois The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Violant of Hungary has child Isabella of Aragon Queen of France, Isabella of Aragon Queen of France has mother Violant of Hungary The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Maria Christina of the Two Sicilies has child Infanta Luisa Fernanda Duchess of Montpensier, Infanta Luisa Fernanda Duchess of Montpensier has mother Maria Christina of the Two Sicilies The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Guilla of Provence, Rudolph II of Burgundy has mother Guilla of Provence The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Clemence of Austria, Clementia of Hungary has mother Clemence of Austria The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Matilda of Savoy Queen of Portugal, Sancho I of Portugal has mother Matilda of Savoy Queen of Portugal The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Alfonsina Orsini, Lorenzo de Medici Duke of Urbino has mother Alfonsina Orsini The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Anna Maria of Ostfriesland, Anna Maria of Mecklenburg Schwerin has mother Anna Maria of Ostfriesland The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Eleanor of Alburquerque has child Eleanor of Aragon Queen of Portugal, Eleanor of Aragon Queen of Portugal has mother Eleanor of Alburquerque The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Eleanor of Alburquerque has child John II of Aragon, John II of Aragon has mother Eleanor of Alburquerque The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Philippa of Luxembourg, William I Count of Hainaut has mother Philippa of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria Teresa Cybo Malaspina Duchess of Massa has child Maria Beatrice d Este Duchess of Massa, Maria Beatrice d Este Duchess of Massa has mother Maria Teresa Cybo Malaspina Duchess of Massa The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Alix Duchess of Brittany, John I Duke of Brittany has mother Alix Duchess of Brittany The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Philippa of Guelders, Antoine Duke of Lorraine has mother Philippa of Guelders The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Joan II of Navarre has child Blanche of Navarre Queen of France, Blanche of Navarre Queen of France has mother Joan II of Navarre The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Eleanor de Guzm n, Henry II of Castile has mother Eleanor de Guzm n The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Mary of Guelders, James III of Scotland has mother Mary of Guelders The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Anabella Drummond, James I of Scotland has mother Anabella Drummond The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret of Denmark Queen of Scotland, James IV of Scotland has mother Margaret of Denmark Queen of Scotland The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Mahaut of Ch tillon, Isabella of Valois Duchess of Bourbon has mother Mahaut of Ch tillon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Wilhelmine Amalie of Brunswick, Maria Josepha of Austria has mother Wilhelmine Amalie of Brunswick The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Ermengarde of Auvergne, Theobald III Count of Blois has mother Ermengarde of Auvergne The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret Douglas, Henry Stuart Lord Darnley has mother Margaret Douglas The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Kunigunde of Altdorf, Welf I Duke of Bavaria has mother Kunigunde of Altdorf The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Ermentrude of Orl ans has child Louis the Stammerer, Louis the Stammerer has mother Ermentrude of Orl ans The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Matilda of Carinthia, Henry I Count of Champagne has mother Matilda of Carinthia The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Barbara of Cilli has child Elizabeth of Luxembourg, Elizabeth of Luxembourg has mother Barbara of Cilli The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Margaret of Foix has child Anne of Brittany, Anne of Brittany has mother Margaret of Foix The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Judith of Habsburg, Elizabeth of Bohemia 1292 1330 has mother Judith of Habsburg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Blanche of Navarre Countess of Champagne, Theobald I of Navarre has mother Blanche of Navarre Countess of Champagne The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
 lffl d wife of Edward the Elder has child Eadgifu of Wessex, Eadgifu of Wessex has mother  lffl d wife of Edward the Elder The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Agnes de Baudemont Countess of Braine, Robert II Count of Dreux has mother Agnes de Baudemont Countess of Braine The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Adelaide Countess of Burgundy, Otto IV Count of Burgundy has mother Adelaide Countess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Alice of Normandy, William I Count of Burgundy has mother Alice of Normandy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Philippa of Lancaster, Edward King of Portugal has mother Philippa of Lancaster The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret of Artois, Joan of  vreux has mother Margaret of Artois The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret of Artois, Philip III of Navarre has mother Margaret of Artois The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Yolanda Latin Empress has child Yolanda of Courtenay, Yolanda of Courtenay has mother Yolanda Latin Empress The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Adele of Vermandois, Baldwin III Count of Flanders has mother Adele of Vermandois The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Petronilla of Aragon, Alfonso II of Aragon has mother Petronilla of Aragon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Rotrude of Hesbaye, Pepin the Short has mother Rotrude of Hesbaye The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret of Austria Queen of Spain has child Philip IV of Spain, Philip IV of Spain has mother Margaret of Austria Queen of Spain The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Elisabeth of Austria Duchess of Lorraine, Rudolph Duke of Lorraine has mother Elisabeth of Austria Duchess of Lorraine The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Archduchess Maria Clementina of Austria has child Marie Caroline of Bourbo Two Sicilies Duchess of Berry, Marie Caroline of Bourbo Two Sicilies Duchess of Berry has mother Archduchess Maria Clementina of Austria The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Hedwig of Bavaria, Judith of Bavaria died 843 has mother Hedwig of Bavaria The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Hedwig of Bavaria, Hemma has mother Hedwig of Bavaria The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Marie Louise Duchess of Parma has child Napoleon II, Napoleon II has mother Marie Louise Duchess of Parma The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Beatriz Pereira de Alvim, Isabel of Barcelos has mother Beatriz Pereira de Alvim The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Gertrude of S pplingenburg, Henry the Lion has mother Gertrude of S pplingenburg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Engeltrude de F zensac, Ermentrude of Orl ans has mother Engeltrude de F zensac The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Isabel of Barcelos, Isabella of Portugal Queen of Castile has mother Isabel of Barcelos The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Catherine of Mayenne, Anne Gonzaga has mother Catherine of Mayenne The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Elizabeth of Luxembourg, Elizabeth of Austria 1436 1505 has mother Elizabeth of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Countess Caroline of Nassau Saarbr cken, Countess Palatine Caroline of Zweibr cken has mother Countess Caroline of Nassau Saarbr cken The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Ermengarde of Hesbaye, Louis the German has mother Ermengarde of Hesbaye The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret of Savoy Countess of Saint Pol has child Marie of Luxembourg Countess of Vend me, Marie of Luxembourg Countess of Vend me has mother Margaret of Savoy Countess of Saint Pol The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Anna Sophia of Prussia, John VII Duke of Mecklenburg Schwerin has mother Anna Sophia of Prussia The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Violant of Bar has child Yolande of Aragon, Yolande of Aragon has mother Violant of Bar The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Sibylla of Burgundy Duchess of Burgundy, Hugh II Duke of Burgundy has mother Sibylla of Burgundy Duchess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Marie of Blois Duchess of Anjou, Louis II of Anjou has mother Marie of Blois Duchess of Anjou The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria Anna of Bavaria born 1551, Margaret of Austria Queen of Spain has mother Maria Anna of Bavaria born 1551 The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Ermengarde Countess of Maine, Geoffrey Plantagenet Count of Anjou has mother Ermengarde Countess of Maine The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Ermengarde Countess of Maine, Sibylla of Anjou has mother Ermengarde Countess of Maine The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
