Rule 11:
If successor ?a, then predecessor ?b.
Amaury I de Montfort has predecessor Guillaume de Montfort of Hainaut, Guillaume de Montfort of Hainaut has successor Amaury I de Montfort. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
James V of Scotland has predecessor James IV of Scotland, James IV of Scotland has successor James V of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Philippe I Duke of Orl ans has predecessor Gaston Duke of Orl ans, Gaston Duke of Orl ans has successor Philippe I Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Vladimir the Great has predecessor Yaropolk I of Kiev, Yaropolk I of Kiev has successor Vladimir the Great. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Vladimir the Great has predecessor Sviatoslav I, Sviatoslav I has successor Vladimir the Great. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Lothair I has predecessor Louis the Pious, Louis the Pious has successor Lothair I. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles Duke of Orl ans, Louis I Duke of Orl ans has successor Charles Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
John of Bohemia has predecessor Henry VII Holy Roman Emperor, Henry VII Holy Roman Emperor has successor John of Bohemia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
John of Bohemia has predecessor Henry of Bohemia, Henry of Bohemia has successor John of Bohemia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ferdinand I Holy Roman Emperor has predecessor Louis II of Hungary, Louis II of Hungary has successor Ferdinand I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Agnes of Burgundy Duchess of Bourbon, Marie Duchess of Auvergne has successor Agnes of Burgundy Duchess of Bourbon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Charles V Holy Roman Emperor has predecessor Joanna of Castile, Joanna of Castile has successor Charles V Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles V Holy Roman Emperor has predecessor Maximilian I Holy Roman Emperor, Maximilian I Holy Roman Emperor has successor Charles V Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles V Holy Roman Emperor, Philip I of Castile has successor Charles V Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Isabella I of Castile, Henry IV of Castile has successor Isabella I of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Yaroslav the Wise has predecessor Sviatopolk I of Kiev, Sviatopolk I of Kiev has successor Yaroslav the Wise. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Berengar II of Italy has predecessor Lothair II of Italy, Lothair II of Italy has successor Berengar II of Italy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Archduchess Maria Dorothea of Austria has predecessor Princess Marie Isabelle of Orl ans, Princess Marie Isabelle of Orl ans has successor Archduchess Maria Dorothea of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Eleanor of Aquitaine, William X Duke of Aquitaine has successor Eleanor of Aquitaine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Jeanne d Albret, Henry II of Navarre has successor Jeanne d Albret. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Jeanne d Albret has predecessor Antoine of Navarre, Antoine of Navarre has successor Jeanne d Albret. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Rudolph II of Burgundy has predecessor Berengar I of Italy, Berengar I of Italy has successor Rudolph II of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Rudolph II of Burgundy, Rudolph I of Burgundy has successor Rudolph II of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Charles II of Spain has predecessor Philip IV of Spain, Philip IV of Spain has successor Charles II of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Alfonso V of Aragon has predecessor Ferdinand I of Aragon, Ferdinand I of Aragon has successor Alfonso V of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Alfonso V of Aragon, Ren  of Anjou has successor Alfonso V of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
 thelwulf King of Wessex has predecessor Ecgberht King of Wessex, Ecgberht King of Wessex has successor  thelwulf King of Wessex. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Edward the Elder has predecessor Alfred the Great, Alfred the Great has successor Edward the Elder. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Sancho III of Castile has predecessor Alfonso VII of Le n and Castile, Alfonso VII of Le n and Castile has successor Sancho III of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis VII of France has predecessor Louis VI of France, Louis VI of France has successor Louis VII of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Afonso V of Portugal has predecessor Edward King of Portugal, Edward King of Portugal has successor Afonso V of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles X, Louis XVIII has successor Charles X. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Peter of Castile has predecessor Alfonso XI of Castile, Alfonso XI of Castile has successor Peter of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Richard I of England, Henry II of England has successor Richard I of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Dirk II Count of Holland, Dirk I Count of Holland has successor Dirk II Count of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Ramon Berenguer III Count of Barcelona, Berenguer Ramon II Count of Barcelona has successor Ramon Berenguer III Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Hugh III Duke of Burgundy has predecessor Odo II Duke of Burgundy, Odo II Duke of Burgundy has successor Hugh III Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Anne of Brittany has predecessor Francis II Duke of Brittany, Francis II Duke of Brittany has successor Anne of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Margaret Countess of Anjou, Charles II of Naples has successor Margaret Countess of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Frederick II Duke of Lorraine has predecessor Frederick I Duke of Lorraine, Frederick I Duke of Lorraine has successor Frederick II Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Matthias II Duke of Lorraine has predecessor Theobald I Duke of Lorraine, Theobald I Duke of Lorraine has successor Matthias II Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ramon Berenguer IV Count of Barcelona has predecessor Ramon Berenguer III Count of Barcelona, Ramon Berenguer III Count of Barcelona has successor Ramon Berenguer IV Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
John Stewart 3rd Lord of Aubigny has predecessor John Stewart of Darnley, John Stewart of Darnley has successor John Stewart 3rd Lord of Aubigny. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Joanna of Castile, Isabella I of Castile has successor Joanna of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Joanna of Castile has predecessor Ferdinand II of Aragon, Ferdinand II of Aragon has successor Joanna of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
John II of Aragon has predecessor Blanche I of Navarre, Blanche I of Navarre has successor John II of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Philip IV of France, Joan I of Navarre has successor Philip IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Edward King of Portugal, John I of Portugal has successor Edward King of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Ernest II Duke of Brunswic L neburg has predecessor William the Younger Duke of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has successor Ernest II Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Maximilian I Holy Roman Emperor has predecessor Frederick III Holy Roman Emperor, Frederick III Holy Roman Emperor has successor Maximilian I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry V of England, Henry IV of England has successor Henry V of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Hugh IV Duke of Burgundy has predecessor Odo III Duke of Burgundy, Odo III Duke of Burgundy has successor Hugh IV Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Pepin I of Aquitaine has predecessor Louis the Pious, Louis the Pious has successor Pepin I of Aquitaine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry the Fowler, Otto I Duke of Saxony has successor Henry the Fowler. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Henry the Fowler has predecessor Conrad I of Germany, Conrad I of Germany has successor Henry the Fowler. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ferdinand IV of Castile has predecessor Sancho IV of Castile, Sancho IV of Castile has successor Ferdinand IV of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ferdinand III Grand Duke of Tuscany has predecessor Leopold II Holy Roman Emperor, Leopold II Holy Roman Emperor has successor Ferdinand III Grand Duke of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis IX of France has predecessor Louis VIII of France, Louis VIII of France has successor Louis IX of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis XI, Charles VII of France has successor Louis XI. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Eleanor of Navarre has predecessor John II of Aragon, John II of Aragon has successor Eleanor of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Philip II Duke of Savoy has predecessor Charles II Duke of Savoy, Charles II Duke of Savoy has successor Philip II Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Philip I of Castile has predecessor Joanna of Castile, Joanna of Castile has successor Philip I of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Joan II of Navarre has predecessor Philip III of Navarre, Philip III of Navarre has successor Joan II of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Joan II of Navarre, Charles IV of France has successor Joan II of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
John V Duke of Brittany has predecessor John IV Duke of Brittany, John IV Duke of Brittany has successor John V Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Mary Queen of Scots has predecessor James V of Scotland, James V of Scotland has successor Mary Queen of Scots. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Yaropolk I of Kiev has predecessor Vladimir the Great, Vladimir the Great has successor Yaropolk I of Kiev. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles IV Holy Roman Emperor, Louis IV Holy Roman Emperor has successor Charles IV Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Charles IV Holy Roman Emperor has predecessor John of Bohemia, John of Bohemia has successor Charles IV Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis X of France has predecessor Philip IV of France, Philip IV of France has successor Louis X of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis X of France has predecessor Joan I of Navarre, Joan I of Navarre has successor Louis X of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
George I of Great Britain, Ernest Augustus Elector of Hanover has successor George I of Great Britain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
George I of Great Britain has predecessor Anne Queen of Great Britain, Anne Queen of Great Britain has successor George I of Great Britain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ramon Berenguer IV Count of Provence has predecessor Alfonso II Count of Provence, Alfonso II Count of Provence has successor Ramon Berenguer IV Count of Provence. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Oleg of Novgorod has predecessor Rurik, Rurik has successor Oleg of Novgorod. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Valdemar I of Denmark has predecessor Sweyn III of Denmark, Sweyn III of Denmark has successor Valdemar I of Denmark. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Hugh V Duke of Burgundy, Robert II Duke of Burgundy has successor Hugh V Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Charles II of Navarre, Joan II of Navarre has successor Charles II of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Prince Philippe Duke of Orl ans 1869 1926, Prince Philippe Count of Paris has successor Prince Philippe Duke of Orl ans 1869 1926. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Charles III Duke of Lorraine has predecessor Francis I Duke of Lorraine, Francis I Duke of Lorraine has successor Charles III Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Maria Theresa has predecessor Charles VII Holy Roman Emperor, Charles VII Holy Roman Emperor has successor Maria Theresa. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Adolphus Frederick II Duke of Mecklenburg Strelitz, Frederick William Duke of Mecklenburg Schwerin has successor Adolphus Frederick II Duke of Mecklenburg Strelitz. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Charlemagne has predecessor Desiderius, Desiderius has successor Charlemagne. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles the Bald has predecessor Louis II of Italy, Louis II of Italy has successor Charles the Bald. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Girolamo Savonarola, Piero the Unfortunate has successor Girolamo Savonarola. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Wilfred the Hairy has predecessor Bernard of Gothia, Bernard of Gothia has successor Wilfred the Hairy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry II Duke of Lorraine has predecessor Charles III Duke of Lorraine, Charles III Duke of Lorraine has successor Henry II Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Piero the Unfortunate has predecessor Lorenzo de Medici, Lorenzo de Medici has successor Piero the Unfortunate. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry VI of England has predecessor Henry V of England, Henry V of England has successor Henry VI of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry VI of England, Edward IV of England has successor Henry VI of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Joan III Countess of Burgundy has predecessor Joan II Countess of Burgundy, Joan II Countess of Burgundy has successor Joan III Countess of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry III of Castile has predecessor John I of Castile, John I of Castile has successor Henry III of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Princess Marie Isabelle of Orl ans has predecessor Maria Amalia of Naples and Sicily, Maria Amalia of Naples and Sicily has successor Princess Marie Isabelle of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Leopold II Holy Roman Emperor has predecessor Joseph II Holy Roman Emperor, Joseph II Holy Roman Emperor has successor Leopold II Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Leopold II Holy Roman Emperor, Francis I Holy Roman Emperor has successor Leopold II Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Odo III Duke of Burgundy has predecessor Hugh III Duke of Burgundy, Hugh III Duke of Burgundy has successor Odo III Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Bernhard Count of Anhalt has predecessor Henry the Lion, Henry the Lion has successor Bernhard Count of Anhalt. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles VIII of France, Louis XI has successor Charles VIII of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Francesco I Sforza has predecessor Golden Ambrosian Republic, Golden Ambrosian Republic has successor Francesco I Sforza. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Edward III of England has predecessor Edward II of England, Edward II of England has successor Edward III of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry IV of England has predecessor John of Gaunt, John of Gaunt has successor Henry IV of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry IV of England, Richard II of England has successor Henry IV of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Napoleon II has predecessor Napoleon, Napoleon has successor Napoleon II. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Manuel I of Portugal has predecessor John II of Portugal, John II of Portugal has successor Manuel I of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Joseph II Holy Roman Emperor has predecessor Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has successor Joseph II Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Joseph II Holy Roman Emperor has predecessor Maria Theresa, Maria Theresa has successor Joseph II Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis XVI, Louis XV has successor Louis XVI. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
John IV Duke of Brittany has predecessor John of Montfort, John of Montfort has successor John IV Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
James I of Scotland has predecessor Robert III of Scotland, Robert III of Scotland has successor James I of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ferdinand Philippe Duke of Orl ans, Louis Philippe I has successor Ferdinand Philippe Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
John I of France has predecessor Louis X of France, Louis X of France has successor John I of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Napoleon III, Louis Philippe I has successor Napoleon III. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Napol on Louis Bonaparte has predecessor Louis Bonaparte, Louis Bonaparte has successor Napol on Louis Bonaparte. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis XIV, Louis XIII has successor Louis XIV. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Pope Clement VII has predecessor Lorenzo de Medici Duke of Urbino, Lorenzo de Medici Duke of Urbino has successor Pope Clement VII. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ferdinando I de Medici Grand Duke of Tuscany has predecessor Francesco I de Medici Grand Duke of Tuscany, Francesco I de Medici Grand Duke of Tuscany has successor Ferdinando I de Medici Grand Duke of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henri Count of Chambord, Louis Antoine Duke of Angoul me has successor Henri Count of Chambord. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Henri Count of Chambord has predecessor Charles X, Charles X has successor Henri Count of Chambord. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Dirk III Count of Holland has predecessor Arnulf Count of Holland, Arnulf Count of Holland has successor Dirk III Count of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Robert II Count of Dreux, Robert I Count of Dreux has successor Robert II Count of Dreux. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Robert II Count of Dreux has predecessor Agnes de Baudemont, Agnes de Baudemont has successor Robert II Count of Dreux. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Dirk IV Count of Holland, Dirk III Count of Holland has successor Dirk IV Count of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Odo I Duke of Burgundy has predecessor Hugh I Duke of Burgundy, Hugh I Duke of Burgundy has successor Odo I Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Gerberga of M con has predecessor Willa of Tuscany, Willa of Tuscany has successor Gerberga of M con. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Robert II Duke of Burgundy has predecessor Hugh IV Duke of Burgundy, Hugh IV Duke of Burgundy has successor Robert II Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Arnulf Count of Holland has predecessor Dirk II Count of Holland, Dirk II Count of Holland has successor Arnulf Count of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
John II Duke of Lorraine has predecessor Isabella Duchess of Lorraine, Isabella Duchess of Lorraine has successor John II Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Philip III of Spain has predecessor Philip II of Spain, Philip II of Spain has successor Philip III of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Hugh Capet has predecessor Louis V of France, Louis V of France has successor Hugh Capet. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Jacques Charles Dupont de l Eure has predecessor Louis Philippe I, Louis Philippe I has successor Jacques Charles Dupont de l Eure. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Berengar I of Italy has predecessor Charles the Fat, Charles the Fat has successor Berengar I of Italy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry I of France has predecessor Robert II of France, Robert II of France has successor Henry I of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry I of France has predecessor Hugh Magnus, Hugh Magnus has successor Henry I of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
John the Fearless has predecessor Philip the Bold, Philip the Bold has successor John the Fearless. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
James VI and I has predecessor Mary Queen of Scots, Mary Queen of Scots has successor James VI and I. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Otto I Holy Roman Emperor has predecessor Berengar II of Italy, Berengar II of Italy has successor Otto I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Simon I Duke of Lorraine has predecessor Theodoric II Duke of Lorraine, Theodoric II Duke of Lorraine has successor Simon I Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Victor Amadeus III of Sardinia has predecessor Charles Emmanuel III of Sardinia, Charles Emmanuel III of Sardinia has successor Victor Amadeus III of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles Emmanuel II Duke of Savoy has predecessor Francis Hyacinth Duke of Savoy, Francis Hyacinth Duke of Savoy has successor Charles Emmanuel II Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Antoine Duke of Lorraine has predecessor Ren  II Duke of Lorraine, Ren  II Duke of Lorraine has successor Antoine Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry I of Navarre has predecessor Theobald II of Navarre, Theobald II of Navarre has successor Henry I of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles IV of Anjou has predecessor Ren  of Anjou, Ren  of Anjou has successor Charles IV of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Raymond of Burgundy has predecessor Nuno Mendes count, Nuno Mendes count has successor Raymond of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Carloman of Bavaria, Louis the German has successor Carloman of Bavaria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Joan Countess of Ponthieu has predecessor Marie Countess of Ponthieu, Marie Countess of Ponthieu has successor Joan Countess of Ponthieu. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
