Rule 28:
If parent ?a, then child ?b.
Henry I of France, Philip I of France has parent Henry I of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Marie of Brittany Countess of Saint Pol, Mahaut of Ch tillon has parent Marie of Brittany Countess of Saint Pol. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Alfonso VIII of Castile has child Blanche of Castile, Blanche of Castile has parent Alfonso VIII of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Augustus Duke of Saxe Weissenfels, Sophia of Saxe Weissenfels Princess of Anhalt Zerbst has parent Augustus Duke of Saxe Weissenfels. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis Philippe I, Antoine Duke of Montpensier has parent Louis Philippe I. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis Philippe I, Ferdinand Philippe Duke of Orl ans has parent Louis Philippe I. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Violant of Aragon, Sancho IV of Castile has parent Violant of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Teresa Louren o, John I of Portugal has parent Teresa Louren o. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Philip II of France has child Louis VIII of France, Louis VIII of France has parent Philip II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ramon Berenguer III Count of Barcelona, Ramon Berenguer IV Count of Barcelona has parent Ramon Berenguer III Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Ramon Berenguer III Count of Barcelona, Berengaria of Barcelona has parent Ramon Berenguer III Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Anabella Drummond, James I of Scotland has parent Anabella Drummond. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Baldwin III Count of Flanders, Arnulf II Count of Flanders has parent Baldwin III Count of Flanders. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
John VIII Count of Vend me, Jeanne de Bourbon Duchess of Bourbon has parent John VIII Count of Vend me. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Marie Louise Duchess of Parma has child Napoleon II, Napoleon II has parent Marie Louise Duchess of Parma. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ramon Berenguer IV Count of Provence has child Eleanor of Provence, Eleanor of Provence has parent Ramon Berenguer IV Count of Provence. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ramon Berenguer IV Count of Provence has child Margaret of Provence, Margaret of Provence has parent Ramon Berenguer IV Count of Provence. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ferdinand Duke of Viseu has child Eleanor of Viseu, Eleanor of Viseu has parent Ferdinand Duke of Viseu. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis II of Anjou has child Marie of Anjou, Marie of Anjou has parent Louis II of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis II of Anjou has child Ren  of Anjou, Ren  of Anjou has parent Louis II of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Margaret Douglas, Henry Stuart Lord Darnley has parent Margaret Douglas. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Joan II of Navarre has child Blanche of Navarre Queen of France, Blanche of Navarre Queen of France has parent Joan II of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Francis II Duke of Lorraine has child Nicholas Francis Duke of Lorraine, Nicholas Francis Duke of Lorraine has parent Francis II Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Isabel of Coimbra, John II of Portugal has parent Isabel of Coimbra. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Francis IV Duke of Modena has child Archduchess Maria Theresa of Austria Este 1817 1886, Archduchess Maria Theresa of Austria Este 1817 1886 has parent Francis IV Duke of Modena. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ramon Borrell Count of Barcelona, Berenguer Ramon I Count of Barcelona has parent Ramon Borrell Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Henry IV of England, Henry V of England has parent Henry IV of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Joan Beaufort Queen of Scots, James II of Scotland has parent Joan Beaufort Queen of Scots. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Joan Beaufort Queen of Scots, Margaret Stewart Dauphine of France has parent Joan Beaufort Queen of Scots. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis Crato Count of Nassau Saarbr cken, Countess Caroline of Nassau Saarbr cken has parent Louis Crato Count of Nassau Saarbr cken. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis I Duke of Bourbon has child James I Count of La Marche, James I Count of La Marche has parent Louis I Duke of Bourbon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis I Duke of Bourbon, Peter I Duke of Bourbon has parent Louis I Duke of Bourbon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Richard Fitzalan 3rd Earl of Arundel, Joan Fitzalan Countess of Hereford has parent Richard Fitzalan 3rd Earl of Arundel. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Stephen Count of Blois, Theobald II Count of Champagne has parent Stephen Count of Blois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Eleanor of Aragon Queen of Castile, Ferdinand I of Aragon has parent Eleanor of Aragon Queen of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Gertrude of Hohenberg has child Judith of Habsburg, Judith of Habsburg has parent Gertrude of Hohenberg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Gertrude of Hohenberg has child Clemence of Austria, Clemence of Austria has parent Gertrude of Hohenberg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Gertrude of Hohenberg has child Albert I of Germany, Albert I of Germany has parent Gertrude of Hohenberg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Albert IV Count of Habsburg, Rudolf I of Germany has parent Albert IV Count of Habsburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Stephen I Count of Burgundy, William III of M con has parent Stephen I Count of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Fran oise Marie de Bourbon has child Louis Duke of Orl ans 1703 1752, Louis Duke of Orl ans 1703 1752 has parent Fran oise Marie de Bourbon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Lucia da Torsano, Francesco I Sforza has parent Lucia da Torsano. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Henry II Duke of Brabant, Henry III Duke of Brabant has parent Henry II Duke of Brabant. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Henry II Duke of Brabant, Matilda of Brabant Countess of Artois has parent Henry II Duke of Brabant. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
George Duke of Saxony, Christine of Saxony has parent George Duke of Saxony. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Richard Duke of Burgundy, Rudolph of France has parent Richard Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Charles Count of Angoul me, Francis I of France has parent Charles Count of Angoul me. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Charles Count of Angoul me, Margaret of Valois Angoul me has parent Charles Count of Angoul me. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Philip I of Castile has child Eleanor of Austria, Eleanor of Austria has parent Philip I of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Philip I of Castile has child Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has parent Philip I of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Philip I of Castile, Charles V Holy Roman Emperor has parent Philip I of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Frederick II Duke of Brunswic L neburg, Otto V Duke of Brunswic L neburg has parent Frederick II Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Osburh, Alfred the Great has parent Osburh. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Philippa of Luxembourg, William I Count of Hainaut has parent Philippa of Luxembourg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Robert II Count of Artois, Mahaut Countess of Artois has parent Robert II Count of Artois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Adela of France, Baldwin VI Count of Flanders has parent Adela of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Humbert II Count of Savoy, Adelaide of Maurienne has parent Humbert II Count of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis the Pious has child Louis the German, Louis the German has parent Louis the Pious. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis the Pious has child Charles the Bald, Charles the Bald has parent Louis the Pious. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Isabel of Barcelos, Beatriz of Portugal Duchess of Viseu has parent Isabel of Barcelos. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Isabel of Barcelos, Isabella of Portugal Queen of Castile has parent Isabel of Barcelos. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Margaret Holland Duchess of Clarence, Joan Beaufort Queen of Scots has parent Margaret Holland Duchess of Clarence. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
William VIII Duke of Aquitaine, William IX Duke of Aquitaine has parent William VIII Duke of Aquitaine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Rotrude of Hesbaye, Pepin the Short has parent Rotrude of Hesbaye. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Fulk King of Jerusalem has child Geoffrey Plantagenet Count of Anjou, Geoffrey Plantagenet Count of Anjou has parent Fulk King of Jerusalem. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Fulk King of Jerusalem, Sibylla of Anjou has parent Fulk King of Jerusalem. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Berthold II Count of Andechs, Berthold I of Istria has parent Berthold II Count of Andechs. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Dulce of Aragon, Afonso II of Portugal has parent Dulce of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Marie Eleonore of Cleves has child Magdalene Sibylle of Prussia, Magdalene Sibylle of Prussia has parent Marie Eleonore of Cleves. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Odo I Count of Blois, Odo II Count of Blois has parent Odo I Count of Blois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Patrick Hepburn 3rd Earl of Bothwell, James Hepburn 4th Earl of Bothwell has parent Patrick Hepburn 3rd Earl of Bothwell. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Godfrey III Count of Louvain, Henry I Duke of Brabant has parent Godfrey III Count of Louvain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Sophia of Holstei Gottorp, Adolphus Frederick I Duke of Mecklenburg Schwerin has parent Sophia of Holstei Gottorp. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Theobald I of Navarre, Theobald II Duke of Lorraine has parent Theobald I of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Marie Countess of Ponthieu, Joan Countess of Ponthieu has parent Marie Countess of Ponthieu. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Charlemagne has child Louis the Pious, Louis the Pious has parent Charlemagne. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Valdemar I of Denmark has child Ingeborg of Denmark Queen of France, Ingeborg of Denmark Queen of France has parent Valdemar I of Denmark. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Magdalene Sibylle of Prussia, Sophia Eleonore of Saxony has parent Magdalene Sibylle of Prussia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria Beatrice d Este Duchess of Massa has child Francis IV Duke of Modena, Francis IV Duke of Modena has parent Maria Beatrice d Este Duchess of Massa. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Maria Beatrice d Este Duchess of Massa has child Maria Theresa of Austria Este Queen of Sardinia, Maria Theresa of Austria Este Queen of Sardinia has parent Maria Beatrice d Este Duchess of Massa. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Denis of Portugal has child Afonso IV of Portugal, Afonso IV of Portugal has parent Denis of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Isabella Duchess of Lorraine has child Margaret of Anjou, Margaret of Anjou has parent Isabella Duchess of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Charles VI Holy Roman Emperor, Maria Theresa has parent Charles VI Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Marged ferch Tomos, Maredudd ap Tudur has parent Marged ferch Tomos. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Eadgifu of Wessex has child Louis IV of France, Louis IV of France has parent Eadgifu of Wessex. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Giovanni delle Bande Nere, Cosimo I de Medici Grand Duke of Tuscany has parent Giovanni delle Bande Nere. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Frederick II Margrave of Meissen, Elisabeth of Meissen has parent Frederick II Margrave of Meissen. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Francis I Holy Roman Emperor has child Marie Antoinette, Marie Antoinette has parent Francis I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Francis I Holy Roman Emperor has child Leopold II Holy Roman Emperor, Leopold II Holy Roman Emperor has parent Francis I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Francis I Holy Roman Emperor has child Maria Carolina of Austria, Maria Carolina of Austria has parent Francis I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Francis I Holy Roman Emperor has child Ferdinand Karl Archduke of Austria Este, Ferdinand Karl Archduke of Austria Este has parent Francis I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Archduchess Maria Clementina of Austria has child Marie Caroline of Bourbo Two Sicilies Duchess of Berry, Marie Caroline of Bourbo Two Sicilies Duchess of Berry has parent Archduchess Maria Clementina of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Adalbert I of Ivrea, Berengar II of Italy has parent Adalbert I of Ivrea. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Agnes de Baudemont Countess of Braine, Robert II Count of Dreux has parent Agnes de Baudemont Countess of Braine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
 lfthryth Countess of Flanders, Arnulf I Count of Flanders has parent  lfthryth Countess of Flanders. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Ingeborg of Kiev, Valdemar I of Denmark has parent Ingeborg of Kiev. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Sigismund Holy Roman Emperor, Elizabeth of Luxembourg has parent Sigismund Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Olof Sk tkonung, Ingegerd Olofsdotter of Sweden has parent Olof Sk tkonung. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Alys of France Countess of Vexin has child Marie Countess of Ponthieu, Marie Countess of Ponthieu has parent Alys of France Countess of Vexin. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Alexander Stewart 4th High Steward of Scotland, James Stewart 5th High Steward of Scotland has parent Alexander Stewart 4th High Steward of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Amicie de Courtenay, Mahaut Countess of Artois has parent Amicie de Courtenay. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
 lisabeth Charlotte d Orl ans, Francis I Holy Roman Emperor has parent  lisabeth Charlotte d Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Philippe I Duke of Orl ans, Philippe II Duke of Orl ans has parent Philippe I Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Henry II of Navarre, Jeanne d Albret has parent Henry II of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Pepin of Herstal has child Charles Martel, Charles Martel has parent Pepin of Herstal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Afonso III of Portugal has child Denis of Portugal, Denis of Portugal has parent Afonso III of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Adelaide of Auxerre born c. 870, Rudolph of France has parent Adelaide of Auxerre born c. 870. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Constance of Portugal, Alfonso XI of Castile has parent Constance of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis Jean Marie de Bourbon Duke of Penthi vre, Louise Marie Ad la de de Bourbon Duchess of Orl ans has parent Louis Jean Marie de Bourbon Duke of Penthi vre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Victor Amadeus III of Sardinia has child Maria Theresa of Savoy, Maria Theresa of Savoy has parent Victor Amadeus III of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Victor Amadeus III of Sardinia has child Marie Jos phine of Savoy, Marie Jos phine of Savoy has parent Victor Amadeus III of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Philip I of France, Louis VI of France has parent Philip I of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louise of Savoy has child Francis I of France, Francis I of France has parent Louise of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louise of Savoy has child Margaret of Valois Angoul me, Margaret of Valois Angoul me has parent Louise of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis VII of France, Philip II of France has parent Louis VII of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis VII of France has child Alys of France Countess of Vexin, Alys of France Countess of Vexin has parent Louis VII of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Dirk II Count of Holland has child Arnulf Count of Holland, Arnulf Count of Holland has parent Dirk II Count of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Otto I Count of Scheyern, Eckhard I Count of Scheyern has parent Otto I Count of Scheyern. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Bolko I the Strict, Beatrice of Silesia has parent Bolko I the Strict. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Marie de Medici has child Elisabeth of France 1602 1644, Elisabeth of France 1602 1644 has parent Marie de Medici. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Marie de Medici has child Louis XIII, Louis XIII has parent Marie de Medici. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Marie de Medici has child Henrietta Maria, Henrietta Maria has parent Marie de Medici. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Rudolph II of Burgundy has child Conrad I of Burgundy, Conrad I of Burgundy has parent Rudolph II of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Peter I Duke of Brittany has child John I Duke of Brittany, John I Duke of Brittany has parent Peter I Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Letizia Bonaparte has child Louis Bonaparte, Louis Bonaparte has parent Letizia Bonaparte. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Letizia Bonaparte has child Napoleon, Napoleon has parent Letizia Bonaparte. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Adela of Normandy, Theobald II Count of Champagne has parent Adela of Normandy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
William I of Provence, Constance of Arles has parent William I of Provence. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
John IV Duke of Brittany has child Richard Count of  tampes, Richard Count of  tampes has parent John IV Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Taddea Visconti, Isabeau of Bavaria has parent Taddea Visconti. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Nicolas Duke of Merc ur, Louise of Lorraine has parent Nicolas Duke of Merc ur. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Anna of Nassau Dillenburg, Henry the Middle Duke of Brunswic L neburg has parent Anna of Nassau Dillenburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Henry VII of England has child Mary Tudor Queen of France, Mary Tudor Queen of France has parent Henry VII of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Guilla of Provence, Rudolph II of Burgundy has parent Guilla of Provence. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Richilde Countess of Hainaut, Baldwin II Count of Hainaut has parent Richilde Countess of Hainaut. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Henry the Lion has child William of Winchester Lord of Lunenburg, William of Winchester Lord of Lunenburg has parent Henry the Lion. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Gerard de Bouzonville, Gerard Duke of Lorraine has parent Gerard de Bouzonville. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Mar a Manuela Kirkpatrick de Grevign e, Eug nie de Montijo has parent Mar a Manuela Kirkpatrick de Grevign e. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis XV has child Louise  lisabeth of France, Louise  lisabeth of France has parent Louis XV. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis XV has child Louis Dauphin of France son of Louis XV, Louis Dauphin of France son of Louis XV has parent Louis XV. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Odo II Duke of Burgundy has child Hugh III Duke of Burgundy, Hugh III Duke of Burgundy has parent Odo II Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
William V Duke of Aquitaine, William VIII Duke of Aquitaine has parent William V Duke of Aquitaine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Blanche of Lancaster, Henry IV of England has parent Blanche of Lancaster. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Elisabeth of Sicily Duchess of Bavaria, Stephen III Duke of Bavaria has parent Elisabeth of Sicily Duchess of Bavaria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Otto I Duke of Bavaria, Louis I Duke of Bavaria has parent Otto I Duke of Bavaria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Francis of Baux, Margaret of Baux has parent Francis of Baux. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Yolande of Dreux Duchess of Burgundy, Robert II Duke of Burgundy has parent Yolande of Dreux Duchess of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Yolande of Dreux Duchess of Burgundy, Adelaide of Burgundy Duchess of Brabant has parent Yolande of Dreux Duchess of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Robert of Courtenay Lord of Champignelles, Peter of Courtenay Lord of Conches has parent Robert of Courtenay Lord of Champignelles. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
