Rule 15:
If successor ?a, then father ?b.
Isabella I of Castile, Henry IV of Castile has successor Isabella I of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Yaroslav the Wise, Sviatopolk I of Kiev has successor Yaroslav the Wise. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Berengar II of Italy, Lothair II of Italy has successor Berengar II of Italy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Archduchess Maria Dorothea of Austria, Princess Marie Isabelle of Orl ans has successor Archduchess Maria Dorothea of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Eleanor of Aquitaine has father William X Duke of Aquitaine, William X Duke of Aquitaine has successor Eleanor of Aquitaine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Jeanne d Albret, Henry II of Navarre has successor Jeanne d Albret. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Jeanne d Albret, Antoine of Navarre has successor Jeanne d Albret. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Rudolph II of Burgundy, Berengar I of Italy has successor Rudolph II of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Rudolph II of Burgundy, Rudolph I of Burgundy has successor Rudolph II of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles II of Spain, Philip IV of Spain has successor Charles II of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Alfonso V of Aragon, Ferdinand I of Aragon has successor Alfonso V of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Alfonso V of Aragon, Ren  of Anjou has successor Alfonso V of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
 thelwulf King of Wessex has father Ecgberht King of Wessex, Ecgberht King of Wessex has successor  thelwulf King of Wessex. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Edward the Elder has father Alfred the Great, Alfred the Great has successor Edward the Elder. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Sancho III of Castile has father Alfonso VII of Le n and Castile, Alfonso VII of Le n and Castile has successor Sancho III of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Louis VII of France has father Louis VI of France, Louis VI of France has successor Louis VII of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Afonso V of Portugal has father Edward King of Portugal, Edward King of Portugal has successor Afonso V of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Charles X, Louis XVIII has successor Charles X. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Peter of Castile, Alfonso XI of Castile has successor Peter of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Richard I of England, Henry II of England has successor Richard I of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Dirk II Count of Holland has father Dirk I Count of Holland, Dirk I Count of Holland has successor Dirk II Count of Holland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Ramon Berenguer III Count of Barcelona, Berenguer Ramon II Count of Barcelona has successor Ramon Berenguer III Count of Barcelona. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Hugh III Duke of Burgundy, Odo II Duke of Burgundy has successor Hugh III Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Anne of Brittany has father Francis II Duke of Brittany, Francis II Duke of Brittany has successor Anne of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Margaret Countess of Anjou has father Charles II of Naples, Charles II of Naples has successor Margaret Countess of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Frederick II Duke of Lorraine, Frederick I Duke of Lorraine has successor Frederick II Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Matthias II Duke of Lorraine, Theobald I Duke of Lorraine has successor Matthias II Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Ramon Berenguer IV Count of Barcelona has father Ramon Berenguer III Count of Barcelona, Ramon Berenguer III Count of Barcelona has successor Ramon Berenguer IV Count of Barcelona. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
John Stewart 3rd Lord of Aubigny, John Stewart of Darnley has successor John Stewart 3rd Lord of Aubigny. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Joanna of Castile, Isabella I of Castile has successor Joanna of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Joanna of Castile, Ferdinand II of Aragon has successor Joanna of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
John II of Aragon, Blanche I of Navarre has successor John II of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Philip IV of France, Joan I of Navarre has successor Philip IV of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Edward King of Portugal has father John I of Portugal, John I of Portugal has successor Edward King of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Ernest II Duke of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has successor Ernest II Duke of Brunswic L neburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Maximilian I Holy Roman Emperor has father Frederick III Holy Roman Emperor, Frederick III Holy Roman Emperor has successor Maximilian I Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Henry V of England has father Henry IV of England, Henry IV of England has successor Henry V of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Hugh IV Duke of Burgundy has father Odo III Duke of Burgundy, Odo III Duke of Burgundy has successor Hugh IV Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Pepin I of Aquitaine, Louis the Pious has successor Pepin I of Aquitaine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Henry the Fowler, Otto I Duke of Saxony has successor Henry the Fowler. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Henry the Fowler, Conrad I of Germany has successor Henry the Fowler. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Ferdinand IV of Castile has father Sancho IV of Castile, Sancho IV of Castile has successor Ferdinand IV of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Ferdinand III Grand Duke of Tuscany, Leopold II Holy Roman Emperor has successor Ferdinand III Grand Duke of Tuscany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis IX of France has father Louis VIII of France, Louis VIII of France has successor Louis IX of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Louis XI has father Charles VII of France, Charles VII of France has successor Louis XI. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Eleanor of Navarre, John II of Aragon has successor Eleanor of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Philip II Duke of Savoy, Charles II Duke of Savoy has successor Philip II Duke of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Philip I of Castile, Joanna of Castile has successor Philip I of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Joan II of Navarre, Philip III of Navarre has successor Joan II of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Joan II of Navarre, Charles IV of France has successor Joan II of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
John V Duke of Brittany, John IV Duke of Brittany has successor John V Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Mary Queen of Scots has father James V of Scotland, James V of Scotland has successor Mary Queen of Scots. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Yaropolk I of Kiev, Vladimir the Great has successor Yaropolk I of Kiev. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles IV Holy Roman Emperor, Louis IV Holy Roman Emperor has successor Charles IV Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles IV Holy Roman Emperor, John of Bohemia has successor Charles IV Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis X of France, Philip IV of France has successor Louis X of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis X of France, Joan I of Navarre has successor Louis X of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
George I of Great Britain has father Ernest Augustus Elector of Hanover, Ernest Augustus Elector of Hanover has successor George I of Great Britain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
George I of Great Britain, Anne Queen of Great Britain has successor George I of Great Britain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Ramon Berenguer IV Count of Provence has father Alfonso II Count of Provence, Alfonso II Count of Provence has successor Ramon Berenguer IV Count of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Oleg of Novgorod, Rurik has successor Oleg of Novgorod. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Valdemar I of Denmark, Sweyn III of Denmark has successor Valdemar I of Denmark. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Hugh V Duke of Burgundy, Robert II Duke of Burgundy has successor Hugh V Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles II of Navarre, Joan II of Navarre has successor Charles II of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Prince Philippe Duke of Orl ans 1869 1926, Prince Philippe Count of Paris has successor Prince Philippe Duke of Orl ans 1869 1926. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles III Duke of Lorraine has father Francis I Duke of Lorraine, Francis I Duke of Lorraine has successor Charles III Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Maria Theresa, Charles VII Holy Roman Emperor has successor Maria Theresa. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Adolphus Frederick II Duke of Mecklenburg Strelitz, Frederick William Duke of Mecklenburg Schwerin has successor Adolphus Frederick II Duke of Mecklenburg Strelitz. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charlemagne, Desiderius has successor Charlemagne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles the Bald, Louis II of Italy has successor Charles the Bald. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Girolamo Savonarola, Piero the Unfortunate has successor Girolamo Savonarola. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Wilfred the Hairy, Bernard of Gothia has successor Wilfred the Hairy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Henry II Duke of Lorraine, Charles III Duke of Lorraine has successor Henry II Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Piero the Unfortunate has father Lorenzo de Medici, Lorenzo de Medici has successor Piero the Unfortunate. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Henry VI of England has father Henry V of England, Henry V of England has successor Henry VI of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Henry VI of England, Edward IV of England has successor Henry VI of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Joan III Countess of Burgundy, Joan II Countess of Burgundy has successor Joan III Countess of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Henry III of Castile, John I of Castile has successor Henry III of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Princess Marie Isabelle of Orl ans, Maria Amalia of Naples and Sicily has successor Princess Marie Isabelle of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Leopold II Holy Roman Emperor, Joseph II Holy Roman Emperor has successor Leopold II Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Leopold II Holy Roman Emperor has father Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has successor Leopold II Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Odo III Duke of Burgundy has father Hugh III Duke of Burgundy, Hugh III Duke of Burgundy has successor Odo III Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Bernhard Count of Anhalt, Henry the Lion has successor Bernhard Count of Anhalt. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles VIII of France, Louis XI has successor Charles VIII of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Francesco I Sforza, Golden Ambrosian Republic has successor Francesco I Sforza. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Edward III of England has father Edward II of England, Edward II of England has successor Edward III of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Henry IV of England has father John of Gaunt, John of Gaunt has successor Henry IV of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Henry IV of England, Richard II of England has successor Henry IV of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Napoleon II has father Napoleon, Napoleon has successor Napoleon II. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Manuel I of Portugal, John II of Portugal has successor Manuel I of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Joseph II Holy Roman Emperor, Francis I Holy Roman Emperor has successor Joseph II Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Joseph II Holy Roman Emperor, Maria Theresa has successor Joseph II Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis XVI, Louis XV has successor Louis XVI. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
John IV Duke of Brittany, John of Montfort has successor John IV Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
James I of Scotland has father Robert III of Scotland, Robert III of Scotland has successor James I of Scotland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Ferdinand Philippe Duke of Orl ans, Louis Philippe I has successor Ferdinand Philippe Duke of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
John I of France has father Louis X of France, Louis X of France has successor John I of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Napoleon III, Louis Philippe I has successor Napoleon III. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Napol on Louis Bonaparte, Louis Bonaparte has successor Napol on Louis Bonaparte. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis XIV has father Louis XIII, Louis XIII has successor Louis XIV. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Pope Clement VII, Lorenzo de Medici Duke of Urbino has successor Pope Clement VII. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Ferdinando I de Medici Grand Duke of Tuscany, Francesco I de Medici Grand Duke of Tuscany has successor Ferdinando I de Medici Grand Duke of Tuscany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Henri Count of Chambord, Louis Antoine Duke of Angoul me has successor Henri Count of Chambord. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Henri Count of Chambord, Charles X has successor Henri Count of Chambord. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Dirk III Count of Holland, Arnulf Count of Holland has successor Dirk III Count of Holland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Robert II Count of Dreux has father Robert I Count of Dreux, Robert I Count of Dreux has successor Robert II Count of Dreux. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Robert II Count of Dreux, Agnes de Baudemont has successor Robert II Count of Dreux. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Dirk IV Count of Holland, Dirk III Count of Holland has successor Dirk IV Count of Holland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Odo I Duke of Burgundy, Hugh I Duke of Burgundy has successor Odo I Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Gerberga of M con, Willa of Tuscany has successor Gerberga of M con. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Robert II Duke of Burgundy has father Hugh IV Duke of Burgundy, Hugh IV Duke of Burgundy has successor Robert II Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Arnulf Count of Holland has father Dirk II Count of Holland, Dirk II Count of Holland has successor Arnulf Count of Holland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
John II Duke of Lorraine, Isabella Duchess of Lorraine has successor John II Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Philip III of Spain, Philip II of Spain has successor Philip III of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Hugh Capet, Louis V of France has successor Hugh Capet. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Jacques Charles Dupont de l Eure, Louis Philippe I has successor Jacques Charles Dupont de l Eure. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Berengar I of Italy, Charles the Fat has successor Berengar I of Italy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Henry I of France has father Robert II of France, Robert II of France has successor Henry I of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Henry I of France, Hugh Magnus has successor Henry I of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
John the Fearless has father Philip the Bold, Philip the Bold has successor John the Fearless. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
James VI and I, Mary Queen of Scots has successor James VI and I. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Otto I Holy Roman Emperor, Berengar II of Italy has successor Otto I Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Simon I Duke of Lorraine has father Theodoric II Duke of Lorraine, Theodoric II Duke of Lorraine has successor Simon I Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Victor Amadeus III of Sardinia has father Charles Emmanuel III of Sardinia, Charles Emmanuel III of Sardinia has successor Victor Amadeus III of Sardinia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Charles Emmanuel II Duke of Savoy, Francis Hyacinth Duke of Savoy has successor Charles Emmanuel II Duke of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Antoine Duke of Lorraine, Ren  II Duke of Lorraine has successor Antoine Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Henry I of Navarre, Theobald II of Navarre has successor Henry I of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles IV of Anjou, Ren  of Anjou has successor Charles IV of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Raymond of Burgundy, Nuno Mendes count has successor Raymond of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Carloman of Bavaria, Louis the German has successor Carloman of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Joan Countess of Ponthieu, Marie Countess of Ponthieu has successor Joan Countess of Ponthieu. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Joan Countess of Ponthieu, Simon Count of Ponthieu has successor Joan Countess of Ponthieu. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
French Revolution of 1848, Prince Philippe Count of Paris has successor French Revolution of 1848. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
French Revolution of 1848, Louis Philippe I has successor French Revolution of 1848. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Gian Galeazzo Sforza, Galeazzo Maria Sforza has successor Gian Galeazzo Sforza. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Piero di Cosimo de Medici has father Cosimo de Medici, Cosimo de Medici has successor Piero di Cosimo de Medici. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Henry VIII, Henry VII of England has successor Henry VIII. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
John VIII Count of Vend me has father Louis Count of Vend me, Louis Count of Vend me has successor John VIII Count of Vend me. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Louis III of France has father Louis the Stammerer, Louis the Stammerer has successor Louis III of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Ferdinand II of Le n has father Alfonso VII of Le n and Castile, Alfonso VII of Le n and Castile has successor Ferdinand II of Le n. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Charles VII Holy Roman Emperor, Maria Theresa has successor Charles VII Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles IV of Spain, Charles III of Spain has successor Charles IV of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Prince Philippe Count of Paris, Henri Count of Chambord has successor Prince Philippe Count of Paris. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Simon I de Montfort has father Amaury I de Montfort, Amaury I de Montfort has successor Simon I de Montfort. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Yolanda Latin Empress, Peter II of Courtenay has successor Yolanda Latin Empress. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Philip III of France has father Louis IX of France, Louis IX of France has successor Philip III of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Henry I of Castile, Alfonso VIII of Castile has successor Henry I of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis the German has father Louis the Pious, Louis the Pious has successor Louis the German. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Robert II of Scotland, David II of Scotland has successor Robert II of Scotland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis Duke of Orl ans 1703 1752 has father Philippe II Duke of Orl ans, Philippe II Duke of Orl ans has successor Louis Duke of Orl ans 1703 1752. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Louis Duke of Orl ans 1703 1752, Henri Jules Prince of Cond  has successor Louis Duke of Orl ans 1703 1752. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Geoffrey Plantagenet Count of Anjou has father Fulk King of Jerusalem, Fulk King of Jerusalem has successor Geoffrey Plantagenet Count of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Geoffrey Plantagenet Count of Anjou, Stephen King of England has successor Geoffrey Plantagenet Count of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Francis I of the Two Sicilies, Ferdinand I of the Two Sicilies has successor Francis I of the Two Sicilies. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Odo IV Duke of Burgundy, Hugh V Duke of Burgundy has successor Odo IV Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Francis III Duke of Brittany, Claude of France has successor Francis III Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles V of France has father John II of France, John II of France has successor Charles V of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Beatrice of Provence, Ramon Berenguer IV Count of Provence has successor Beatrice of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
