Rule 26:
If father ?a, then child ?b.
Welf father of Judith, Hemma has father Welf father of Judith. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Lambert I Count of Louvain, Lambert II Count of Louvain has father Lambert I Count of Louvain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Reginar III Count of Hainaut, Lambert I Count of Louvain has father Reginar III Count of Hainaut. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Albert II Duke of Austria, Leopold III Duke of Austria has father Albert II Duke of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Brun I Count of Brunswick, Liudolf Margrave of Frisia has father Brun I Count of Brunswick. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Piero di Cosimo de Medici, Lorenzo de Medici has father Piero di Cosimo de Medici. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Piero the Unfortunate, Lorenzo de Medici Duke of Urbino has father Piero the Unfortunate. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Charles X has child Louis Antoine Duke of Angoul me, Louis Antoine Duke of Angoul me has father Charles X. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Charles X has child Charles Ferdinand Duke of Berry, Charles Ferdinand Duke of Berry has father Charles X. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
John I Count of La Marche, Louis Count of Vend me has father John I Count of La Marche. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John I Count of La Marche, Charlotte of Bourbon Queen of Cyprus has father John I Count of La Marche. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Otto II Duke of Bavaria, Louis II Duke of Bavaria has father Otto II Duke of Bavaria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Otto I Duke of Bavaria, Louis I Duke of Bavaria has father Otto I Duke of Bavaria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis Philippe II Duke of Orl ans has child Louis Philippe I, Louis Philippe I has father Louis Philippe II Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Lothair of France, Louis V of France has father Lothair of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis XVI, Louis XVII has father Louis XVI. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis XVI has child Marie Th r se of France, Marie Th r se of France has father Louis XVI. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis Dauphin of France son of Louis XV has child Louis XVIII, Louis XVIII has father Louis Dauphin of France son of Louis XV. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis Dauphin of France son of Louis XV has child Charles X, Charles X has father Louis Dauphin of France son of Louis XV. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis Dauphin of France son of Louis XV has child Louis XVI, Louis XVI has father Louis Dauphin of France son of Louis XV. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Nicolas Duke of Merc ur, Louise of Lorraine has father Nicolas Duke of Merc ur. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Herbert II Count of Vermandois, Luitgarde of Vermandois has father Herbert II Count of Vermandois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John III Count of Auvergne, Madeleine de La Tour d Auvergne has father John III Count of Auvergne. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Albert Frederick Duke of Prussia, Magdalene Sibylle of Prussia has father Albert Frederick Duke of Prussia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Magnus I Duke of Brunswic L neburg, Magnus II Duke of Brunswic L neburg has father Magnus I Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Albert II Duke of Brunswic L neburg, Magnus I Duke of Brunswic L neburg has father Albert II Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Robert II Count of Artois, Mahaut Countess of Artois has father Robert II Count of Artois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Guy IV Count of Saint Pol, Mahaut of Ch tillon has father Guy IV Count of Saint Pol. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Thomas Holland 2nd Earl of Kent, Margaret Holland Duchess of Clarence has father Thomas Holland 2nd Earl of Kent. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Thierry Count of Flanders, Margaret I Countess of Flanders has father Thierry Count of Flanders. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
James I of Scotland has child Margaret Stewart Dauphine of France, Margaret Stewart Dauphine of France has father James I of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
James I of Scotland has child James II of Scotland, James II of Scotland has father James I of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Philip of Artois, Margaret of Artois has father Philip of Artois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Francis of Baux, Margaret of Baux has father Francis of Baux. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Guy Count of Flanders, Margaret of Flanders Duchess of Brabant has father Guy Count of Flanders. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
William I of Geneva, Margaret of Geneva has father William I of Geneva. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Philip Duke of Parma, Maria Luisa of Parma has father Philip Duke of Parma. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor has child Maria of Austria Duchess of J lich Cleves Berg, Maria of Austria Duchess of J lich Cleves Berg has father Ferdinand I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Ferdinand I Holy Roman Emperor, Maximilian II Holy Roman Emperor has father Ferdinand I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Joanna of Austria Grand Duchess of Tuscany has father Ferdinand I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor has child Archduchess Anna of Austria, Archduchess Anna of Austria has father Ferdinand I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Philip of Swabia, Maria of Swabia has father Philip of Swabia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
William IV Count of Ponthieu, Marie Countess of Ponthieu has father William IV Count of Ponthieu. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Victor Amadeus III of Sardinia has child Marie Jos phine of Savoy, Marie Jos phine of Savoy has father Victor Amadeus III of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Victor Amadeus III of Sardinia has child Maria Theresa of Savoy, Maria Theresa of Savoy has father Victor Amadeus III of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Peter II Count of Saint Pol, Marie of Luxembourg Countess of Vend me has father Peter II Count of Saint Pol. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Henry VII Holy Roman Emperor has child Marie of Luxembourg Queen of France, Marie of Luxembourg Queen of France has father Henry VII Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Henry VII Holy Roman Emperor has child John of Bohemia, John of Bohemia has father Henry VII Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Humphrey de Bohun 7th Earl of Hereford, Mary de Bohun has father Humphrey de Bohun 7th Earl of Hereford. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Robert VII Lord of B thune, Matilda of B thune has father Robert VII Lord of B thune. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis IV Holy Roman Emperor has child Matilda of Bavaria Margravine of Meissen, Matilda of Bavaria Margravine of Meissen has father Louis IV Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis IV Holy Roman Emperor, Stephen II Duke of Bavaria has father Louis IV Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Engelbert Duke of Carinthia, Matilda of Carinthia has father Engelbert Duke of Carinthia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Liudolf Margrave of Frisia, Matilda of Frisia has father Liudolf Margrave of Frisia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Hermann Billung, Matilda of Saxony countess of Flanders has father Hermann Billung. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John Stewart 1st Earl of Lennox, Matthew Stewart 2nd Earl of Lennox has father John Stewart 1st Earl of Lennox. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John Stewart 3rd Earl of Lennox, Matthew Stewart 4th Earl of Lennox has father John Stewart 3rd Earl of Lennox. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Patrick de Chaworth Lord of Kidwelly, Maud Chaworth has father Patrick de Chaworth Lord of Kidwelly. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Napoleon has child Napoleon II, Napoleon II has father Napoleon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Walter I Lord of Avesnes, Nicholas d Oisy Lord of Avesnes has father Walter I Lord of Avesnes. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Oberto I, Oberto II Margrave of Milan has father Oberto I. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Odo I Count of Blois, Odo II Count of Blois has father Odo I Count of Blois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Theobald I Count of Blois, Odo I Count of Blois has father Theobald I Count of Blois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Robert the Strong, Odo of France has father Robert the Strong. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Robert the Strong, Robert I of France has father Robert the Strong. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Werner I Count of Klettgau, Otto II Count of Habsburg has father Werner I Count of Klettgau. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis I Duke of Bavaria, Otto II Duke of Bavaria has father Louis I Duke of Bavaria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Hugh Count of Burgundy, Otto IV Count of Burgundy has father Hugh Count of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Eckhard I Count of Scheyern, Otto IV Count of Scheyern has father Eckhard I Count of Scheyern. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Otto IV Count of Scheyern, Otto I Duke of Bavaria has father Otto IV Count of Scheyern. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
William of Winchester Lord of Lunenburg, Otto I Duke of Brunswic L neburg has father William of Winchester Lord of Lunenburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Liudolf Duke of Saxony, Otto I Duke of Saxony has father Liudolf Duke of Saxony. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Frederick II Duke of Brunswic L neburg, Otto V Duke of Brunswic L neburg has father Frederick II Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Adalbert of Italy, Otto William Count of Burgundy has father Adalbert of Italy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Maredudd ap Tudur, Owen Tudor has father Maredudd ap Tudur. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis I Duke of Bourbon, Peter I Duke of Bourbon has father Louis I Duke of Bourbon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis I Duke of Bourbon has child James I Count of La Marche, James I Count of La Marche has father Louis I Duke of Bourbon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Robert of Courtenay Lord of Champignelles, Peter of Courtenay Lord of Conches has father Robert of Courtenay Lord of Champignelles. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Philip III of France has child Philip IV of France, Philip IV of France has father Philip III of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Philip III of France has child Louis Count of  vreux, Louis Count of  vreux has father Philip III of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Charles Count of Valois, Philip VI of France has father Charles Count of Valois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Charles Count of Valois has child Isabella of Valois Duchess of Bourbon, Isabella of Valois Duchess of Bourbon has father Charles Count of Valois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Charles Count of Valois, Joan of Valois Countess of Hainaut has father Charles Count of Valois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis Dauphin of France son of Louis XIV has child Philip V of Spain, Philip V of Spain has father Louis Dauphin of France son of Louis XIV. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis Dauphin of France son of Louis XIV has child Louis Duke of Burgundy, Louis Duke of Burgundy has father Louis Dauphin of France son of Louis XIV. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis VI of France has child Philip of France 1116 1131, Philip of France 1116 1131 has father Louis VI of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis VI of France has child Robert I Count of Dreux, Robert I Count of Dreux has father Louis VI of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis VI of France, Louis VII of France has father Louis VI of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John II of France, Philip the Bold has father John II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John II of France has child Marie of France Duchess of Bar, Marie of France Duchess of Bar has father John II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
John II of France has child Charles V of France, Charles V of France has father John II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
John II of France, Louis I of Anjou has father John II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John the Fearless has child Philip the Good, Philip the Good has father John the Fearless. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
John the Fearless, Mary of Burgundy Duchess of Cleves has father John the Fearless. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
William I Count of Hainaut, Philippa of Hainault has father William I Count of Hainaut. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Lorenzo the Elder, Pierfrancesco the Elder has father Lorenzo the Elder. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Cosimo de Medici, Piero di Cosimo de Medici has father Cosimo de Medici. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Lorenzo de Medici, Piero the Unfortunate has father Lorenzo de Medici. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ramon Berenguer II Count of Barcelona, Ramon Berenguer III Count of Barcelona has father Ramon Berenguer II Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ramon Berenguer I Count of Barcelona, Ramon Berenguer II Count of Barcelona has father Ramon Berenguer I Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Berenguer Ramon I Count of Barcelona, Ramon Berenguer I Count of Barcelona has father Berenguer Ramon I Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Borrell II Count of Barcelona, Ramon Borrell Count of Barcelona has father Borrell II Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Otto William Count of Burgundy, Reginald I Count of Burgundy has father Otto William Count of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Reginar II Count of Hainaut, Reginar III Count of Hainaut has father Reginar II Count of Hainaut. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Reginar Longneck, Reginar II Count of Hainaut has father Reginar Longneck. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Bivin of Gorze, Richard Duke of Burgundy has father Bivin of Gorze. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Robert II Count of Hesbaye, Robert III of Worms has father Robert II Count of Hesbaye. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Robert III of Worms, Robert the Strong has father Robert III of Worms. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Albert III Count of Habsburg, Rudolf II Count of Habsburg has father Albert III Count of Habsburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Richard Duke of Burgundy, Rudolph of France has father Richard Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Amaury I de Montfort, Simon I de Montfort has father Amaury I de Montfort. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Augustus Duke of Saxe Weissenfels, Sophia of Saxe Weissenfels Princess of Anhalt Zerbst has father Augustus Duke of Saxe Weissenfels. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Theobald III Count of Blois, Stephen Count of Blois has father Theobald III Count of Blois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Stephen II Duke of Bavaria has child Stephen III Duke of Bavaria, Stephen III Duke of Bavaria has father Stephen II Duke of Bavaria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Stephen II of Auxonne, Stephen III of Auxonne has father Stephen II of Auxonne. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
William III of M con, Stephen II of Auxonne has father William III of M con. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Wilfred the Hairy, Sunyer Count of Barcelona has father Wilfred the Hairy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Odo II Count of Blois, Theobald III Count of Blois has father Odo II Count of Blois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Henry I Count of Champagne, Theobald III Count of Champagne has father Henry I Count of Champagne. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Stephen Count of Blois, Theobald II Count of Champagne has father Stephen Count of Blois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Theobald the Elder, Theobald I Count of Blois has father Theobald the Elder. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
James Stewart 5th High Steward of Scotland, Walter Stewart 6th High Steward of Scotland has father James Stewart 5th High Steward of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Albert Azzo II Margrave of Milan, Welf I Duke of Bavaria has father Albert Azzo II Margrave of Milan. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Otto II Count of Habsburg, Werner II Count of Habsburg has father Otto II Count of Habsburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Radbot of Klettgau, Werner I Count of Klettgau has father Radbot of Klettgau. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Sunifred Count of Barcelona, Wilfred the Hairy has father Sunifred Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ebalus Duke of Aquitaine, William III Duke of Aquitaine has father Ebalus Duke of Aquitaine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Stephen I Count of Burgundy, William III of M con has father Stephen I Count of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
William III Duke of Aquitaine, William IV Duke of Aquitaine has father William III Duke of Aquitaine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
William III Duke of Aquitaine, Adelaide of Aquitaine has father William III Duke of Aquitaine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
William VIII Duke of Aquitaine, William IX Duke of Aquitaine has father William VIII Duke of Aquitaine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Reginald I Count of Burgundy, William I Count of Burgundy has father Reginald I Count of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John II Count of Holland, William I Count of Hainaut has father John II Count of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
William V Duke of Aquitaine, William VIII Duke of Aquitaine has father William V Duke of Aquitaine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
William IV Duke of Aquitaine, William V Duke of Aquitaine has father William IV Duke of Aquitaine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Henry the Lion has child William of Winchester Lord of Lunenburg, William of Winchester Lord of Lunenburg has father Henry the Lion. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Robert III Count of Dreux, Yolande of Dreux Duchess of Burgundy has father Robert III Count of Dreux. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Henry the Fowler has child Gerberga of Saxony, Gerberga of Saxony has father Henry the Fowler. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Henry the Fowler has child Hedwig of Saxony, Hedwig of Saxony has father Henry the Fowler. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Boso II of Italy, Boso the Elder has father Boso II of Italy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Francis II Duke of Brittany has child Anne of Brittany, Anne of Brittany has father Francis II Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis Rudolph Duke of Brunswic L neburg, Elisabeth Christine of Brunswic Wolfenb ttel has father Louis Rudolph Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Philip III of Navarre has child Blanche of Navarre Queen of France, Blanche of Navarre Queen of France has father Philip III of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Alfonso VIII of Castile has child Blanche of Castile, Blanche of Castile has father Alfonso VIII of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Theobald of Arles, Hugh of Italy has father Theobald of Arles. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Maximilian I Holy Roman Emperor has child Philip I of Castile, Philip I of Castile has father Maximilian I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Alfonso XI of Castile has child Henry II of Castile, Henry II of Castile has father Alfonso XI of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Francis I of France has child Henry II of France, Henry II of France has father Francis I of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Edward III of England, John of Gaunt has father Edward III of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Arthur II Duke of Brittany, John of Montfort has father Arthur II Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Theodoric II Duke of Lorraine has child Simon I Duke of Lorraine, Simon I Duke of Lorraine has father Theodoric II Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Francis I Holy Roman Emperor has child Marie Antoinette, Marie Antoinette has father Francis I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Francis I Holy Roman Emperor has child Maria Carolina of Austria, Maria Carolina of Austria has father Francis I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Francis I Holy Roman Emperor has child Ferdinand Karl Archduke of Austria Este, Ferdinand Karl Archduke of Austria Este has father Francis I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Francis I Holy Roman Emperor has child Leopold II Holy Roman Emperor, Leopold II Holy Roman Emperor has father Francis I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
