Rule 4:
If predecessor ?a, then successor ?b.
Dirk IV Count of Holland has successor Floris I Count of Holland, Floris I Count of Holland has predecessor Dirk IV Count of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Hugh Magnus has successor Henry I of France, Henry I of France has predecessor Hugh Magnus. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Joanna II of Naples has successor Ren  of Anjou, Ren  of Anjou has predecessor Joanna II of Naples. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Ernest I Duke of Brunswic L neburg has successor William the Younger Duke of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has predecessor Ernest I Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Philip VI of France has successor John II of France, John II of France has predecessor Philip VI of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Yaropolk I of Kiev has successor Vladimir the Great, Vladimir the Great has predecessor Yaropolk I of Kiev. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
John of Montfort has successor John IV Duke of Brittany, John IV Duke of Brittany has predecessor John of Montfort. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charles V Holy Roman Emperor, Ferdinand I Holy Roman Emperor has predecessor Charles V Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Charles V Holy Roman Emperor has successor Philip II of Spain, Philip II of Spain has predecessor Charles V Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Isabella Duchess of Lorraine has successor John II Duke of Lorraine, John II Duke of Lorraine has predecessor Isabella Duchess of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Gerolf of Holland, Dirk I Count of Holland has predecessor Gerolf of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Beorhtric of Wessex has successor Ecgberht King of Wessex, Ecgberht King of Wessex has predecessor Beorhtric of Wessex. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Henri Count of Chambord has successor Prince Philippe Count of Paris, Prince Philippe Count of Paris has predecessor Henri Count of Chambord. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Henri Count of Chambord has successor Louis Philippe I, Louis Philippe I has predecessor Henri Count of Chambord. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Philip V of France has successor Charles IV of France, Charles IV of France has predecessor Philip V of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Peter I Duke of Brittany has successor John I Duke of Brittany, John I Duke of Brittany has predecessor Peter I Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
John II Duke of Brittany has successor Arthur II Duke of Brittany, Arthur II Duke of Brittany has predecessor John II Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis VI of France has successor Louis VII of France, Louis VII of France has predecessor Louis VI of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis XVI, Louis XVII has predecessor Louis XVI. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Alfred the Great has successor Edward the Elder, Edward the Elder has predecessor Alfred the Great. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Joanna of Castile has successor Philip I of Castile, Philip I of Castile has predecessor Joanna of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Joanna of Castile has successor Charles V Holy Roman Emperor, Charles V Holy Roman Emperor has predecessor Joanna of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis X of France has successor John I of France, John I of France has predecessor Louis X of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Simon II Duke of Lorraine has successor Frederick I Duke of Lorraine, Frederick I Duke of Lorraine has predecessor Simon II Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Antonio Farnese Duke of Parma has successor Charles III of Spain, Charles III of Spain has predecessor Antonio Farnese Duke of Parma. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Jeanne d Albret has successor Henry IV of France, Henry IV of France has predecessor Jeanne d Albret. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Rudolf IV Duke of Austria, Leopold III Duke of Austria has predecessor Rudolf IV Duke of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Louis IV of France, Lothair of France has predecessor Louis IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Emmanuel Philibert Duke of Savoy has successor Charles Emmanuel I Duke of Savoy, Charles Emmanuel I Duke of Savoy has predecessor Emmanuel Philibert Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Robert II of France has successor Henry I of France, Henry I of France has predecessor Robert II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Floris I Count of Holland has successor Dirk V Count of Holland, Dirk V Count of Holland has predecessor Floris I Count of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Joseph II Holy Roman Emperor has successor Leopold II Holy Roman Emperor, Leopold II Holy Roman Emperor has predecessor Joseph II Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis Philippe II Duke of Orl ans has successor Louis Philippe I, Louis Philippe I has predecessor Louis Philippe II Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Sancho VII of Navarre, Theobald I of Navarre has predecessor Sancho VII of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Henry of Bohemia has successor John of Bohemia, John of Bohemia has predecessor Henry of Bohemia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Henry of Bohemia has successor Albert II Duke of Austria, Albert II Duke of Austria has predecessor Henry of Bohemia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charles III Duke of Lorraine has successor Henry II Duke of Lorraine, Henry II Duke of Lorraine has predecessor Charles III Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Philip IV of Spain has successor John IV of Portugal, John IV of Portugal has predecessor Philip IV of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Philip IV of Spain has successor Charles II of Spain, Charles II of Spain has predecessor Philip IV of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis XII has successor Maximilian Sforza, Maximilian Sforza has predecessor Louis XII. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis XII has successor Ferdinand II of Aragon, Ferdinand II of Aragon has predecessor Louis XII. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Peter II of Aragon, James I of Aragon has predecessor Peter II of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Conrad I of Burgundy has successor Rudolph III of Burgundy, Rudolph III of Burgundy has predecessor Conrad I of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Blanche I of Navarre has successor John II of Aragon, John II of Aragon has predecessor Blanche I of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Hugh IV Duke of Burgundy has successor Robert II Duke of Burgundy, Robert II Duke of Burgundy has predecessor Hugh IV Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Sigismund II Augustus, Henry III of France has predecessor Sigismund II Augustus. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Charles Martel, Carloman mayor of the palace has predecessor Charles Martel. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Charles Martel has successor Pepin the Short, Pepin the Short has predecessor Charles Martel. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charles III Duke of Savoy, Emmanuel Philibert Duke of Savoy has predecessor Charles III Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Anne Queen of Great Britain has successor George I of Great Britain, George I of Great Britain has predecessor Anne Queen of Great Britain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Henry VI of England, Edward IV of England has predecessor Henry VI of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Henry VI of England, Charles VII of France has predecessor Henry VI of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Eleanor of Castile, Edward II of England has predecessor Eleanor of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Wulfoald has successor Pepin of Herstal, Pepin of Herstal has predecessor Wulfoald. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Albert I of Germany, Henry VII Holy Roman Emperor has predecessor Albert I of Germany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Margaret Countess of Anjou has successor Philip VI of France, Philip VI of France has predecessor Margaret Countess of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Rudolph II of Burgundy has successor Hugh of Italy, Hugh of Italy has predecessor Rudolph II of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Rudolph II of Burgundy, Conrad I of Burgundy has predecessor Rudolph II of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Alderano I Cybo Malaspina has successor Maria Teresa Cybo Malaspina Duchess of Massa, Maria Teresa Cybo Malaspina Duchess of Massa has predecessor Alderano I Cybo Malaspina. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Afonso V of Portugal, John II of Portugal has predecessor Afonso V of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
John II of France has successor Charles V of France, Charles V of France has predecessor John II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Lorenzo de Medici has successor Piero the Unfortunate, Piero the Unfortunate has predecessor Lorenzo de Medici. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Frederick II Duke of Lorraine has successor Theobald I Duke of Lorraine, Theobald I Duke of Lorraine has predecessor Frederick II Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
James V of Scotland has successor Mary Queen of Scots, Mary Queen of Scots has predecessor James V of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Richard I of England has successor John King of England, John King of England has predecessor Richard I of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Francesco I de Medici Grand Duke of Tuscany has successor Ferdinando I de Medici Grand Duke of Tuscany, Ferdinando I de Medici Grand Duke of Tuscany has predecessor Francesco I de Medici Grand Duke of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Francis I of France, Henry II of France has predecessor Francis I of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Theudoald has successor Charles Martel, Charles Martel has predecessor Theudoald. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Frederick of Naples has successor Louis XII, Louis XII has predecessor Frederick of Naples. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis V of France has successor Hugh Capet, Hugh Capet has predecessor Louis V of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Lorenzo de Medici Duke of Urbino has successor Pope Clement VII, Pope Clement VII has predecessor Lorenzo de Medici Duke of Urbino. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charles Emmanuel III of Sardinia has successor Victor Amadeus III of Sardinia, Victor Amadeus III of Sardinia has predecessor Charles Emmanuel III of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Maria Amalia of Naples and Sicily has successor Princess Marie Isabelle of Orl ans, Princess Marie Isabelle of Orl ans has predecessor Maria Amalia of Naples and Sicily. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Philibert II Duke of Savoy has successor Charles III Duke of Savoy, Charles III Duke of Savoy has predecessor Philibert II Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Joan Countess of Ponthieu has successor Eleanor of Castile, Eleanor of Castile has predecessor Joan Countess of Ponthieu. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Joan Countess of Ponthieu has successor John I Count of Aumale, John I Count of Aumale has predecessor Joan Countess of Ponthieu. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Gaston Duke of Orl ans has successor Philippe I Duke of Orl ans, Philippe I Duke of Orl ans has predecessor Gaston Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Gian Gastone de Medici Grand Duke of Tuscany has successor Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has predecessor Gian Gastone de Medici Grand Duke of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charlemagne has successor Louis the Pious, Louis the Pious has predecessor Charlemagne. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis IX of France has successor Philip III of France, Philip III of France has predecessor Louis IX of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Peter II Count of Savoy has successor John I Duke of Brittany, John I Duke of Brittany has predecessor Peter II Count of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Petronilla of Aragon has successor Alfonso II of Aragon, Alfonso II of Aragon has predecessor Petronilla of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
James IV of Scotland has successor James V of Scotland, James V of Scotland has predecessor James IV of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Theodoric II Duke of Lorraine has successor Simon I Duke of Lorraine, Simon I Duke of Lorraine has predecessor Theodoric II Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Denis of Portugal, Afonso IV of Portugal has predecessor Denis of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Arthur III Duke of Brittany has successor Francis II Duke of Brittany, Francis II Duke of Brittany has predecessor Arthur III Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Sancho III of Castile has successor Alfonso VIII of Castile, Alfonso VIII of Castile has predecessor Sancho III of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Carloman of Bavaria has successor Charles the Fat, Charles the Fat has predecessor Carloman of Bavaria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Philip III of France, Philip IV of France has predecessor Philip III of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Nuno Mendes count has successor Raymond of Burgundy, Raymond of Burgundy has predecessor Nuno Mendes count. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Robert III of Scotland has successor James I of Scotland, James I of Scotland has predecessor Robert III of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Philip V of Spain, Victor Amadeus II of Sardinia has predecessor Philip V of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Philip V of Spain has successor Ferdinand VI of Spain, Ferdinand VI of Spain has predecessor Philip V of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Philip V of Spain has successor Louis I of Spain, Louis I of Spain has predecessor Philip V of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charles III of Spain has successor Charles IV of Spain, Charles IV of Spain has predecessor Charles III of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charles III of Spain, Charles VI Holy Roman Emperor has predecessor Charles III of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Francis Hyacinth Duke of Savoy has successor Charles Emmanuel II Duke of Savoy, Charles Emmanuel II Duke of Savoy has predecessor Francis Hyacinth Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Albert II Duke of Austria, Rudolf IV Duke of Austria has predecessor Albert II Duke of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Amadeus VIII Duke of Savoy has successor Louis Duke of Savoy, Louis Duke of Savoy has predecessor Amadeus VIII Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Ren  of Anjou has successor Charles IV of Anjou, Charles IV of Anjou has predecessor Ren  of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charles II of Spain has successor Philip V of Spain, Philip V of Spain has predecessor Charles II of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Henry V of England has successor Henry VI of England, Henry VI of England has predecessor Henry V of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
John IV Duke of Brittany has successor John V Duke of Brittany, John V Duke of Brittany has predecessor John IV Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis II of Italy has successor Charles the Bald, Charles the Bald has predecessor Louis II of Italy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charles VII Holy Roman Emperor has successor Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has predecessor Charles VII Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charles VII Holy Roman Emperor has successor Maria Theresa, Maria Theresa has predecessor Charles VII Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Henry III of England, Edward I of England has predecessor Henry III of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Amadeus II Count of Savoy has successor Humbert II Count of Savoy, Humbert II Count of Savoy has predecessor Amadeus II Count of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Alfonso II of Aragon, Peter II of Aragon has predecessor Alfonso II of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Joan I of Navarre has successor Louis X of France, Louis X of France has predecessor Joan I of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Giuliano de Medici Duke of Nemours, Lorenzo de Medici Duke of Urbino has predecessor Giuliano de Medici Duke of Nemours. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Rudolf I Duke of Bavaria has successor Louis IV Holy Roman Emperor, Louis IV Holy Roman Emperor has predecessor Rudolf I Duke of Bavaria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Sancho I of Portugal has successor Afonso II of Portugal, Afonso II of Portugal has predecessor Sancho I of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
John Stewart of Darnley has successor John Stewart 3rd Lord of Aubigny, John Stewart 3rd Lord of Aubigny has predecessor John Stewart of Darnley. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Odo II Duke of Burgundy has successor Hugh III Duke of Burgundy, Hugh III Duke of Burgundy has predecessor Odo II Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Philip the Bold has successor John the Fearless, John the Fearless has predecessor Philip the Bold. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charles IX of France has successor Henry III of France, Henry III of France has predecessor Charles IX of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Alessandro de Medici Duke of Florence has successor Cosimo I de Medici Grand Duke of Tuscany, Cosimo I de Medici Grand Duke of Tuscany has predecessor Alessandro de Medici Duke of Florence. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Stephen King of England has successor Geoffrey Plantagenet Count of Anjou, Geoffrey Plantagenet Count of Anjou has predecessor Stephen King of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Antoine Philippe Duke of Montpensier, Antoine Duke of Montpensier has predecessor Antoine Philippe Duke of Montpensier. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Edward King of Portugal has successor Afonso V of Portugal, Afonso V of Portugal has predecessor Edward King of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Childeric III has successor Pepin the Short, Pepin the Short has predecessor Childeric III. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charles II Duke of Savoy has successor Philip II Duke of Savoy, Philip II Duke of Savoy has predecessor Charles II Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Robert I Duke of Burgundy has successor Hugh I Duke of Burgundy, Hugh I Duke of Burgundy has predecessor Robert I Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
William XII Count of Auvergne has successor Joan I Countess of Auvergne, Joan I Countess of Auvergne has predecessor William XII Count of Auvergne. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Adolphus Frederick II Duke of Mecklenburg Strelitz has successor Adolphus Frederick III Duke of Mecklenburg Strelitz, Adolphus Frederick III Duke of Mecklenburg Strelitz has predecessor Adolphus Frederick II Duke of Mecklenburg Strelitz. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Theobald I Duke of Lorraine has successor Matthias II Duke of Lorraine, Matthias II Duke of Lorraine has predecessor Theobald I Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Carloman mayor of the palace has successor Pepin the Short, Pepin the Short has predecessor Carloman mayor of the palace. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Piero di Cosimo de Medici, Lorenzo de Medici has predecessor Piero di Cosimo de Medici. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Ferdinand III of Castile, Alfonso X of Castile has predecessor Ferdinand III of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
David II of Scotland has successor Robert II of Scotland, Robert II of Scotland has predecessor David II of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Judith of Bavaria died 843, Hemma has predecessor Judith of Bavaria died 843. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Adelaide of Italy has successor Willa of Tuscany, Willa of Tuscany has predecessor Adelaide of Italy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Olga of Kiev has successor Sviatoslav I, Sviatoslav I has predecessor Olga of Kiev. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Baldred of Kent has successor Ecgberht King of Wessex, Ecgberht King of Wessex has predecessor Baldred of Kent. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Igor of Kiev has successor Olga of Kiev, Olga of Kiev has predecessor Igor of Kiev. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
George III, George IV has predecessor George III. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Hugh III Duke of Burgundy has successor Odo III Duke of Burgundy, Odo III Duke of Burgundy has predecessor Hugh III Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Alfonso V of Aragon, John II of Aragon has predecessor Alfonso V of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Matthias I Duke of Lorraine, Simon II Duke of Lorraine has predecessor Matthias I Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Theresa Countess of Portugal has successor Afonso I of Portugal, Afonso I of Portugal has predecessor Theresa Countess of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Frederick the Fair has successor Albert II Duke of Austria, Albert II Duke of Austria has predecessor Frederick the Fair. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Walter Stewart 3rd High Steward of Scotland, Alexander Stewart 4th High Steward of Scotland has predecessor Walter Stewart 3rd High Steward of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Geoffrey Plantagenet Count of Anjou has successor Henry II of England, Henry II of England has predecessor Geoffrey Plantagenet Count of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
