Rule 9:
If parent ?b, then predecessor ?b.
Yolanda of Courtenay, Yolanda of Courtenay has parent Yolanda Latin Empress. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Eadgifu of Wessex, Eadgifu of Wessex has parent  lffl d wife of Edward the Elder. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Alfonso X of Castile, Alfonso X of Castile has parent Elisabeth of Swabia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Adelaide of Aquitaine, Adelaide of Aquitaine has parent William III Duke of Aquitaine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
William IV Duke of Aquitaine, William IV Duke of Aquitaine has parent William III Duke of Aquitaine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Elisabeth of Nuremberg, Elisabeth of Nuremberg has parent Frederick V Burgrave of Nuremberg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Princess Marie Isabelle of Orl ans, Princess Marie Isabelle of Orl ans has parent Infanta Luisa Fernanda Duchess of Montpensier. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Yolanda Latin Empress, Yolanda Latin Empress has parent Margaret I Countess of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Isabella of Hainault, Isabella of Hainault has parent Margaret I Countess of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Rudolph I of Burgundy, Rudolph I of Burgundy has parent Waldrada of Worms. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Adelaide of Auxerre born c. 870, Adelaide of Auxerre born c. 870 has parent Waldrada of Worms. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Artois, Margaret of Artois has parent Blanche of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Robert II Duke of Burgundy has predecessor Hugh IV Duke of Burgundy, Robert II Duke of Burgundy has parent Hugh IV Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Adelaide of Burgundy Duchess of Brabant, Adelaide of Burgundy Duchess of Brabant has parent Hugh IV Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Richard Count of  tampes, Richard Count of  tampes has parent Joan of Navarre Queen of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles Emmanuel I Duke of Savoy has predecessor Emmanuel Philibert Duke of Savoy, Charles Emmanuel I Duke of Savoy has parent Emmanuel Philibert Duke of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Floris I Count of Holland, Floris I Count of Holland has parent Dirk III Count of Holland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Otto I Duke of Brunswic L neburg, Otto I Duke of Brunswic L neburg has parent Helena of Denmark. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Eleanor of Viseu, Eleanor of Viseu has parent Beatriz of Portugal Duchess of Viseu. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Joan II Countess of Burgundy has predecessor Mahaut Countess of Artois, Joan II Countess of Burgundy has parent Mahaut Countess of Artois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Blanche of Burgundy, Blanche of Burgundy has parent Mahaut Countess of Artois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ebalus Duke of Aquitaine, Ebalus Duke of Aquitaine has parent Ranulf II of Aquitaine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Catherine of Vend me, Catherine of Vend me has parent Joan of Ponthieu Dame of Epernon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Edward III of England has predecessor Edward II of England, Edward III of England has parent Edward II of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Galeazzo Maria Sforza has predecessor Francesco I Sforza, Galeazzo Maria Sforza has parent Francesco I Sforza. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Anne of Cyprus, Anne of Cyprus has parent Charlotte of Bourbon Queen of Cyprus. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ernest Augustus Elector of Hanover, Ernest Augustus Elector of Hanover has parent George Duke of Brunswic Calenberg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Anna of Holstei Gottorp, Anna of Holstei Gottorp has parent Adolf Duke of Holstei Gottorp. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles V Duke of Lorraine, Charles V Duke of Lorraine has parent Nicholas Francis Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Yaroslav the Wise, Yaroslav the Wise has parent Anna Porphyrogenita. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Mary de Bohun, Mary de Bohun has parent Joan Fitzalan Countess of Hereford. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philip V of Spain, Philip V of Spain has parent Maria Anna Victoria of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis Duke of Burgundy, Louis Duke of Burgundy has parent Maria Anna Victoria of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Lorenzo de Medici has predecessor Piero di Cosimo de Medici, Lorenzo de Medici has parent Piero di Cosimo de Medici. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Henry the Middle Duke of Brunswic L neburg, Henry the Middle Duke of Brunswic L neburg has parent Otto V Duke of Brunswic L neburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles Emmanuel I Duke of Savoy, Charles Emmanuel I Duke of Savoy has parent Margaret of Valois Duchess of Berry. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Beatrice of Savoy, Beatrice of Savoy has parent Thomas Count of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
William IX Duke of Aquitaine, William IX Duke of Aquitaine has parent Hildegarde of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Galeazzo Maria Sforza, Galeazzo Maria Sforza has parent Bianca Maria Visconti. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis Philippe I has predecessor Louis Philippe II Duke of Orl ans, Louis Philippe I has parent Louis Philippe II Duke of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Henry VI of England, Henry VI of England has parent Catherine of Valois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Leopold Duke of Lorraine, Leopold Duke of Lorraine has parent Eleonore of Austria Queen of Poland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry the Lion, Henry the Lion has parent Gertrude of S pplingenburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Piero di Cosimo de Medici, Piero di Cosimo de Medici has parent Contessina de Bardi. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Francis II Duke of Brittany, Francis II Duke of Brittany has parent Margaret Countess of Vertus. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John Stewart 1st Earl of Lennox, John Stewart 1st Earl of Lennox has parent Alan Stewart of Darnley. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Fulk I Count of Anjou, Fulk I Count of Anjou has parent Ingelger. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis V of France, Louis V of France has parent Emma of Italy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ferdinand IV of Castile, Ferdinand IV of Castile has parent Mar a de Molina. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles VI of France, Charles VI of France has parent Joanna of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis I Duke of Orl ans, Louis I Duke of Orl ans has parent Joanna of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Isabella of France, Isabella of France has parent Philip IV of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philip V of France, Philip V of France has parent Philip IV of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis X of France has predecessor Philip IV of France, Louis X of France has parent Philip IV of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Charles IV of France, Charles IV of France has parent Philip IV of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Theobald III Count of Champagne, Theobald III Count of Champagne has parent Henry I Count of Champagne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Joanna of Castile has predecessor Ferdinand II of Aragon, Joanna of Castile has parent Ferdinand II of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
James I of Scotland has predecessor Robert III of Scotland, James I of Scotland has parent Robert III of Scotland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Edward I of England, Edward I of England has parent Eleanor of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Theresa of Austria Este Queen of Sardinia, Maria Theresa of Austria Este Queen of Sardinia has parent Ferdinand Karl Archduke of Austria Este. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles the Simple, Charles the Simple has parent Adelaide of Paris. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Nicholas d Oisy Lord of Avesnes, Nicholas d Oisy Lord of Avesnes has parent Walter I Lord of Avesnes. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis Duke of Savoy has predecessor Amadeus VIII Duke of Savoy, Louis Duke of Savoy has parent Amadeus VIII Duke of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Marie of Cleves Duchess of Orl ans, Marie of Cleves Duchess of Orl ans has parent Mary of Burgundy Duchess of Cleves. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
James III of Scotland, James III of Scotland has parent Mary of Guelders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Otto I Duke of Saxony, Otto I Duke of Saxony has parent Liudolf Duke of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Rudolph I of Burgundy, Rudolph I of Burgundy has parent Conrad II Duke of Transjurane Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles the Fat, Charles the Fat has parent Hemma. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry VII of England, Henry VII of England has parent Lady Margaret Beaufort. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Amalia of Saxony, Maria Amalia of Saxony has parent Maria Josepha of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Josepha of Saxony Dauphine of France, Maria Josepha of Saxony Dauphine of France has parent Maria Josepha of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry I of France, Henry I of France has parent Constance of Arles. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Robert I Duke of Burgundy, Robert I Duke of Burgundy has parent Constance of Arles. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John II Count of Holland, John II Count of Holland has parent Adelaide of Holland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Blanche of Navarre Queen of France, Blanche of Navarre Queen of France has parent Philip III of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philip I of France has predecessor Henry I of France, Philip I of France has parent Henry I of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Mahaut of Ch tillon, Mahaut of Ch tillon has parent Marie of Brittany Countess of Saint Pol. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Blanche of Castile, Blanche of Castile has parent Alfonso VIII of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Sophia of Saxe Weissenfels Princess of Anhalt Zerbst, Sophia of Saxe Weissenfels Princess of Anhalt Zerbst has parent Augustus Duke of Saxe Weissenfels. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Antoine Duke of Montpensier, Antoine Duke of Montpensier has parent Louis Philippe I. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ferdinand Philippe Duke of Orl ans, Ferdinand Philippe Duke of Orl ans has parent Louis Philippe I. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Sancho IV of Castile, Sancho IV of Castile has parent Violant of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John I of Portugal, John I of Portugal has parent Teresa Louren o. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis VIII of France has predecessor Philip II of France, Louis VIII of France has parent Philip II of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Ramon Berenguer IV Count of Barcelona has predecessor Ramon Berenguer III Count of Barcelona, Ramon Berenguer IV Count of Barcelona has parent Ramon Berenguer III Count of Barcelona. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Berengaria of Barcelona, Berengaria of Barcelona has parent Ramon Berenguer III Count of Barcelona. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
James I of Scotland, James I of Scotland has parent Anabella Drummond. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Arnulf II Count of Flanders, Arnulf II Count of Flanders has parent Baldwin III Count of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Jeanne de Bourbon Duchess of Bourbon, Jeanne de Bourbon Duchess of Bourbon has parent John VIII Count of Vend me. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Napoleon II, Napoleon II has parent Marie Louise Duchess of Parma. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Eleanor of Provence, Eleanor of Provence has parent Ramon Berenguer IV Count of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Provence, Margaret of Provence has parent Ramon Berenguer IV Count of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Eleanor of Viseu, Eleanor of Viseu has parent Ferdinand Duke of Viseu. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie of Anjou, Marie of Anjou has parent Louis II of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ren  of Anjou, Ren  of Anjou has parent Louis II of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry Stuart Lord Darnley, Henry Stuart Lord Darnley has parent Margaret Douglas. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Blanche of Navarre Queen of France, Blanche of Navarre Queen of France has parent Joan II of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Nicholas Francis Duke of Lorraine, Nicholas Francis Duke of Lorraine has parent Francis II Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
John II of Portugal, John II of Portugal has parent Isabel of Coimbra. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Archduchess Maria Theresa of Austria Este 1817 1886, Archduchess Maria Theresa of Austria Este 1817 1886 has parent Francis IV Duke of Modena. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Berenguer Ramon I Count of Barcelona, Berenguer Ramon I Count of Barcelona has parent Ramon Borrell Count of Barcelona. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry V of England, Henry V of England has parent Henry IV of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
James II of Scotland, James II of Scotland has parent Joan Beaufort Queen of Scots. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret Stewart Dauphine of France, Margaret Stewart Dauphine of France has parent Joan Beaufort Queen of Scots. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Countess Caroline of Nassau Saarbr cken, Countess Caroline of Nassau Saarbr cken has parent Louis Crato Count of Nassau Saarbr cken. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
James I Count of La Marche, James I Count of La Marche has parent Louis I Duke of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Peter I Duke of Bourbon, Peter I Duke of Bourbon has parent Louis I Duke of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Joan Fitzalan Countess of Hereford, Joan Fitzalan Countess of Hereford has parent Richard Fitzalan 3rd Earl of Arundel. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Theobald II Count of Champagne, Theobald II Count of Champagne has parent Stephen Count of Blois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ferdinand I of Aragon, Ferdinand I of Aragon has parent Eleanor of Aragon Queen of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Judith of Habsburg, Judith of Habsburg has parent Gertrude of Hohenberg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Clemence of Austria, Clemence of Austria has parent Gertrude of Hohenberg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Albert I of Germany, Albert I of Germany has parent Gertrude of Hohenberg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Rudolf I of Germany, Rudolf I of Germany has parent Albert IV Count of Habsburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
William III of M con, William III of M con has parent Stephen I Count of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis Duke of Orl ans 1703 1752, Louis Duke of Orl ans 1703 1752 has parent Fran oise Marie de Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Francesco I Sforza, Francesco I Sforza has parent Lucia da Torsano. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry III Duke of Brabant, Henry III Duke of Brabant has parent Henry II Duke of Brabant. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Matilda of Brabant Countess of Artois, Matilda of Brabant Countess of Artois has parent Henry II Duke of Brabant. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Christine of Saxony, Christine of Saxony has parent George Duke of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Rudolph of France, Rudolph of France has parent Richard Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Francis I of France, Francis I of France has parent Charles Count of Angoul me. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Valois Angoul me, Margaret of Valois Angoul me has parent Charles Count of Angoul me. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Eleanor of Austria, Eleanor of Austria has parent Philip I of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has parent Philip I of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charles V Holy Roman Emperor, Charles V Holy Roman Emperor has parent Philip I of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Otto V Duke of Brunswic L neburg, Otto V Duke of Brunswic L neburg has parent Frederick II Duke of Brunswic L neburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Alfred the Great, Alfred the Great has parent Osburh. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
William I Count of Hainaut, William I Count of Hainaut has parent Philippa of Luxembourg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Mahaut Countess of Artois has predecessor Robert II Count of Artois, Mahaut Countess of Artois has parent Robert II Count of Artois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Baldwin VI Count of Flanders, Baldwin VI Count of Flanders has parent Adela of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Adelaide of Maurienne, Adelaide of Maurienne has parent Humbert II Count of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis the German has predecessor Louis the Pious, Louis the German has parent Louis the Pious. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Charles the Bald, Charles the Bald has parent Louis the Pious. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Beatriz of Portugal Duchess of Viseu, Beatriz of Portugal Duchess of Viseu has parent Isabel of Barcelos. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Isabella of Portugal Queen of Castile, Isabella of Portugal Queen of Castile has parent Isabel of Barcelos. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Joan Beaufort Queen of Scots, Joan Beaufort Queen of Scots has parent Margaret Holland Duchess of Clarence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
William IX Duke of Aquitaine, William IX Duke of Aquitaine has parent William VIII Duke of Aquitaine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Pepin the Short, Pepin the Short has parent Rotrude of Hesbaye. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Geoffrey Plantagenet Count of Anjou has predecessor Fulk King of Jerusalem, Geoffrey Plantagenet Count of Anjou has parent Fulk King of Jerusalem. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Sibylla of Anjou, Sibylla of Anjou has parent Fulk King of Jerusalem. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Berthold I of Istria, Berthold I of Istria has parent Berthold II Count of Andechs. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Afonso II of Portugal, Afonso II of Portugal has parent Dulce of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Magdalene Sibylle of Prussia, Magdalene Sibylle of Prussia has parent Marie Eleonore of Cleves. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Odo II Count of Blois, Odo II Count of Blois has parent Odo I Count of Blois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
James Hepburn 4th Earl of Bothwell, James Hepburn 4th Earl of Bothwell has parent Patrick Hepburn 3rd Earl of Bothwell. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry I Duke of Brabant, Henry I Duke of Brabant has parent Godfrey III Count of Louvain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Adolphus Frederick I Duke of Mecklenburg Schwerin, Adolphus Frederick I Duke of Mecklenburg Schwerin has parent Sophia of Holstei Gottorp. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Theobald II Duke of Lorraine, Theobald II Duke of Lorraine has parent Theobald I of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Joan Countess of Ponthieu has predecessor Marie Countess of Ponthieu, Joan Countess of Ponthieu has parent Marie Countess of Ponthieu. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Louis the Pious has predecessor Charlemagne, Louis the Pious has parent Charlemagne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Ingeborg of Denmark Queen of France, Ingeborg of Denmark Queen of France has parent Valdemar I of Denmark. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Sophia Eleonore of Saxony, Sophia Eleonore of Saxony has parent Magdalene Sibylle of Prussia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Francis IV Duke of Modena, Francis IV Duke of Modena has parent Maria Beatrice d Este Duchess of Massa. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Theresa of Austria Este Queen of Sardinia, Maria Theresa of Austria Este Queen of Sardinia has parent Maria Beatrice d Este Duchess of Massa. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
