Rule 7:
If child ?a, then predecessor ?b.
Blanche of Anjou, Mary of Hungary Queen of Naples has child Blanche of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Empress Matilda, Matilda of Scotland has child Empress Matilda. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Frederick III Duke of Lorraine has predecessor Matthias II Duke of Lorraine, Matthias II Duke of Lorraine has child Frederick III Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Frederick I Duke of Lorraine, Matthias I Duke of Lorraine has child Frederick I Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Margaret of Austria Duchess of Savoy, Maximilian I Holy Roman Emperor has child Margaret of Austria Duchess of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anne Marie Th r se de Lorraine, Nicholas Francis Duke of Lorraine has child Anne Marie Th r se de Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles de Lorraine de Vaud mont, Nicolas Duke of Merc ur has child Charles de Lorraine de Vaud mont. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Hugh IV Duke of Burgundy has predecessor Odo III Duke of Burgundy, Odo III Duke of Burgundy has child Hugh IV Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Hugh III Duke of Burgundy has predecessor Odo II Duke of Burgundy, Odo II Duke of Burgundy has child Hugh III Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Florine of Burgundy, Odo I Duke of Burgundy has child Florine of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Carloman I, Pepin the Short has child Carloman I. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
James I of Aragon has predecessor Peter II of Aragon, Peter II of Aragon has child James I of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
John I Duke of Brittany has predecessor Peter I Duke of Brittany, Peter I Duke of Brittany has child John I Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Beatrice of Portugal died 1381, Peter I of Portugal has child Beatrice of Portugal died 1381. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Blanche of Navarre Queen of France, Philip III of Navarre has child Blanche of Navarre Queen of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Blanche of Navarre Queen of France, Joan II of Navarre has child Blanche of Navarre Queen of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Antonia of Savoy, Philip II Duke of Savoy has child Antonia of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Carlos Prince of Asturias, Philip II of Spain has child Carlos Prince of Asturias. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Am lie of Orl ans, Prince Philippe Count of Paris has child Am lie of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Am lie of Orl ans, Princess Marie Isabelle of Orl ans has child Am lie of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Duchess Helene of Mecklenburg Schwerin, Princess Caroline Louise of Saxe Weimar Eisenach has child Duchess Helene of Mecklenburg Schwerin. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charlotte Christine of Brunswic Wolfenb ttel, Princess Christine Louise of Oettinge Oettingen has child Charlotte Christine of Brunswic Wolfenb ttel. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles Frederick Grand Duke of Saxe Weimar Eisenach, Princess Louise of Hesse Darmstadt 1757 1830 has child Charles Frederick Grand Duke of Saxe Weimar Eisenach. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Frederick III Duke of Saxe Gotha Altenburg, Princess Magdalena Augusta of Anhalt Zerbst has child Frederick III Duke of Saxe Gotha Altenburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alfonso VII of Le n and Castile, Raymond of Burgundy has child Alfonso VII of Le n and Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Antoine Duke of Lorraine has predecessor Ren  II Duke of Lorraine, Ren  II Duke of Lorraine has child Antoine Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Francis II Duke of Brittany, Richard Count of  tampes has child Francis II Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Francis II Duke of Brittany, Margaret of Foix has child Francis II Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Canute V of Denmark, Richeza of Poland Queen of Sweden has child Canute V of Denmark. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Count of Boulogne, Robert Count of Clermont has child Count of Boulogne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
David Stewart Duke of Rothesay, Robert III of Scotland has child David Stewart Duke of Rothesay. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henri de Dreux, Robert II Count of Dreux has child Henri de Dreux. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alexander Stewart Earl of Buchan, Robert II of Scotland has child Alexander Stewart Earl of Buchan. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Constance of Burgundy, Robert I Duke of Burgundy has child Constance of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Emma of France, Robert I of France has child Emma of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Baldwin IV Count of Flanders, Rozala of Italy has child Baldwin IV Count of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Albert I of Germany, Rudolf I of Germany has child Albert I of Germany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Albert I of Germany, Gertrude of Hohenberg has child Albert I of Germany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John I Duke of Lorraine, Rudolph Duke of Lorraine has child John I Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Adelaide of Italy, Rudolph II of Burgundy has child Adelaide of Italy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Rudolph II of Burgundy, Rudolph I of Burgundy has child Rudolph II of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Igor of Kiev, Rurik has child Igor of Kiev. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alexander I of Scotland, Saint Margaret of Scotland has child Alexander I of Scotland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Agnes of Poland, Salomea of Berg has child Agnes of Poland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alfonso VIII of Castile has predecessor Sancho III of Castile, Sancho III of Castile has child Alfonso VIII of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Alfonso de Castilla y Molina, Sancho IV of Castile has child Alfonso de Castilla y Molina. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Afonso II of Portugal has predecessor Sancho I of Portugal, Sancho I of Portugal has child Afonso II of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Gertrude of Flanders Countess of Savoy, Sibylla of Anjou has child Gertrude of Flanders Countess of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Agatha of Lorraine, Simon I Duke of Lorraine has child Agatha of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anna Sophia II Abbess of Quedlinburg, Sophia Eleonore of Saxony has child Anna Sophia II Abbess of Quedlinburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Canute VI of Denmark, Sophia of Minsk has child Canute VI of Denmark. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Canute VI of Denmark has predecessor Valdemar I of Denmark, Valdemar I of Denmark has child Canute VI of Denmark. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Frederick Duke of Bavaria, Stephen II Duke of Bavaria has child Frederick Duke of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Malusha, Sviatoslav I has child Malusha. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Frederick IV Duke of Lorraine, Theobald II Duke of Lorraine has child Frederick IV Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Beatrice of Navarre Duchess of Burgundy, Theobald I of Navarre has child Beatrice of Navarre Duchess of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Simon I Duke of Lorraine has predecessor Theodoric II Duke of Lorraine, Theodoric II Duke of Lorraine has child Simon I Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Charles Emmanuel II Duke of Savoy, Victor Amadeus I Duke of Savoy has child Charles Emmanuel II Duke of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Yolande of Aragon, Violant of Bar has child Yolande of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Yolande of Aragon, Louis II of Anjou has child Yolande of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Joseph I Holy Roman Emperor, Wilhelmine Amalie of Brunswick has child Joseph I Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Willa of Tuscany, Willa of Burgundy has child Willa of Tuscany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Augustus the Elder Duke of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has child Augustus the Elder Duke of Brunswic L neburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Baldwin II Latin Emperor, Yolanda Latin Empress has child Baldwin II Latin Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Violant of Hungary, Yolanda of Courtenay has child Violant of Hungary. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Eadgifu of Wessex,  lffl d wife of Edward the Elder has child Eadgifu of Wessex. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Eadgifu of Wessex, Edward the Elder has child Eadgifu of Wessex. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alfred the Great,  thelwulf King of Wessex has child Alfred the Great. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Richeza of Poland Queen of Sweden, Salomea of Berg has child Richeza of Poland Queen of Sweden. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Elizabeth Tudor 1492 1495, Henry VII of England has child Elizabeth Tudor 1492 1495. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Isabella Clara Eugenia, Philip II of Spain has child Isabella Clara Eugenia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Peter I of Portugal has predecessor Afonso IV of Portugal, Afonso IV of Portugal has child Peter I of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Leopold II Holy Roman Emperor, Francis I Holy Roman Emperor has child Leopold II Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Maria Antonia of the Two Sicilies, Mar a Isabella of Spain has child Princess Maria Antonia of the Two Sicilies. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Catherine Beatrice of Savoy, Victor Amadeus I Duke of Savoy has child Princess Catherine Beatrice of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Thomas 2nd Earl of Lancaster, Blanche of Artois has child Thomas 2nd Earl of Lancaster. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Odo of France, Adelaide of Tours has child Odo of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Catherine of Austria Queen of Poland, Ferdinand I Holy Roman Emperor has child Catherine of Austria Queen of Poland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Gisela Abbess of Chelles, Pepin the Short has child Gisela Abbess of Chelles. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ferdinand of Castile born 1238, Ferdinand III of Castile has child Ferdinand of Castile born 1238. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Maria Isabella of Naples and Sicily, Ferdinand I of the Two Sicilies has child Princess Maria Isabella of Naples and Sicily. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Maria Isabella of Naples and Sicily, Maria Carolina of Austria has child Princess Maria Isabella of Naples and Sicily. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Infante Antonio Pascual of Spain, Maria Amalia of Saxony has child Infante Antonio Pascual of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Hiltrud, Charles Martel has child Hiltrud. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Matilda of Flanders, Baldwin V Count of Flanders has child Matilda of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ferdinand Philippe Duke of Orl ans, Maria Amalia of Naples and Sicily has child Ferdinand Philippe Duke of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Margaret of Valois Countess of Blois, Margaret Countess of Anjou has child Margaret of Valois Countess of Blois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Henrietta of Naples and Sicily, Ferdinand I of the Two Sicilies has child Maria Henrietta of Naples and Sicily. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Henrietta of Naples and Sicily, Maria Carolina of Austria has child Maria Henrietta of Naples and Sicily. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Joan of Acre, Edward I of England has child Joan of Acre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Joan of Acre, Eleanor of Castile has child Joan of Acre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles II Grand Duke of Mecklenburg Strelitz, Princess Elisabeth Albertine of Saxe Hildburghausen has child Charles II Grand Duke of Mecklenburg Strelitz. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles II Grand Duke of Mecklenburg Strelitz, Duke Charles Louis Frederick of Mecklenburg has child Charles II Grand Duke of Mecklenburg Strelitz. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
George I Landgrave of Hesse Darmstadt, Christine of Saxony has child George I Landgrave of Hesse Darmstadt. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marie of France Duchess of Bar, John II of France has child Marie of France Duchess of Bar. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marie of France Duchess of Bar, Bonne of Luxembourg has child Marie of France Duchess of Bar. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Peter I Count of Alen on, Louis IX of France has child Peter I Count of Alen on. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Peter I Count of Alen on, Margaret of Provence has child Peter I Count of Alen on. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Anna of Spain, Philip III of Spain has child Maria Anna of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Anna of Spain, Margaret of Austria Queen of Spain has child Maria Anna of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John Duke of Berry, John II of France has child John Duke of Berry. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John Duke of Berry, Bonne of Luxembourg has child John Duke of Berry. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Jasper Tudor, Catherine of Valois has child Jasper Tudor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Leopoldina of Austria, Francis II Holy Roman Emperor has child Maria Leopoldina of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Leopoldina of Austria, Maria Theresa of Naples and Sicily has child Maria Leopoldina of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Mar a Cristina Mu oz y Borb n Marquise of la Isabela, Maria Christina of the Two Sicilies has child Mar a Cristina Mu oz y Borb n Marquise of la Isabela. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Margaret of Valois, Catherine de Medici has child Margaret of Valois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Isabella of France, Joan I of Navarre has child Isabella of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis Antoine Duke of Angoul me has predecessor Charles X, Charles X has child Louis Antoine Duke of Angoul me. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Louis Antoine Duke of Angoul me, Maria Theresa of Savoy has child Louis Antoine Duke of Angoul me. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Peter II Count of La Marche, James I Count of La Marche has child Peter II Count of La Marche. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Blanche of Castile, Eleanor of England Queen of Castile has child Blanche of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Blanche of Castile, Alfonso VIII of Castile has child Blanche of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John Beaufort 1st Earl of Somerset, John of Gaunt has child John Beaufort 1st Earl of Somerset. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John Duke of Valencia de Campos, Peter I of Portugal has child John Duke of Valencia de Campos. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
 thelberht King of Wessex,  thelwulf King of Wessex has child  thelberht King of Wessex. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis XII has predecessor Charles Duke of Orl ans, Charles Duke of Orl ans has child Louis XII. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Louis XII, Marie of Cleves Duchess of Orl ans has child Louis XII. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Gerberga of Burgundy, Conrad I of Burgundy has child Gerberga of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Gerberga of Burgundy, Matilda of France has child Gerberga of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Conrad of Ivrea, Berengar II of Italy has child Conrad of Ivrea. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Conrad of Ivrea, Willa of Tuscany has child Conrad of Ivrea. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John I Count of La Marche, James I Count of La Marche has child John I Count of La Marche. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Elizabeth Woodville, Jacquetta of Luxembourg has child Elizabeth Woodville. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Saint Margaret of Scotland, Agatha wife of Edward the Exile has child Saint Margaret of Scotland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Pepin the Hunchback, Charlemagne has child Pepin the Hunchback. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ferdinand I of Austria, Maria Theresa of Naples and Sicily has child Ferdinand I of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ferdinand I of Austria has predecessor Francis II Holy Roman Emperor, Francis II Holy Roman Emperor has child Ferdinand I of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Louis Philippe I, Louise Marie Ad la de de Bourbon Duchess of Orl ans has child Louis Philippe I. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis Philippe I has predecessor Louis Philippe II Duke of Orl ans, Louis Philippe II Duke of Orl ans has child Louis Philippe I. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Maria of Naples, Mary of Hungary Queen of Naples has child Maria of Naples. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Joanna of Castile has predecessor Ferdinand II of Aragon, Ferdinand II of Aragon has child Joanna of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Victor Amadeus Prince of Piedmont, Anne Marie d Orl ans has child Victor Amadeus Prince of Piedmont. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Victor Amadeus Prince of Piedmont, Victor Amadeus II of Sardinia has child Victor Amadeus Prince of Piedmont. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Maurice of Savoy, Charles Emmanuel I Duke of Savoy has child Prince Maurice of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Edmund Crouchback, Eleanor of Provence has child Edmund Crouchback. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Edmund Crouchback, Henry III of England has child Edmund Crouchback. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marie of Anjou, Louis II of Anjou has child Marie of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Hortense de Beauharnais, Empress Jos phine has child Hortense de Beauharnais. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Philippe Charles Duke of Valois, Henrietta of England has child Philippe Charles Duke of Valois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Maria Carolina of Austria born 1740, Francis I Holy Roman Emperor has child Archduchess Maria Carolina of Austria born 1740. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Maria Carolina of Austria born 1740, Maria Theresa has child Archduchess Maria Carolina of Austria born 1740. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louise Marie Ad la de de Bourbon Duchess of Orl ans, Maria Teresa Felicitas d Este has child Louise Marie Ad la de de Bourbon Duchess of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Giovanni de Medici cardinal, Cosimo I de Medici Grand Duke of Tuscany has child Giovanni de Medici cardinal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Baldwin III of Jerusalem, Fulk King of Jerusalem has child Baldwin III of Jerusalem. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Stephanie Alfonso of Castile, Alfonso VII of Le n and Castile has child Stephanie Alfonso of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Sophia of Neuburg, Landgravine Elisabeth Amalie of Hesse Darmstadt has child Maria Sophia of Neuburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduke Rudolf of Austria, Leopold II Holy Roman Emperor has child Archduke Rudolf of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduke Rudolf of Austria, Maria Luisa of Spain has child Archduke Rudolf of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Lucien Bonaparte, Letizia Bonaparte has child Lucien Bonaparte. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Mstislav of Chernigov, Vladimir the Great has child Mstislav of Chernigov. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Hugh Magnus, Robert II of France has child Hugh Magnus. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Hugh Magnus, Constance of Arles has child Hugh Magnus. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charlotte de Br z , Charles VII of France has child Charlotte de Br z . [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Eleanor of Castile died 1244, Alfonso VIII of Castile has child Eleanor of Castile died 1244. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Eleanor of Castile died 1244, Eleanor of England Queen of Castile has child Eleanor of Castile died 1244. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
